institution;period;euro;DOI;is_hybrid;opt-out
Heinrich-Heine-Universität Düsseldorf;2020;2.405,73;10.1007/s00436-020-06763-8;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11406-020-00266-7;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s12268-020-1433-z;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00380-020-01688-9;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s10049-020-00744-1;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00404-020-05679-z;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00426-020-01340-1;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00109-020-01914-x;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00330-020-07289-4;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11613-020-00685-1;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s13164-020-00476-8;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11151-020-09769-9;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11229-020-02655-7;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s41245-020-00113-3;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00115-020-00887-z;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s12247-020-09443-3;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00417-020-04628-5;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s41682-020-00056-8;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s10670-020-00244-1;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s41682-020-00062-w;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00221-020-05812-z;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00414-020-02300-5;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00415-019-09690-6;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.3758/s13415-020-00857-7;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11616-020-00575-7;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00347-020-01163-w;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s10792-020-01394-5;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s10143-020-01242-1;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11553-020-00779-9;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00253-020-10878-4;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s12599-020-00673-w;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s40261-020-00900-y;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11525-020-09346-6;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s12247-020-09524-3;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.3758/s13423-020-01745-4;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00181-020-01909-0;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s10703-020-00351-3;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s10539-020-9735-6;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11525-020-09353-7;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11266-020-00289-4;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00339-020-03838-2;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00033-020-01387-5;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11616-020-00636-x;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s41358-020-00222-7;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.3758/s13421-020-01071-z;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00426-020-01455-5;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00115-020-00937-6;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s10878-020-00670-5;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11590-020-01617-9;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s10508-020-01662-6;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s42979-020-00315-8;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11103-020-01067-y;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11538-020-00832-w;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s41358-020-00221-8;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00414-020-02360-7;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s10992-020-09552-x;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s10198-020-01201-z;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11097-020-09664-4;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00259-020-04749-3;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s12268-020-1323-4;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.3758/s13421-020-01075-9;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00103-020-03098-8;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11615-020-00268-w;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00120-020-01209-6;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11616-020-00573-9;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00404-020-05727-8;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00420-020-01570-1;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11120-019-00704-y;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s40261-020-00990-8;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1140/epje/i2020-11980-9;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1038/s41418-020-00679-7;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s13347-020-00425-4;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s10009-020-00551-6;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11609-020-00411-9;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s11609-020-00414-6;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00432-020-03334-3;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s10049-020-00827-z;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00395-020-0799-x;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00277-020-04325-7;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00701-020-04593-2;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00347-020-01165-8;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00330-020-07196-8;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00210-020-01993-0;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1038/s41416-020-0891-x;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00381-020-04577-8;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s41999-020-00360-9;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s10792-020-01532-z;TRUE;optin
Heinrich-Heine-Universität Düsseldorf;2020;2405,73;10.1007/s00347-020-01183-6;TRUE;optin
