"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"Helmholtz Zentrum München",2023,2910.51,"10.1111/febs.16991",TRUE,"Wiley-Blackwell","FEBS Journal","1742-464X","1742-464X","1742-4658","1742-464X","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"37921063",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Helmholtz Zentrum München",2023,2910.51,"10.1002/jimd.12663",TRUE,"Wiley-Blackwell","Journal of Inherited Metabolic Disease","0141-8955","0141-8955","1573-2665","0141-8955","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"37553850",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Helmholtz Zentrum München",2023,2910.51,"10.1002/pmic.202300032",TRUE,"Wiley-Blackwell","PROTEOMICS","1615-9853","1615-9853","1615-9861","1615-9853","http://creativecommons.org/licenses/by/4.0/",TRUE,"37670538",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Helmholtz Zentrum München",2023,2910.51,"10.1002/oby.23918",TRUE,"Wiley-Blackwell","Obesity","1930-7381","1930-7381","1930-739X","1930-7381","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37873587",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Helmholtz Zentrum München",2023,2910.51,"10.1002/lpor.202300292",TRUE,"Wiley-Blackwell","Laser & Photonics Reviews","1863-8880","1863-8880","1863-8899","1863-8880","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Helmholtz Zentrum München",2023,2910.51,"10.15252/embr.202255981",TRUE,"EMBO","EMBO reports","1469-221X","1469-221X","1469-3178","1469-221X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37560809","PMC10561358",NA,NA,FALSE,"DEAL Wiley Germany"
"Helmholtz Zentrum München",2023,2910.51,"10.15252/embr.202256194",TRUE,"EMBO","EMBO reports","1469-221X","1469-221X","1469-3178","1469-221X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37432066","PMC10481651",NA,NA,FALSE,"DEAL Wiley Germany"
"Helmholtz Zentrum München",2023,2910.51,"10.1111/liv.15635",TRUE,"Wiley-Blackwell","Liver International","1478-3223","1478-3223","1478-3231","1478-3223","http://creativecommons.org/licenses/by/4.0/",TRUE,"37269169",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Helmholtz Zentrum München",2023,2910.51,"10.1002/gepi.22529",TRUE,"Wiley-Blackwell","Genetic Epidemiology","0741-0395","0741-0395","1098-2272","0741-0395","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"37158367",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Helmholtz Zentrum München",2023,2910.51,"10.1002/pro.4649",TRUE,"Wiley-Blackwell","Protein Science","0961-8368","0961-8368","1469-896X","0961-8368","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37159024","PMC10201709",NA,NA,FALSE,"DEAL Wiley Germany"
"Helmholtz Zentrum München",2023,2910.51,"10.1002/mds.29440",TRUE,"Wiley-Blackwell","Movement Disorders","0885-3185","0885-3185","1531-8257","0885-3185","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37212434",NA,NA,NA,FALSE,"DEAL Wiley Germany"
