institution_ror,institution,period,euro,doi,is_hybrid,opt-out,type,contract_primary_identifier,contract_group_id,external_costsplitting,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee,url
https://ror.org/04gg60e72,Hochschule Aalen,2024,3600.61,10.3389/fpsyg.2024.1368267,FALSE,FALSE,journal article,NA,NA,false,3600.6099999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,1630.3,10.1063/5.0171922,FALSE,FALSE,journal article,NA,NA,false,1630.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,3179.01,10.3390/s24082405,FALSE,FALSE,journal article,NA,NA,false,3179.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,3311.08,10.3390/met14010117,FALSE,FALSE,journal article,NA,NA,false,3311.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,2350.98,10.1364/oe.515308,FALSE,FALSE,journal article,NA,NA,false,2350.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,1656.09,10.1063/5.0197224,FALSE,FALSE,journal article,NA,NA,false,1656.0900000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,3354.43,10.3390/batteries10030099,FALSE,FALSE,journal article,NA,NA,false,3354.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,3303.42,10.3390/polym16091234,FALSE,FALSE,journal article,NA,NA,false,3303.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,2975.0,10.3390/en17153723,FALSE,FALSE,journal article,NA,NA,false,2975.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,3223.9,10.3390/s24154997,FALSE,FALSE,journal article,NA,NA,false,3223.8999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,2355.11,10.3389/fbiom.2024.1338115,FALSE,FALSE,journal article,NA,NA,false,2355.1099999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,3430.07,10.3390/polym16162301,FALSE,FALSE,journal article,NA,NA,false,3430.0699999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,1190.0,10.1515/mim-2024-0012,FALSE,FALSE,journal article,NA,NA,false,1190.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,773.5,10.22495/cocv21i4art7,FALSE,FALSE,journal article,NA,NA,false,773.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,3291.83,10.3390/met14091025,FALSE,FALSE,journal article,NA,NA,false,3291.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,1267.58,10.3390/metrology4040040,FALSE,FALSE,journal article,NA,NA,false,1267.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,1190.0,10.1515/mim-2024-0016,FALSE,FALSE,journal article,NA,NA,false,1190.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,2437.95,10.3390/ani15010001,FALSE,FALSE,journal article,NA,NA,false,2437.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,1332.05,10.3390/cryst14110955,FALSE,FALSE,journal article,NA,NA,false,1332.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,1690.74,10.1063/5.0242423,FALSE,FALSE,journal article,NA,NA,false,1690.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,1100.0,10.3390/biophysica4020010,FALSE,FALSE,journal article,NA,NA,false,1100.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/04gg60e72,Hochschule Aalen,2024,575.0,10.3390/ma17133110,FALSE,FALSE,journal article,NA,NA,false,575.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
