institution;period;euro;doi;is_hybrid
Hochschule Luzern;2022;1770;10.19080/PBSIJ.2022.18.555985;false
Hochschule Luzern;2022;860;https://doi.org/10.3390/fermentation7040282 ;false
Hochschule Luzern;2022;1880;https://doi.org/10.3389/frspt.2021.773814 ;false
Hochschule Luzern;2022;2085; 10.1109/TPAMI.2022.3168152;true
Hochschule Luzern;2022;2160;https://doi.org/10.3390/ijerph19159320;false
Hochschule Luzern;2022;710;10.4236/psych.2022.1311100;false
Hochschule Luzern;2022;700;http://dx.doi.org/10.2378/vhn2022.art14d;true
Hochschule Luzern;2022;700;http://dx.doi.org/10.2378/vhn2022.art23d ;true
Hochschule Luzern;2022;2000;https://doi.org/10.3389/fspor.2023.1090119 ;false
Hochschule Luzern;2022;2500;https://doi.org/10.3389/fpsyg.2022.940090;false
Hochschule Luzern;2022;2500;https://doi.org/10.3389/fpsyg.2022.925394;false
Hochschule Luzern;2022;750;https://doi.org/10.3389/fresc.2022.873216 ;false
Hochschule Luzern;2022;800; https://doi.org/10.3389/fmtec.2022.837478;false
