"institution","period","euro","doi","is_hybrid","opt_out","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement","group_id"
"",,,"","","","","","","","","","","","","","","","","",NA
"",,,"","","","","","","","","","","","","","","","","",NA
"",,,"","","","","","","","","","","","","","","","","",NA
"HTWG Konstanz",2024,NA,"10.1365/s40702-024-01054-7",TRUE,FALSE,"Springer Nature","HMD Praxis der Wirtschaftsinformatik","1436-3011","1436-3011","2198-2775","1436-3011","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"sn2024deal","051qw9f78_sn2024deal_2024"
"HTWG Konstanz",2024,NA,"10.1007/s10182-024-00497-z",TRUE,FALSE,"Springer Nature","AStA Advances in Statistical Analysis","1863-8171","1863-8171","1863-818X","1863-8171","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"sn2024deal","051qw9f78_sn2024deal_2024"
"HTWG Konstanz",2024,NA,"10.1016/j.jdmm.2024.100946",TRUE,FALSE,"Elsevier BV","Journal of Destination Marketing & Management","2212-571X","2212-571X",NA,"2212-571X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"els2023deal","051qw9f78_els2023deal_2024"
"HTWG Konstanz",2025,NA,"10.1365/s40702-025-01151-1",TRUE,FALSE,"Springer Nature","HMD Praxis der Wirtschaftsinformatik","1436-3011","1436-3011","2198-2775","1436-3011","https://creativecommons.org/licenses/by/4.0/deed.de",TRUE,NA,NA,NA,NA,FALSE,"sn2024deal","051qw9f78_sn2024deal_2025"
"",,,"","","","","","","","","","","","","","","","","",NA
"",,,"","","","","","","","","","","","","","","","","",NA
"HTWG Konstanz",2025,NA,"10.1016/j.enbuild.2025.115527",TRUE,FALSE,"Elsevier BV","Energy and Buildings","0378-7788","0378-7788",NA,"0378-7788","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"els2023deal","051qw9f78_els2023deal_2025"
"HTWG Konstanz",2025,NA,"10.1016/j.oceaneng.2025.121011",TRUE,FALSE,"Elsevier BV","Ocean Engineering","0029-8018","0029-8018",NA,"0029-8018","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"els2023deal","051qw9f78_els2023deal_2025"
