institution,period,euro,DOI,is_hybrid,publisher,journal_full_title,issn,url
Humboldt-Universität zu Berlin,2021,1683.32,10.3389/fpsyg.2021.643276,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1999.2,10.3389/fmicb.2021.703804,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1999.20,10.3389/fnhum.2020.560630,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1999.19,10.3389/fpsyg.2021.717449,FALSE,,,,
Humboldt-Universität zu Berlin,2021,3364,10.1038/s41467-020-19856-w,FALSE,,,,
Humboldt-Universität zu Berlin,2021,"1,782.80",10.3389/fspor.2021.707567,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1837,10.1038/s41598-021-84847-w,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1837,10.1038/s41598-021-84899-y,FALSE,,,,
Humboldt-Universität zu Berlin,2021,"1,735.88",10.3389/fphys.2021.686259,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1931.47,10.3390/ijms22158171,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1742.09,10.3390/atmos12040426,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1948.80,10.3389/fpsyg.2020.564403,FALSE,,,,
Humboldt-Universität zu Berlin,2021,#REF!,10.1002/ece3.6986,FALSE,,,,
Humboldt-Universität zu Berlin,2021,420.06,10.5334/dsj-2021-014,FALSE,,,,
Humboldt-Universität zu Berlin,2021,"1,825.16",10.7554/eLife.67182,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1799.28,10.1186/s12862-021-01848-z,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1999.2,10.3389/fgene.2021.620253,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1999.2, 10.3389/fgene.2021.640039,FALSE,,,,
Humboldt-Universität zu Berlin,2021,3364,10.1038/s41467-020-19375-8,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1158.88,10.3390/socsci10040145,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1738.33,10.3390/land10121367,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1738.33,10.3390/f12111503,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1931.47,10.3390/w13243542,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1999.20,10.3389/fpls.2020.601455,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1999.2,10.3389/fpls.2021.611236,FALSE,,,,
Humboldt-Universität zu Berlin,2021,"1,510.91",10.1017/fms.2021.55,FALSE,,,,
Humboldt-Universität zu Berlin,2021,1423.24,10.1186/s12711-021-00606-5,FALSE,,,,
