"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"HU Berlin",2020,2985.43,"10.1002/adfm.202003364",TRUE,"Wiley-Blackwell","Advanced Functional Materials","1616-301X","1616-301X","1616-3028","1616-301X","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,"ut:000561073900001",NA,FALSE,"DEAL Wiley Germany"
"HU Berlin",2020,2985.43,"10.1002/chem.202001627",TRUE,"Wiley-Blackwell","Chemistry - A European Journal","0947-6539","0947-6539","1521-3765","0947-6539","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32315479","PMC7318592","ut:000535273200001",NA,FALSE,"DEAL Wiley Germany"
"HU Berlin",2020,2985.43,"10.1002/cne.25073",TRUE,"Wiley-Blackwell","Journal of Comparative Neurology","0021-9967","0021-9967","1096-9861","0021-9967","http://creativecommons.org/licenses/by/4.0/",TRUE,"33225441",NA,"ut:000595234300001",NA,FALSE,"DEAL Wiley Germany"
"HU Berlin",2020,2985.43,"10.1002/chem.202000133",TRUE,"Wiley-Blackwell","Chemistry - A European Journal","0947-6539","0947-6539","1521-3765","0947-6539","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"32092185","PMC7317515","ut:000527881800001",NA,FALSE,"DEAL Wiley Germany"
"HU Berlin",2020,2985.43,"10.1002/anie.202015896",TRUE,"Wiley-Blackwell","Angewandte Chemie International Edition","1433-7851","1433-7851","1521-3773","1433-7851","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"33348460","PMC7985879","ut:000617943300001",NA,FALSE,"DEAL Wiley Germany"
"HU Berlin",2020,2985.43,"10.1002/per.2266",TRUE,"Wiley-Blackwell","European Journal of Personality","0890-2070","0890-2070","1099-0984","0890-2070","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,"ut:000531322400001",NA,FALSE,"DEAL Wiley Germany"
"HU Berlin",2020,2985.43,"10.1002/adfm.202004798",TRUE,"Wiley-Blackwell","Advanced Functional Materials","1616-301X","1616-301X","1616-3028","1616-301X","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,"ut:000561043100001",NA,FALSE,"DEAL Wiley Germany"
"HU Berlin",2020,2985.43,"10.1111/pce.13787",TRUE,"Wiley-Blackwell","Plant, Cell & Environment","0140-7791","0140-7791","1365-3040","0140-7791","http://creativecommons.org/licenses/by/4.0/",TRUE,"32406550",NA,"ut:000539007600001",NA,FALSE,"DEAL Wiley Germany"
"HU Berlin",2020,2985.43,"10.1111/lsq.12283",TRUE,"Wiley-Blackwell","Legislative Studies Quarterly","0362-9805","0362-9805","1939-9162","0362-9805","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000534569800001",NA,FALSE,"DEAL Wiley Germany"
"HU Berlin",2020,2985.43,"10.1002/jrs.5965",TRUE,"Wiley-Blackwell","Journal of Raman Spectroscopy","0377-0486","0377-0486","1097-4555","0377-0486","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,"ut:000563901500001",NA,FALSE,"DEAL Wiley Germany"
"HU Berlin",2020,2985.43,"10.1111/theo.12243",TRUE,"Wiley-Blackwell","Theoria","0040-5825","0040-5825","1755-2567","0040-5825","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000531881000001",NA,FALSE,"DEAL Wiley Germany"
"HU Berlin",2020,2985.43,"10.1111/aab.12576",TRUE,"Wiley-Blackwell","Annals of Applied Biology","0003-4746","0003-4746","1744-7348","0003-4746","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000512429000001",NA,FALSE,"DEAL Wiley Germany"
"HU Berlin",2020,2985.43,"10.1111/1462-2920.15216",TRUE,"Wiley-Blackwell","Environmental Microbiology","1462-2912","1462-2912","1462-2920","1462-2912","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"32869465",NA,"ut:000571716600001",NA,FALSE,"DEAL Wiley Germany"
"HU Berlin",2020,2985.43,"10.1002/celc.202000181",TRUE,"Wiley-Blackwell","ChemElectroChem","2196-0216","2196-0216","2196-0216","2196-0216","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000525948800024",NA,FALSE,"DEAL Wiley Germany"
"HU Berlin",2020,2985.43,"10.1002/aelm.202000408",TRUE,"Wiley-Blackwell","Advanced Electronic Materials","2199-160X","2199-160X","2199-160X","2199-160X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000567838800001",NA,FALSE,"DEAL Wiley Germany"
"HU Berlin",2020,2985.43,"10.1002/cne.24892",TRUE,"Wiley-Blackwell","Journal of Comparative Neurology","0021-9967","0021-9967","1096-9861","0021-9967","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"32090331",NA,"ut:000549576200008",NA,FALSE,"DEAL Wiley Germany"
