institution,institution_ror,period,euro,doi,is_hybrid,type,contract_primary_identifier,contract_invoice_id,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee
HU Berlin,https://ror.org/01hcx6992,2022,4165.0,10.14361/9783839461785,FALSE,book,NA,NA,4165.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,6545.0,10.14361/9783839460818,FALSE,book,NA,NA,6545.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,5236.0,10.31244/9783830995036,FALSE,book,NA,NA,5236.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,2980.0,10.14631/978-3-96317-848-1,FALSE,book,NA,NA,2980.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,3760.0,10.14631/978-3-96317-832-0,FALSE,book,NA,NA,3760.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,6545.0,10.1515/9783110765533,FALSE,book,NA,NA,6545.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,8145.55,10.3726/b19790,FALSE,book,NA,NA,8145.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,8270.5,10.5117/9789463720854,FALSE,book,NA,NA,8270.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,6699.7,10.14361/9783839460214,FALSE,book,NA,NA,6699.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,7883.75,10.14361/9783839461761,FALSE,book,NA,NA,7883.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,6598.55,10.14361/9783839462867,FALSE,book,NA,NA,6598.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,8000.57,10.3726/b19878,FALSE,book,NA,NA,8000.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,6000.0,10.1515/9783110753554,FALSE,book,NA,NA,7735.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,2900.0,10.30819/5490,FALSE,book,NA,NA,2900.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,9934.72,10.11116/9789461664693,FALSE,book,NA,NA,9934.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,9735.2,10.11116/9789461664242,FALSE,book,NA,NA,9735.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,3999.99,10.56715/398634130,FALSE,book,NA,NA,3999.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,5500.0,10.3224/84742521,FALSE,book,NA,NA,5500.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,8961.85,10.5771/9783968218991,FALSE,book,NA,NA,8961.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,6640.2,10.14361/9783839466261,FALSE,book,NA,NA,6640.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU Berlin,https://ror.org/01hcx6992,2022,8403.07,10.1515/9783110759112,FALSE,book,NA,NA,8403.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
