institution;period;euro;DOI;is_hybrid;publisher;journal;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.052,27;10.1007/s00259-020-04991-9;TRUE;SpringerNature;European Journal of Nuclear Medicine and Molecular Imaging;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.052,27;10.1007/s00348-020-03091-6;TRUE;SpringerNature;Experiments in Fluids;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.052,27;10.1007/s11356-020-09525-2;TRUE;SpringerNature;Environmental Science and Pollution Research;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.052,27;10.1007/s11004-020-09874-1;TRUE;SpringerNature;Mathematical Geosciences;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.052,27;10.1007/s11837-020-04185-6;TRUE;SpringerNature;JOM;optout;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.052,27;10.1007/s00348-020-2939-3;TRUE;SpringerNature;Experiments in Fluids;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.052,27;10.1007/s12665-020-09168-z;TRUE;SpringerNature;Environmental Earth Sciences;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.052,27;10.1007/s10853-020-04768-3;TRUE;SpringerNature;Journal of Materials Science;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.052,27;10.1007/s11356-020-09563-w;TRUE;SpringerNature;Environmental Science and Pollution Research;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.488,85;10.1002/chem.202001865;TRUE;Wiley;Chemistry - A European Journal;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.488,85;10.1002/cite.201900172;TRUE;Wiley;Chemie-Ingenieur-Technik;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.488,85;10.1002/mp.14393;TRUE;Wiley;Medical Physics;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.488,85;10.1002/chem.202003241;TRUE;Wiley;Chemistry - A European Journal;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.488,85;10.1002/fld.4907;TRUE;Wiley;International Journal for Numerical Methods in Fluids;;;;Wiley 2020
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.488,85;10.1002/admt.202000279;TRUE;Wiley;Advanced Materials Technologies;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.488,85;10.1002/chem.202002139;TRUE;Wiley;Chemistry - A European Journal;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.488,85;10.1002/adma.202005521;TRUE;Wiley;Advanced Materials;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.488,85;10.1002/cite.202000076;TRUE;Wiley;Chemie-Ingenieur-Technik;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.488,85;10.1107/S1600577520014265;TRUE;Wiley;Journal of Synchrotron Radiation;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.488,85;10.1002/pssa.202000260;TRUE;Wiley;Physica Status Solidi A;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.488,85;10.1002/adom.202001546;TRUE;Wiley;Advanced Optical Materials;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.488,85;10.1002/xrs.3200;TRUE;Wiley;X-Ray Spectrometry;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.488,85;10.1002/chem.202003360;TRUE;Wiley;Chemistry - A European Journal;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.488,85;10.1002/aelm.202000184;TRUE;Wiley;Advanced Electronic Materials;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2020;3.488,85;10.1111/febs.15499;TRUE;Wiley;FEBS Journal;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2019;2.745,91;10.1002/smll.201905013;TRUE;Wiley;Small;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2019;2.745,91;10.1002/anie.201911637;TRUE;Wiley;Angewandte Chemie International Edition;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2019;2.745,91;10.1002/aic.16732;TRUE;Wiley;AIChE Journal;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2019;2.745,91;10.1002/adma.201907063;TRUE;Wiley;Advanced Materials;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2019;2.745,91;10.1111/phor.12300;TRUE;Wiley;The Photogrammetric Record;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2019;2.745,91;10.1002/cite.201900117;TRUE;Wiley;Chemie Ingenieur Technik;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2019;2.745,91;10.1002/smll.201904315;TRUE;Wiley;Small;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2019;2.745,91;10.1002/aenm.201901322;TRUE;Wiley;Advanced Energy Materials;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2019;2.745,91;10.1002/smll.201901722;TRUE;Wiley;Small;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2019;2.745,91;10.1002/smll.201904738;TRUE;Wiley;Small;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2019;2.745,91;10.1002/cbic.201900419;TRUE;Wiley;ChemBioChem;;;;
Helmholtz-Zenrum Dresden-Rossendorf;2019;2.745,91;10.1002/chem.201904654;TRUE;Wiley;Chemistry - A European Journal;;;;
