"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Institut für Arbeitsmarkt- und Berufsforschung",2023,2290.42,"10.1186/s12889-023-16415-y",FALSE,"Springer Nature","BMC Public Health","1471-2458",NA,"1471-2458","1471-2458","https://creativecommons.org/licenses/by/4.0",TRUE,"37537556","PMC10401870",NA,NA,TRUE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,2558.5,"10.3233/sji-220088",TRUE,"IOS Press","Statistical Journal of the IAOS","1874-7655","1874-7655","1875-9254","1874-7655","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,3796.1,"10.1080/1369183x.2022.2161495",TRUE,"Informa UK Limited","Journal of Ethnic and Migration Studies","1369-183X","1369-183X","1469-9451","1369-183X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,3581.9,"10.1080/01621459.2022.2161385",TRUE,"Informa UK Limited","Journal of the American Statistical Association","0162-1459","0162-1459","1537-274X","0162-1459","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,3224.9,"10.1080/13504851.2023.2176429",TRUE,"Informa UK Limited","Applied Economics Letters","1350-4851","1350-4851","1466-4291","1350-4851","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,2018.37,"10.1371/journal.pone.0281893",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"36809381","PMC9942998",NA,NA,TRUE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,3243.73,"10.1055/a-2053-6763",TRUE,"Georg Thieme Verlag KG","Die Rehabilitation","0034-3536","0034-3536","1439-1309","0034-3536","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37023766","PMC10425206",NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,1222.89,"10.3389/fpos.2023.1100446",FALSE,"Frontiers Media SA","Frontiers in Political Science","2673-3145",NA,"2673-3145","2673-3145","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,3445.05,"10.1080/09645292.2023.2213413",TRUE,"Informa UK Limited","Education Economics","0964-5292","0964-5292","1469-5782","0964-5292","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,2765.18,"10.1136/bmjopen-2022-071331",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055","2044-6055","2044-6055","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"37295837","PMC10276970",NA,NA,TRUE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,2380,"10.1515/zsr-2023-0004",TRUE,"Walter de Gruyter GmbH","Zeitschrift für Sozialreform","2366-0295","0514-2776","2366-0295","0514-2776","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,4652.9,"10.1016/j.ijnurstu.2023.104556",TRUE,"Elsevier BV","International Journal of Nursing Studies","0020-7489","0020-7489",NA,"0020-7489","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37453247",NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,624.4,"10.15195/v10.a2",FALSE,"Society for Sociological Science","Sociological Science","2330-6696",NA,"2330-6696","2330-6696",NA,TRUE,NA,NA,NA,NA,TRUE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,2439.5,"10.1016/j.econedurev.2023.102438",TRUE,"Elsevier BV","Economics of Education Review","0272-7757","0272-7757",NA,"0272-7757","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,1043.25,"10.3790/sfo.72.9-10.673",TRUE,"Duncker & Humblot GmbH","Sozialer Fortschritt","1865-5386","0038-609X","1865-5386","0038-609X",NA,TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,1043.25,"10.3790/sfo.72.9-10.731",TRUE,"Duncker & Humblot GmbH","Sozialer Fortschritt","1865-5386","0038-609X","1865-5386","0038-609X",NA,TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,1043.25,"10.3790/sfo.72.9-10.709",TRUE,"Duncker & Humblot GmbH","Sozialer Fortschritt","1865-5386","0038-609X","1865-5386","0038-609X",NA,TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,1043.25,"10.3790/sfo.72.9-10.691",TRUE,"Duncker & Humblot GmbH","Sozialer Fortschritt","1865-5386","0038-609X","1865-5386","0038-609X",NA,TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,1043.25,"10.3790/sfo.72.9-10.747",TRUE,"Duncker & Humblot GmbH","Sozialer Fortschritt","1865-5386","0038-609X","1865-5386","0038-609X",NA,TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,4034.1,"10.1093/jssam/smad031",TRUE,"Oxford University Press (OUP)","Journal of Survey Statistics and Methodology","2325-0984","2325-0984","2325-0992","2325-0984","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,4676.7,"10.1093/esr/jcad051",TRUE,"Oxford University Press (OUP)","European Sociological Review","0266-7215","0266-7215","1468-2672","0266-7215","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,3629.5,"10.1016/j.enpol.2023.113802",TRUE,"Elsevier BV","Energy Policy","0301-4215","0301-4215",NA,"0301-4215","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,2915.5,"10.1016/j.rssm.2023.100842",TRUE,"Elsevier BV","Research in Social Stratification and Mobility","0276-5624","0276-5624",NA,"0276-5624","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,1130.5,"10.17645/si.v11i4.7082",FALSE,"Cogitatio","Social Inclusion","2183-2803",NA,"2183-2803","2183-2803","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,1789.3,"10.1177/16094069231215189",FALSE,"SAGE Publications","International Journal of Qualitative Methods","1609-4069","1609-4069","1609-4069","1609-4069","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,3445.05,"10.1080/13636820.2023.2280953",TRUE,"Informa UK Limited","Journal of Vocational Education & Training","1363-6820","1363-6820","1747-5090","1363-6820","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,3796.1,"10.1080/14616696.2023.2289651",TRUE,"Informa UK Limited","European Societies","1461-6696","1461-6696","1469-8307","1461-6696","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Institut für Arbeitsmarkt- und Berufsforschung",2023,2380,"10.1515/ger-2021-0010",TRUE,"Walter de Gruyter GmbH","German Economic Review","1465-6485","1465-6485","1468-0475","1465-6485","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
