DOI;Hybrid;APC in Euro;Verlag;Institution;period
10.1093/jssam/smaa035;ja;2.933,35;Oxford University Press;IAB;2021
10.3790/sfo.2021.00.0000.Q2ENXS;ja;1.909,95;Duncker & Humblot;IAB;2021
10.1093/jssam/smab003;ja;3.127,32;Oxford University Press;IAB;2021
10.2478/rara-2020-0033;nein;354,03;Sciendo;IAB;2021
10.1093/jrs/feab038;ja;3.784,20;Oxford University Press;IAB;2021
10.3790/sfo.2021.00.0000.rrBya6;ja;1.605,00;Duncker & Humblot;IAB;2021
10.3389/fsoc.2021.693518;nein;949,92;Frontiers Media SA;IAB;2021
10.1080/09638288.2021.1948115;ja;3.683,05;Taylor & Francis;IAB;2021
10.1080/13636820.2021.1955403;ja;3.153,50;Taylor & Francis;IAB;2021
10.17645/si.v9i4.4649;nein;1.071,00;Cogitation Press;IAB;2021
10.1080/1369183X.2021.1988845;ja;3.683,05;Taylor & Francis;IAB;2021
10.1093/sp/jxab037;ja;3.574,76;Oxford University Press;IAB;2021
10.1093/migration/mnab047;ja;3.982,93;Oxford University Press;IAB;2021
10.1163/25895745-03010002;ja;1.279,25;Brill;IAB;2021
10.1093/esr/jcab060;ja;3.896,06;Oxford University Press;IAB;2021
10.1515/jem-2021-0002;ja;2.832,20;De Gruyter;IAB;2021
