"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"IFW Dresden",2022,2300,"10.1016/j.matdes.2022.110618",FALSE,"Elsevier BV","Materials & Design","0264-1275","0264-1275",NA,"0264-1275","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000793629300002",NA,TRUE
"IFW Dresden",2022,1866.55,"10.3390/ma15103439",FALSE,"MDPI AG","Materials","1996-1944",NA,"1996-1944","1996-1944","https://creativecommons.org/licenses/by/4.0/",TRUE,"35629466","PMC9143393","ut:000803159100001",NA,TRUE
"IFW Dresden",2022,2300,"10.1016/j.matdes.2022.110796",FALSE,"Elsevier BV","Materials & Design","0264-1275","0264-1275",NA,"0264-1275","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000826404700005",NA,TRUE
"IFW Dresden",2022,2630,"10.1016/j.jmst.2022.05.052",TRUE,"Elsevier BV","Journal of Materials Science & Technology","1005-0302","1005-0302",NA,"1005-0302","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000830896400003",NA,FALSE
"IFW Dresden",2022,1810.37,"10.1038/s41535-022-00423-z",FALSE,"Springer Nature","npj Quantum Materials","2397-4648",NA,"2397-4648","2397-4648","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000753375900001",NA,TRUE
"IFW Dresden",2022,2990,"10.1016/j.jallcom.2022.167309",TRUE,"Elsevier BV","Journal of Alloys and Compounds","0925-8388","0925-8388",NA,"0925-8388","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000874406500004",NA,FALSE
"IFW Dresden",2022,1810.37,"10.1038/s41535-022-00487-x",FALSE,"Springer Nature","npj Quantum Materials","2397-4648",NA,"2397-4648","2397-4648","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000842153400001",NA,TRUE
"IFW Dresden",2022,2680.65,"10.1038/s41528-022-00210-7",FALSE,"Springer Nature","npj Flexible Electronics","2397-4621",NA,"2397-4621","2397-4621","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000844196000001",NA,TRUE
"IFW Dresden",2022,2773.8,"10.1038/s42005-022-00979-z",FALSE,"Springer Nature","Communications Physics","2399-3650",NA,"2399-3650","2399-3650","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000843129600002",NA,TRUE
"IFW Dresden",2022,4688.55,"10.1038/s41467-022-31841-z",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"35840603","PMC9287296","ut:000826101400024",NA,TRUE
"IFW Dresden",2022,1960,"10.1002/aisy.202100253",FALSE,"Wiley-Blackwell","Advanced Intelligent Systems","2640-4567","2640-4567","2640-4567","2640-4567","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000802105500001",NA,TRUE
"IFW Dresden",2022,4688.55,"10.1038/s41467-022-30703-y",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"35680873","PMC9184583","ut:000809423400031",NA,TRUE
"IFW Dresden",2022,1681.82,"10.1038/s41598-022-13543-0",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"35710913","PMC9203797","ut:000812562700017",NA,TRUE
