"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"IFW Dresden",2024,5022.48,"10.1038/s41467-024-45658-5",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"38368411","PMC10874455",NA,NA,TRUE
"IFW Dresden",2024,956.34,"10.1007/s40820-024-01342-3",FALSE,"Springer Nature","Nano-Micro Letters","2311-6706","2311-6706","2150-5551","2150-5551","https://creativecommons.org/licenses/by/4.0",TRUE,"38376667","PMC10879069",NA,NA,TRUE
"IFW Dresden",2024,1680,"10.1002/celc.202400052",FALSE,"Wiley-Blackwell","ChemElectroChem","2196-0216","2196-0216","2196-0216","2196-0216","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"IFW Dresden",2024,5022.48,"10.1038/s41467-024-45865-0",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"38429269","PMC10907679",NA,NA,TRUE
"IFW Dresden",2024,2662.89,"10.3390/ma17102431",FALSE,"MDPI AG","Materials","1996-1944",NA,"1996-1944","1996-1944","https://creativecommons.org/licenses/by/4.0/",TRUE,"38793497","PMC11123010",NA,NA,FALSE
"IFW Dresden",2024,2080,"10.1002/admi.202400190",FALSE,"Wiley-Blackwell","Advanced Materials Interfaces","2196-7350","2196-7350","2196-7350","2196-7350","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"IFW Dresden",2024,2376,"10.1002/aisy.202400230",FALSE,"Wiley-Blackwell","Advanced Intelligent Systems","2640-4567","2640-4567","2640-4567","2640-4567","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"IFW Dresden",2024,2971.36,"10.1038/s42005-024-01605-w",FALSE,"Springer Nature","Communications Physics","2399-3650",NA,"2399-3650","2399-3650","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"IFW Dresden",2024,1056,"10.1016/j.jmrt.2024.05.046",FALSE,"Elsevier BV","Journal of Materials Research and Technology","2238-7854","2238-7854",NA,"2238-7854","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"IFW Dresden",2024,1801.6,"10.1038/s41598-024-63179-5",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"38834720","PMC11637126",NA,NA,TRUE
"IFW Dresden",2024,2296,"10.1016/j.matdes.2024.112799",FALSE,"Elsevier BV","Materials & Design","0264-1275","0264-1275",NA,"0264-1275","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"IFW Dresden",2024,2492.77,"10.1103/physrevresearch.6.033146",FALSE,"American Physical Society (APS)","Physical Review Research","2643-1564",NA,"2643-1564","2643-1564","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"IFW Dresden",2024,1523.48,"10.1109/access.2024.3509030",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Access","2169-3536",NA,"2169-3536","2169-3536","https://creativecommons.org/licenses/by/4.0/legalcode",TRUE,NA,NA,NA,NA,TRUE
"IFW Dresden",2025,5022.48,"10.1038/s41467-024-53343-w",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"39537600","PMC11561085",NA,NA,TRUE
"IFW Dresden",2025,5022.48,"10.1038/s41467-024-54389-6",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"39548102","PMC11568133",NA,NA,TRUE
"IFW Dresden",2025,2376,"10.1002/aisy.202400458",FALSE,"Wiley-Blackwell","Advanced Intelligent Systems","2640-4567","2640-4567","2640-4567","2640-4567","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"IFW Dresden",2025,2080,"10.1002/aelm.202400496",FALSE,"Wiley-Blackwell","Advanced Electronic Materials","2199-160X","2199-160X","2199-160X","2199-160X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
