institution,institution_ror,period,euro,doi,is_hybrid,type,contract_primary_identifier,contract_invoice_id,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee
Leibniz-IGB,https://ror.org/01nftxb06,2022,3189.2,10.1038/s42003-022-03184-4,FALSE,journal article,NA,NA,3189.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,2463.3,10.1038/s43247-021-00325-1,FALSE,journal article,NA,NA,2463.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,2001.37,10.1038/s41598-022-09782-w,FALSE,journal article,NA,NA,2001.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,2001.37,10.1038/s41598-022-20547-3,FALSE,journal article,NA,NA,2001.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,5579.37,10.1038/s41467-022-31515-w,FALSE,journal article,NA,NA,5579.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,1713.6,10.1002/ece3.9087,FALSE,journal article,NA,NA,1713.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,1713.6,10.1002/ece3.9259,FALSE,journal article,NA,NA,1713.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,1370.88,10.1002/ece3.9622,FALSE,journal article,NA,NA,1370.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,NA,10.1111/ele.13931,NA,journal article,NA,NA,NA,NA,NA,1800.0,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,1623.08,10.3390/su14074064,FALSE,journal article,NA,NA,1623.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,2040.0,10.1098/rsbl.2021.0560,TRUE,journal article,NA,NA,NA,NA,NA,NA,2040.0,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,1370.88,10.1002/ece3.8527,FALSE,journal article,NA,NA,1370.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,727.54,10.3897/rio.8.e80457,FALSE,other,NA,NA,727.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,1832.6,10.5194/hess-26-2073-2022,FALSE,journal article,NA,NA,1832.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,1924.23,10.5194/bg-19-2465-2022,FALSE,journal article,NA,NA,1924.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,1137.19,10.3390/ijms231710082,FALSE,journal article,NA,NA,1137.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,1438.71,10.5194/bg-19-2841-2022,FALSE,journal article,NA,NA,1438.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,1716.86,10.3390/jof8020114,FALSE,journal article,NA,NA,1716.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,1065.37,10.1038/s42949-022-00072-y,FALSE,journal article,NA,NA,1065.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,3300.82,10.1038/s42003-022-03951-3,FALSE,journal article,NA,NA,3300.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leibniz-IGB,https://ror.org/01nftxb06,2022,5579.37,10.1038/s41467-022-34113-y,FALSE,journal article,NA,NA,5579.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
