institution;period; euro ;doi;is_hybrid;publisher;journal_full_title;issn;url
IPN;2016;1911,82;10.1016/j.dr.2015.12.001;TRUE;Elsevier;Developmental Review;0273-2297;http://www.sciencedirect.com/science/article/pii/S0273229715000581
IPN;2016;3171,36;10.1002/sce.21227;TRUE;Wiley;Science Education;1098-237X;http://onlinelibrary.wiley.com/doi/10.1002/sce.21227/full
IPN;2016;2618,00;10.1007/s10763-016-9717-y;TRUE;Springer;International Journal of Science and Mathematics Education;1573-1774;https://link.springer.com/article/10.1007/s10763-016-9717-y
IPN;2016;1911,82;10.1016/j.cedpsych.2016.04.007;TRUE;Elsevier;Contemporary Educational Psychology;0361-476X;http://www.sciencedirect.com/science/article/pii/S0361476X1630008X
IPN;2016;529,43;10.1103/PhysRevPhysEducRes.12.010135;FALSE;American Physical Society;Physical Review Physics Education Research;2469-9896;http://journals.aps.org/prper/abstract/10.1103/PhysRevPhysEducRes.12.010135
IPN;2016;3293,95;10.1002/sce.21204;TRUE;Wiley;Science Education;1098-237X;http://onlinelibrary.wiley.com/doi/10.1002/sce.21204/full
IPN;2016;2558,50;10.1080/03057267.2016.1206351;TRUE;Taylor & Francis;Studies in Science Education;1940-8412;http://www.tandfonline.com/doi/full/10.1080/03057267.2016.1206351
IPN;2016;2558,50;10.1080/02635143.2016.1222361;TRUE;Taylor & Francis;Research in Science & Technological Education;1470-1138;http://www.tandfonline.com/doi/full/10.1080/02635143.2016.1222361
IPN;2016;2621,45;10.3389/fpsyg.2016.01364;FALSE;Frontiers;Frontiers in Educational Psychology ;;http://journal.frontiersin.org/article/10.3389/fpsyg.2016.01364/abstract
IPN;2016;2558,50;10.1080/00219266.2016.1233129;TRUE;Taylor & Francis;Journal of Biological Education;2157-6009;http://www.tandfonline.com/doi/full/10.1080/00219266.2016.1233129
IPN;2016;330,00;;FALSE;Look Academic Publishers;International Journal of Environmental and Science Education;1306-3065;http://www.ijese.net/makale/958
IPN;2016;1932,00;10.1016/j.cedpsych.2016.09.004;TRUE;Elsevier;Contemporary Educational Psychology;0361-476X;http://www.sciencedirect.com/science/article/pii/S0361476X1630042X
IPN;2016;2975,00;10.1027/1015-5759/a000351;TRUE;Hogrefe;European Journal of Psychological Assessment;2151-2426;http://econtent.hogrefe.com/doi/abs/10.1027/1015-5759/a000351
IPN;2016;1932,00;10.1016/j.learninstruc.2016.10.001;TRUE;Elsevier;Learning & Instruction;1873-3263;http://www.sciencedirect.com/science/article/pii/S0959475216301633
IPN;2016;1180,67;10.1016/j.lindif.2016.10.003;TRUE;Elsevier;Learning & Individual Differences;1041-6080;http://www.sciencedirect.com/science/article/pii/S1041608016302205
IPN;2016;428,04;10.1177/2158244016668220;FALSE;SAGE;SAGE Open;2158-2440;http://sgo.sagepub.com/content/6/4/2158244016668220
IPN;2016;2618,00;10.1007/s40573-016-0051-2;TRUE;Springer;Zeitschrift für Didaktik der Naturwissenschaften;2197-988X;https://link.springer.com/article/10.1007/s40573-016-0051-2
IPN;2016;1932,00;10.1016/j.learninstruc.2016.10.007;TRUE;Elsevier;Learning & Instruction;1873-3263;http://www.sciencedirect.com/science/article/pii/S0959475216301827
IPN;2016;2693,89;10.1002/acp.3300;TRUE;Wiley;Applied Cognitive Psychology;1099-0720;http://onlinelibrary.wiley.com/doi/10.1002/acp.3300/full
IPN;2016;2558,50;10.1080/00219266.2016.1257504;TRUE;Taylor & Francis;Journal of Biological Education;2157-6009;www.tandfonline.com/doi/full/10.1080/00219266.2016.1257504
IPN;2016;1932,00;10.1016/j.learninstruc.2016.11.005;TRUE;Elsevier;Learning & Instruction;1873-3263;http://www.sciencedirect.com/science/article/pii/S0959475216302262
IPN;2016;1932,00;10.1016/j.chb.2016.11.028;TRUE;Elsevier;Computers in Human Behavior;1873-7692;http://www.sciencedirect.com/science/article/pii/S0747563216307695
IPN;2016;3540,25;10.1002/tea.21378;TRUE;Wiley;Journal of Research in Science Teaching;1098-2736;http://onlinelibrary.wiley.com/doi/10.1002/tea.21378/full
IPN;2017;2558,50;10.1080/09500693.2016.1276641 ;TRUE;Taylor & Francis;International Journal of Science Education;1464-5289;http://www.tandfonline.com/doi/full/10.1080/09500693.2016.1276641
IPN;2017;2618,00;10.1007/s40573-016-0053-0;TRUE;Springer;Zeitschrift für Didaktik der Naturwissenschaften;2197-988X;https://link.springer.com/article/10.1007/s40573-016-0053-0
IPN;2017;2618,00;10.1007/s11191-016-9860-4;TRUE;Springer;Science & Education;1573-1901;https://link.springer.com/article/10.1007%2Fs11191-016-9860-4
