"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"IST Austria",2016,561.68,"10.12688/f1000research.7654.1",FALSE,"F1000 Research, Ltd.","F1000Research","2046-1402",NA,"2046-1402","2046-1402","https://creativecommons.org/licenses/by/4.0",TRUE,"26925228","PMC4748827",NA,NA,TRUE
"IST Austria",2016,1884.47,"10.1103/physrevx.6.011012",FALSE,"American Physical Society (APS)","Physical Review X","2160-3308",NA,"2160-3308","2160-3308","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000370029800001",NA,TRUE

"IST Austria",2016,4440,"10.1038/ncomms11552",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/3.0/",TRUE,"27174042","PMC4869174","ut:000375938200001",NA,TRUE
"IST Austria",2016,5411.76,"10.1016/j.celrep.2016.06.036",FALSE,"Elsevier BV","Cell Reports","2211-1247","2211-1247",NA,"2211-1247","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"27396324",NA,"ut:000380264200024",NA,TRUE
"IST Austria",2016,3030.59,"10.1016/j.molp.2016.08.010",TRUE,"Elsevier BV","Molecular Plant","1674-2052","1674-2052",NA,"1674-2052","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"27622590","PMC5106287","ut:000389594100008",NA,FALSE
"IST Austria",2016,1596.47,"10.1371/journal.pone.0164675",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"27760158","PMC5070819","ut:000386204000043",NA,TRUE
"IST Austria",2016,1872,"10.1088/1367-2630/18/9/093042",FALSE,"IOP Publishing","New Journal of Physics","1367-2630",NA,"1367-2630","1367-2630","https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000385516800002",NA,TRUE

"IST Austria",2016,5411.76,"10.1016/j.celrep.2016.12.067",FALSE,"Elsevier BV","Cell Reports","2211-1247","2211-1247",NA,"2211-1247","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"28099850","PMC5276807","ut:000396470600013",NA,TRUE
"IST Austria",2016,3468.34,"10.3791/55044",TRUE,"MyJove Corporation","Journal of Visualized Experiments","1940-087X",NA,"1940-087X","1940-087X",NA,TRUE,"28190052","PMC5352271","ut:000397847200041",NA,FALSE
