"institution",period,euro,"doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Aston University",2016,1375.66,"10.1016/j.jbusvent.2015.09.001",TRUE,"Elsevier BV","Journal of Business Venturing","0883-9026","0883-9026",NA,"0883-9026","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,"ut:000366073200002",NA,FALSE
"Cardiff University",2016,2307.64,"10.1128/aem.03010-15",TRUE,"American Society for Microbiology","Applied and Environmental Microbiology","0099-2240","0099-2240","1098-5336","0099-2240","CC BY",TRUE,"26637595","PMC4751845","ut:000369375900006",NA,FALSE
"Cardiff University",2016,3318.87,"10.1016/j.apenergy.2015.12.005",TRUE,"Elsevier BV","Applied Energy","0306-2619","0306-2619",NA,"0306-2619","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,"ut:000372379700024",NA,FALSE
"Cardiff University",2016,3318.87,"10.1016/j.apenergy.2015.12.022",TRUE,"Elsevier BV","Applied Energy","0306-2619","0306-2619",NA,"0306-2619","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,"ut:000372676400004",NA,FALSE
"Cardiff University",2016,2753.78,"10.1002/chem.201504636",TRUE,"Wiley-Blackwell","Chemistry - A European Journal","0947-6539",NA,NA,"0947-6539","http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"26660291","PMC4725223","ut:000368924100010",NA,FALSE
"Plymouth University",2016,1835.85,"10.1111/ejn.13145",TRUE,"Wiley-Blackwell","European Journal of Neuroscience","0953-816X",NA,NA,"0953-816X","http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"26660067","PMC4982106","ut:000373062700001",NA,FALSE
"Swansea University",2016,2777.45,"10.1016/j.msea.2015.12.042",TRUE,"Elsevier BV","Materials Science and Engineering: A","0921-5093","0921-5093",NA,"0921-5093","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,"ut:000370111100037",NA,FALSE
"University of Glasgow",2016,3788.91,"10.1021/acs.accounts.5b00150",TRUE,"American Chemical Society (ACS)","Accounts of Chemical Research","0001-4842","0001-4842","1520-4898","0001-4842","http://pubs.acs.org/page/policy/authorchoice_ccby_termsofuse.html",TRUE,"26214018","PMC4551283","ut:000359892700004",NA,FALSE
"University of Glasgow",2016,3806.84,"10.1021/acs.chemmater.5b03642",TRUE,"American Chemical Society (ACS)","Chemistry of Materials","0897-4756","0897-4756","1520-5002","0897-4756","http://pubs.acs.org/page/policy/authorchoice_ccby_termsofuse.html",TRUE,NA,NA,"ut:000365465600031",NA,FALSE
"University of Glasgow",2016,3763.92,"10.1021/acs.nanolett.5b01953",TRUE,"American Chemical Society (ACS)","Nano Letters","1530-6984","1530-6984","1530-6992","1530-6984","http://pubs.acs.org/page/policy/authorchoice_ccby_termsofuse.html",TRUE,"26252745",NA,"ut:000361252700031",NA,FALSE
"University of Glasgow",2016,3206.24,"10.1021/acs.orglett.5b02345",TRUE,"American Chemical Society (ACS)","Organic Letters","1523-7060","1523-7060","1523-7052","1523-7052","http://pubs.acs.org/page/policy/authorchoice_ccby_termsofuse.html",TRUE,"26394175",NA,"ut:000362384700034",NA,FALSE
"University of Glasgow",2016,3877.45,"10.1021/acsami.5b04465",TRUE,"American Chemical Society (ACS)","ACS Applied Materials & Interfaces","1944-8244","1944-8244","1944-8252","1944-8244","http://pubs.acs.org/page/policy/authorchoice_ccby_termsofuse.html",TRUE,"26400372",NA,"ut:000363001500011",NA,FALSE
"University of Glasgow",2016,3762.46,"10.1021/jacs.5b05434",TRUE,"American Chemical Society (ACS)","Journal of the American Chemical Society","0002-7863","0002-7863","1520-5126","0002-7863","http://pubs.acs.org/page/policy/authorchoice_ccby_termsofuse.html",TRUE,"26175317",NA,"ut:000359279500007",NA,FALSE
"University of Glasgow",2016,3803.64,"10.1021/jacs.5b08139",TRUE,"American Chemical Society (ACS)","Journal of the American Chemical Society","0002-7863","0002-7863","1520-5126","0002-7863","http://pubs.acs.org/page/policy/authorchoice_ccby_termsofuse.html",TRUE,"26477432",NA,"ut:000364355900045",NA,FALSE
"University of Glasgow",2016,1598.93,"10.1103/physrevb.91.224426",TRUE,"American Physical Society (APS)","Physical Review B","1098-0121","1098-0121","1550-235X","1098-0121","http://link.aps.org/licenses/aps-default-license",TRUE,NA,NA,"ut:000356658200004",NA,FALSE
"University of Glasgow",2016,1895.93,"10.1074/jbc.m115.687939",TRUE,"American Society for Biochemistry & Molecular Biology (ASBMB)","Journal of Biological Chemistry","0021-9258","0021-9258","1083-351X","0021-9258",NA,TRUE,"26518871","PMC4697166","ut:000367589500024",NA,FALSE
"University of Glasgow",2016,1404.43,"10.1136/bmjopen-2015-007925",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055","2044-6055","2044-6055","CC BY-NC",TRUE,"26482768","PMC4611206","ut:000365467600020",NA,TRUE
"University of Glasgow",2016,3835.6,"10.1016/j.cub.2015.05.052",TRUE,"Elsevier BV","Current Biology","0960-9822","0960-9822",NA,"0960-9822","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"26196493",NA,"ut:000358465600016",NA,FALSE
"University of Glasgow",2016,4623.61,"10.1016/j.cub.2015.07.070",TRUE,"Elsevier BV","Current Biology","0960-9822","0960-9822",NA,"0960-9822","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"26320948",NA,"ut:000361885100027",NA,FALSE
"University of Glasgow",2016,844,"10.5194/bgd-12-15737-2015",FALSE,"Copernicus GmbH","Biogeosciences Discussions","1810-6285",NA,"1810-6285","1810-6285","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"University of Glasgow",2016,1809.93,"10.1016/j.bmcl.2015.10.077",TRUE,"Elsevier BV","Bioorganic & Medicinal Chemistry Letters","0960-894X","0960-894X",NA,"0960-894X","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"26546217","PMC4658336","ut:000365032800020",NA,FALSE
"University of Glasgow",2016,3025.05,"10.1016/j.compositesa.2015.11.005",TRUE,"Elsevier BV","Composites Part A: Applied Science and Manufacturing","1359-835X","1359-835X",NA,"1359-835X","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,"ut:000369214600016",NA,FALSE
"","","","","","","","","","","","","","","","","",""
"University of Glasgow",2016,1669.17,"10.1016/j.epidem.2015.08.003",FALSE,"Elsevier BV","Epidemics","1755-4365","1755-4365",NA,"1878-0067","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"26972511","PMC4773590","ut:000371176500003",NA,TRUE
"University of Glasgow",2016,3037.79,"10.1016/j.fuel.2015.10.061",TRUE,"Elsevier BV","Fuel","0016-2361","0016-2361",NA,"0016-2361","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,"ut:000364655000024",NA,FALSE
"University of Glasgow",2016,2903.1,"10.1016/j.ijcard.2015.09.014",TRUE,"Elsevier BV","International Journal of Cardiology","0167-5273","0167-5273",NA,"0167-5273","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"26418191","PMC4669307","ut:000366161500076",NA,FALSE
"University of Glasgow",2016,2404.45,"10.1016/j.ijcha.2015.06.009",FALSE,"Elsevier BV","IJC Heart & Vasculature","2352-9067","2352-9067",NA,"2352-9067","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"26753174","PMC4691930",NA,NA,TRUE
"University of Glasgow",2016,2336.65,"10.1016/j.jenvrad.2015.10.029",TRUE,"Elsevier BV","Journal of Environmental Radioactivity","0265-931X","0265-931X",NA,"0265-931X","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"26555367",NA,"ut:000367767500037",NA,FALSE
"University of Glasgow",2016,1452.1,"10.1016/j.jpaa.2015.09.008",TRUE,"Elsevier BV","Journal of Pure and Applied Algebra","0022-4049","0022-4049",NA,"0022-4049","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,"ut:000366070600008",NA,FALSE
"University of Glasgow",2016,2348.86,"10.1016/j.microrel.2015.06.094",TRUE,"Elsevier BV","Microelectronics Reliability","0026-2714","0026-2714",NA,"0026-2714","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,"ut:000364256400008",NA,FALSE
"University of Glasgow",2016,3509.55,"10.1016/j.neo.2015.08.009",FALSE,"Elsevier BV","Neoplasia","1476-5586","1476-5586",NA,"1476-5586","http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"26476078","PMC4611071","ut:000363266700003",NA,TRUE
