"Institution","PubMed Central (PMC) ID","PubMed ID","DOI","Publisher","Journal","ISSN","is_hybrid","period","APC paid (Â£) including VAT if charged","Licence"
"University of Reading","","","10.1021/ic401253q","American Chemical Society","Inorganic Chemistry","0020-1669",TRUE,"2013","2312.62","CC BY"
"University of Reading","","","10.1021/la401025r","American Chemical Society","Langmuir","0743-7463",TRUE,"2013","1229.44","CC BY"
"University of Reading","","","10.3390/ijms140612780","MDPI","International Journal of Molecular Sciences","1422-0067",FALSE,"2013","1371.71","CC BY"
"University of Reading","","","10.3390/su5041747","MDPI","Sustainability","2071-1050",FALSE,"2013","665.24","CC BY"
"University of Reading","","","10.1371/journal.pone.0070860","Public Library of Science","PLOS ONE","1932-6203",FALSE,"2013","1108.43","CC BY"
"University of Reading","","","10.1192/bjp.bp.113.126698","Royal College of Psychiatrists","British Journal of Psychiatry","1472-1465",TRUE,"2013","3000","Unknown"
"University of Reading","","","10.1039/c3cp53165a","Royal Society of Chemistry","Physical Chemistry Chemical Physics","1463-9076",TRUE,"2013","","CC BY"
"University of Reading","","","10.1039/c3fo60291e","Royal Society of Chemistry","Food & Function","2042-650X",TRUE,"2013","","CC BY"
"University of Reading","","","10.1039/c3py00086a","Royal Society of Chemistry","Polymer Chemistry","1759-9954",TRUE,"2013","","CC BY"
"University of Reading","","","10.1039/c3ra42093k","Royal Society of Chemistry","RSC Advances","2046-2069",TRUE,"2013","","CC BY-NC"
"University of Reading","","","10.1039/c3sm27899a","Royal Society of Chemistry","Soft Matter","1744-683X",TRUE,"2013","",""
"University of Reading","","","10.1039/c3sm50303h","Royal Society of Chemistry","Soft Matter","1744-683X",TRUE,"2013","",""
"University of Reading","","","10.1039/c3sm51029h","Royal Society of Chemistry","Soft Matter","1744-683X",TRUE,"2013","","CC BY"
"University of Reading","","","10.1039/c3sm51514a","Royal Society of Chemistry","Soft Matter","1744-683X",TRUE,"2013","","CC BY"
"University of Reading","","","10.1039/c3sm51725j","Royal Society of Chemistry","Soft Matter","1744-683X",TRUE,"2013","","CC BY"
"University of Reading","","","10.1039/c3tb21031f","Royal Society of Chemistry","Journal of Materials Chemistry B","0959-9428",TRUE,"2013","","CC BY"
"University of Reading","","","10.1007/s10584-013-0948-4","Springer","Climatic Change","0165-0009",TRUE,"2013","2678.38","CC BY"
"University of Reading","","","10.1007/s10802-013-9795-z","Springer","Journal of Abnormal Child Psychology","0091-0627",TRUE,"2013","2211.2","CC BY"
"University of Reading","","","10.1007/s10982-013-9196-z","Springer","Law and Philosophy","0167-5249",TRUE,"2013","2250","CC BY"
"University of Reading","","","10.1007/s12311-013-0515-6","Springer","Cerebellum","1473-4230",TRUE,"2013","2200","CC BY"
"University of Reading","","","10.1002/2013gl057630","Wiley-Blackwell","Geophysical Research Letters","0094-8276",TRUE,"2013","1350","CC BY-NC-ND"
"University of Reading","","","10.1002/aur.1323","Wiley-Blackwell","Autism Research","1939-3806",TRUE,"2013","1800","Unknown"
"University of Reading","","","10.1002/rog.20013","Wiley-Blackwell","Review of Geophysics","1944-9208",TRUE,"2013","2250","CC BY"
"University of Reading","","","10.1002/sej.1167","Wiley-Blackwell","Strategic Entrepreneurship Journal","1932-443X",TRUE,"2013","1800","CC BY"
"University of Reading","","","10.1002/wea.2161","Wiley-Blackwell","Weather","1477-8696",TRUE,"2013","1800","CC BY"
"University of Reading","","","10.1111/ejss.12056","Wiley-Blackwell","European Journal of Soil Science","1351-0754",TRUE,"2013","1800","CC BY"
"University of Reading","","","10.1111/ele.12183","Wiley-Blackwell","Ecology Letters","1461-0248",TRUE,"2013","1800","CC BY"
"University of Reading","","","10.1111/josp.12038","Wiley-Blackwell","Journal of Social Philosophy","1467-9833",TRUE,"2013","1800","CC BY"
"University of Reading","","","10.1002/jgrd.50425","Wiley-Blackwell/American Geophysical Union","Journal of Geophysical Research: Atmospheres","2169-8996",TRUE,"2013","1800","CC BY"
