"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"Giessen U",2020,3677.07,"10.1002/syst.202000035",TRUE,"Wiley-Blackwell","ChemSystemsChem","2570-4206","2570-4206","2570-4206","2570-4206","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,"ut:000710542900002",NA,FALSE,"DEAL Wiley Germany"
"Giessen U",2020,3677.07,"10.1002/cssc.201903382",TRUE,"Wiley-Blackwell","ChemSusChem","1864-5631","1864-5631","1864-564X","1864-5631","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"31995281","PMC7318708","ut:000520809600001",NA,FALSE,"DEAL Wiley Germany"
"Giessen U",2020,3677.07,"10.1002/hyp.14011",TRUE,"Wiley-Blackwell","Hydrological Processes","0885-6087","0885-6087","1099-1085","0885-6087","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000612550300002",NA,FALSE,"DEAL Wiley Germany"
"Giessen U",2020,3677.07,"10.1002/asmb.2574",TRUE,"Wiley-Blackwell","Applied Stochastic Models in Business and Industry","1524-1904","1524-1904","1526-4025","1524-1904","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000575666300001",NA,FALSE,"DEAL Wiley Germany"
"Giessen U",2020,3677.07,"10.1111/bph.15057",TRUE,"Wiley-Blackwell","British Journal of Pharmacology","0007-1188","0007-1188","1476-5381","0007-1188","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32201936",NA,"ut:000529067000001",NA,FALSE,"DEAL Wiley Germany"
"Giessen U",2020,3677.07,"10.1002/joc.6532",TRUE,"Wiley-Blackwell","International Journal of Climatology","0899-8418","0899-8418","1097-0088","0899-8418","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000520750400001",NA,FALSE,"DEAL Wiley Germany"
"Giessen U",2020,3677.07,"10.1111/pan.13876",TRUE,"Wiley-Blackwell","Pediatric Anesthesia","1155-5645","1155-5645","1460-9592","1155-5645","http://creativecommons.org/licenses/by/4.0/",TRUE,"32291873",NA,"ut:000529809700001",NA,FALSE,"DEAL Wiley Germany"
"Giessen U",2020,3677.07,"10.1002/cmdc.202000814",TRUE,"Wiley-Blackwell","ChemMedChem","1860-7179","1860-7179","1860-7187","1860-7179","http://creativecommons.org/licenses/by/4.0/",TRUE,"33200541","PMC7984046","ut:000595220600001",NA,FALSE,"DEAL Wiley Germany"
"Giessen U",2020,3677.07,"10.1002/cssc.202001915",TRUE,"Wiley-Blackwell","ChemSusChem","1864-5631","1864-5631","1864-564X","1864-5631","http://creativecommons.org/licenses/by/4.0/",TRUE,"32860491","PMC7821189","ut:000567695500001",NA,FALSE,"DEAL Wiley Germany"
"Giessen U",2020,3677.07,"10.1002/cmdc.202000457",TRUE,"Wiley-Blackwell","ChemMedChem","1860-7179","1860-7179","1860-7187","1860-7179","http://creativecommons.org/licenses/by/4.0/",TRUE,"32744774","PMC7692949","ut:000569234800001",NA,FALSE,"DEAL Wiley Germany"
