"doi","colour charge","cover charge","page charge","permission","reprint","submission fee","payment fee","other"
"10.1080/15361055.2023.2166779",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.fusengdes.2023.113430",NA,NA,NA,NA,NA,NA,NA,NA
"10.1109/tpwrd.2023.3235149",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.apcata.2023.119028",NA,NA,NA,NA,NA,NA,NA,NA
"10.1021/jacs.2c13523",NA,NA,NA,NA,NA,NA,NA,NA
"10.1021/acsami.2c20600",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.apcata.2023.119021",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.scitotenv.2023.161883",NA,NA,NA,NA,NA,NA,NA,NA
"10.1504/ijipm.2021.10044326",NA,NA,NA,NA,NA,NA,NA,NA
"10.1021/acs.nanolett.2c02944",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.actamat.2022.117842",NA,NA,NA,NA,NA,NA,NA,NA
"10.1109/jlt.2023.3243471",NA,NA,NA,NA,NA,NA,NA,NA
"10.1163/24714607-bja10113",NA,NA,NA,NA,NA,NA,NA,NA
"10.1109/tbme.2023.3252889",NA,NA,469.79,NA,NA,NA,NA,NA
"10.1016/j.fusengdes.2023.113552",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.renene.2023.03.074",NA,NA,NA,NA,NA,NA,NA,NA
"10.1021/acs.accounts.3c00020",NA,NA,NA,NA,NA,NA,NA,NA
"10.1098/rspa.2022.0737",NA,NA,NA,NA,NA,NA,NA,NA
"10.1177/20552076231163996",NA,NA,NA,NA,NA,NA,NA,NA
"10.1088/1361-6668/acccb2",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.ijhydene.2023.03.461",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.jpowsour.2023.233010",NA,NA,NA,NA,NA,NA,NA,NA
"10.1021/acsaem.2c03755",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.tsep.2023.101772",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.electacta.2023.142421",NA,NA,NA,NA,NA,NA,NA,NA
"10.1109/ted.2023.3269405",NA,NA,NA,NA,NA,NA,NA,NA
"10.1021/acs.inorgchem.3c00251",NA,NA,NA,NA,NA,NA,NA,NA
"10.1021/acsami.3c01671",NA,NA,NA,NA,NA,NA,NA,NA
"10.1109/tsg.2023.3272749",NA,NA,563.75,NA,NA,NA,NA,NA
"10.1021/acs.est.3c01151",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.cep.2023.109353",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.fusengdes.2023.113753",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.apenergy.2022.120515",NA,NA,NA,NA,NA,NA,NA,NA
"10.1080/15361055.2023.2214695",NA,NA,NA,NA,NA,NA,NA,NA
"10.1080/15361055.2023.2209087",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.energy.2023.128133",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.jmps.2023.105341",NA,NA,NA,NA,NA,NA,NA,NA
"10.1103/physrevapplied.20.014059",NA,NA,NA,NA,NA,NA,NA,NA
"10.1039/d3na00124e",NA,NA,NA,NA,NA,NA,NA,NA
"10.1080/01919512.2023.2233746",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/optica.484200",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.physb.2023.415090",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.492221",NA,NA,NA,NA,NA,NA,NA,NA
"10.1103/physreva.108.022806",NA,NA,NA,NA,NA,NA,NA,NA
"10.1080/15361055.2023.2194235",NA,NA,NA,NA,NA,NA,NA,NA
"10.1080/15361055.2023.2229679",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.erss.2023.103210",NA,NA,NA,NA,NA,NA,NA,NA
"10.1080/15361055.2023.2238170",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.jmr.2023.107517",NA,NA,NA,NA,NA,NA,NA,NA
