institution_ror,institution,period,euro,doi,is_hybrid,opt-out,type,contract_primary_identifier,contract_group_id,external_costsplitting,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee,url
https://ror.org/00mx91s63,Catholic University of Eichstätt-Ingolstadt,2024,907.8,10.1007/s44155-024-00074-4,FALSE,FALSE,journal article,sn2024deal,00mx91s63_sn2024deal_2024,false,907.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00mx91s63,Catholic University of Eichstätt-Ingolstadt,2024,1005.99,10.1186/s40359-024-01677-x,FALSE,FALSE,journal article,sn2024deal,00mx91s63_sn2024deal_2024,false,1005.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00mx91s63,Catholic University of Eichstätt-Ingolstadt,2024,1055.94,10.1057/s41599-024-03012-6,FALSE,FALSE,journal article,sn2024deal,00mx91s63_sn2024deal_2024,false,1055.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00mx91s63,Catholic University of Eichstätt-Ingolstadt,2024,1927.71,10.1038/s41598-024-68969-5,FALSE,FALSE,journal article,sn2024deal,00mx91s63_sn2024deal_2024,false,1927.7099999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00mx91s63,Catholic University of Eichstätt-Ingolstadt,2024,1927.71,10.1038/s41598-024-74873-9,FALSE,FALSE,journal article,sn2024deal,00mx91s63_sn2024deal_2024,false,1927.7099999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00mx91s63,Catholic University of Eichstätt-Ingolstadt,2024,1005.99,10.1186/s40359-024-02238-y,FALSE,FALSE,journal article,sn2024deal,00mx91s63_sn2024deal_2024,false,1005.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00mx91s63,Catholic University of Eichstätt-Ingolstadt,2024,659.12,10.1016/j.mex.2024.102825,FALSE,FALSE,journal article,els2023deal,00mx91s63_els2023deal_2024,false,659.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00mx91s63,Catholic University of Eichstätt-Ingolstadt,2024,848.15,10.1177/20563051241290113,FALSE,FALSE,journal article,sage2024gac,00mx91s63_sage2024gac_2024,false,848.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.0,NA
https://ror.org/00mx91s63,Catholic University of Eichstätt-Ingolstadt,2024,1008.53,10.1080/20008066.2024.2406136,FALSE,FALSE,journal article,tf2024zbw,00mx91s63_tf2024zbw_2024,false,1008.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00mx91s63,Catholic University of Eichstätt-Ingolstadt,2024,1008.53,10.1080/20008066.2024.2416834,FALSE,FALSE,journal article,tf2024zbw,00mx91s63_tf2024zbw_2024,false,1008.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00mx91s63,Catholic University of Eichstätt-Ingolstadt,2024,NA,10.1002/pits.23161,TRUE,FALSE,journal article,wiley2024deal,00mx91s63_wiley2024deal_2024,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00mx91s63,Catholic University of Eichstätt-Ingolstadt,2024,NA,10.1111/1467-923x.13370,TRUE,FALSE,journal article,wiley2024deal,00mx91s63_wiley2024deal_2024,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00mx91s63,Catholic University of Eichstätt-Ingolstadt,2024,NA,10.1111/gec3.12744,TRUE,FALSE,journal article,wiley2024deal,00mx91s63_wiley2024deal_2024,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00mx91s63,Catholic University of Eichstätt-Ingolstadt,2024,NA,10.1111/jbfa.12805,TRUE,FALSE,journal article,wiley2024deal,00mx91s63_wiley2024deal_2024,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00mx91s63,Catholic University of Eichstätt-Ingolstadt,2024,NA,10.1111/area.12980,TRUE,FALSE,journal article,wiley2024deal,00mx91s63_wiley2024deal_2024,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00mx91s63,Catholic University of Eichstätt-Ingolstadt,2024,NA,10.1002/jclp.23757,TRUE,FALSE,journal article,wiley2024deal,00mx91s63_wiley2024deal_2024,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
