"Title";"Institution";"Period";"APC Verlag";"Gezahlt in €";"Bemerkung";"DOI";"base.url";"record.id";"Road";"Publisher";"Journal";"ISSN.1";"ISSN.2";"Type"
"Analysis of fatty acids and triacylglycerides by Pd nanoparticle-assisted laser desorption/ionization mass spectrometry";"INM - Leibniz-Institut für Neue Materialien";2015;"1600 GBP + VAT";0.00 €;"Gold 4 Gold Voucher";"10.1039/c5ay00705d";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Dimethylaminoethyl methacrylate copolymer-siRNA nanoparticles for silencing a therapeutically relevant gene in macrophages";"INM - Leibniz-Institut für Neue Materialien";2015;"1600 GBP + VAT";0.00 €;"Gold 4 Gold Voucher";"10.1039/c4md00490f";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Dispersion analysis of carbon nanotubes, carbon onions, and nanodiamonds for their application as reinforcement phase in nickel metal matrix composites";"INM - Leibniz-Institut für Neue Materialien";2015;"1600 GBP + VAT";0.00 €;"Gold 4 Gold Voucher";"10.1039/c5ra14310a";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Dynamic effects in friction and adhesion through cooperative rupture and formation of supramolecular bonds";"INM - Leibniz-Institut für Neue Materialien";2015;"1600 GBP + VAT";0.00 €;"Gold 4 Gold Voucher";"10.1039/c5nr00329f";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Electrospinning of ultrafine metal oxide/carbon and metal carbide/carbon nanocomposite fibers";"INM - Leibniz-Institut für Neue Materialien";2015;"1600 GBP + VAT";0.00 €;"Gold 4 Gold Voucher";"10.1039/c5ra05409e";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Emulsion soft templating of carbide-derived carbon nanospheres with controllable porosity for capacitive electrochemical energy storage";"INM - Leibniz-Institut für Neue Materialien";2015;"1600 GBP + VAT";0.00 €;"Gold 4 Gold Voucher";"10.1039/c5ta03730a";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Enhanced Capacitance of Nitrogen-Doped Hierarchical Porous Carbide-Derived Carbon in Matched Ionic Liquids";"INM - Leibniz-Institut für Neue Materialien";2015;"1600 GBP + VAT";0.00 €;"Gold 4 Gold Voucher";"10.1039/c5ta04773k";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Enhanced uptake and siRNA-mediated knockdown of a biologically relevant gene using cyclodextrin polyrotaxane";"INM - Leibniz-Institut für Neue Materialien";2015;"1600 GBP + VAT";0.00 €;"Gold 4 Gold Voucher";"10.1039/c4tb01821d";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Formation mechanism for stable hybrid clusters of proteins and nanoparticles";"INM - Leibniz-Institut für Neue Materialien";2015;"4000 USD";0.00 €;"Editor's Choice";"10.1021/acsnano.5b01043";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Heat-to-current conversion of low-grade heat from a thermocapacitive cycle by supercapacitors";"INM - Leibniz-Institut für Neue Materialien";2015;"1000 GBP + VAT";0.00 €;"Gold 4 Gold Voucher";"10.1039/c5ee01192b";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"In situ tracking of defect healing and purification of single-wall carbon nanotubes with laser radiation by time-resolved Raman spectroscopy";"INM - Leibniz-Institut für Neue Materialien";2015;"1600 GBP + VAT";0.00 €;"Gold 4 Gold Voucher";"10.1039/c5ra09316c";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Switching adhesion and friction by light using photosensitive guest-host interactions";"INM - Leibniz-Institut für Neue Materialien";2015;"1000 GBP + VAT";0.00 €;"Gold 4 Gold Voucher";"10.1039/c4cc09204j";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"The springtail cuticle as a blueprint for omniphobic surfaces";"INM - Leibniz-Institut für Neue Materialien";2015;"3300 USD + VAT";0.00 €;"Gold 4 Gold Voucher";"10.1039/c5cs00438a";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Tracking the structural arrangement of ions in carbon supercapacitor nanopores using in situ small-angle X-ray scattering";"INM - Leibniz-Institut für Neue Materialien";2015;"1600 GBP + VAT";0.00 €;"Gold 4 Gold Voucher";"10.1039/c5ee00488h";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Water desalination via capacitive deionization: what is it and what can we expect from it?";"INM - Leibniz-Institut für Neue Materialien";2015;"1000 GBP + VAT";0.00 €;"Gold 4 Gold Voucher";"10.1039/c5ee00519a";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Local variations of HER2 dimerization in breast cancer cells discovered by correlative fluorescence- and liquid electron microscopy";"INM - Leibniz-Institut für Neue Materialien";2015;"1650 USD";1,477.17 €;;"10.1126/sciadv.1500165";;;"gold";;;;;"article"
"Switchable Adhesion in Vacuum using Bio-Inspired Dry Adhesives";"INM - Leibniz-Institut für Neue Materialien";2015;"2250 USD";2,073.73 €;;"10.1021/acsami.5b07287";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Temperature-dependent size effects on the strength of Ta an W micropillars";"INM - Leibniz-Institut für Neue Materialien";2015;"2374,39 GBP";3,213.14 €;;"10.1016/j.actamat.2015.10.016";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Detachment of an adhered micropillar from a dissimilar substrate";"INM - Leibniz-Institut für Neue Materialien";2015;"1600 GBP + VAT";3,508.16 €;;"10.1016/j.jmps.2014.11.004";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Temperature-induced switchable adhesion using Nickel-Titanium-Polydimethylsiloxane hybrid surfaces";"INM - Leibniz-Institut für Neue Materialien";2015;"4000 USD";3,571.43 €;;"10.1002/adfm.201500437";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"A novel bioinspired switchable adhesive with three distinct adhesive states ";"INM - Leibniz-Institut für Neue Materialien";2015;"4000 USD";3,608.48 €;;"10.1002/adfm.201500241";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Studying the Stoichiometry of Epidermal Growth Factor Receptor in Intact Cells using Correlative Microscopy";"INM - Leibniz-Institut für Neue Materialien";2015;"4200 USD + VAT";3,861.00 €;"Video";"10.3791/53186";;;"hybrid";"MyJoVE Corp.";"Journal of Visualized Experiments";"1940-087X";;"video article"
"Numerical simulation of the edge stress singularity and the adhesion strength for compliant mushroom fibrils adhered to rigid substrates";"INM - Leibniz-Institut für Neue Materialien";2015;"3300 USD + VAT";2,945.38 €;;"10.1016/j.ijsolstr.2016.02.018";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
"Review: Carbon onions for electrochemical energy storage";"INM - Leibniz-Institut für Neue Materialien";2016;"2500 GBP + VAT";0.00 €;"Gold 4 Gold Voucher";"10.1039/c5ta08295a";"http://www.leibnizopen.de";"NA";"hybrid";;;;;"article"
