"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Eawag - Swiss Federal Institute of Aquatic Science and Technology",2023,2589.86,"10.1002/edn3.427",FALSE,"Wiley-Blackwell","Environmental DNA","2637-4943","2637-4943","2637-4943","2637-4943","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,TRUE
"WSL - Swiss Federal Institute for Forest, Snow and Landscape Research",2023,1930.15,"10.1002/ppp3.10356",FALSE,"Wiley-Blackwell","PLANTS, PEOPLE, PLANET","2572-2611","2572-2611","2572-2611","2572-2611","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,TRUE
"PSI - Paul Scherrer Institute",2023,785.87,"10.1016/j.net.2023.04.003",FALSE,"Elsevier BV","Nuclear Engineering and Technology","1738-5733","1738-5733",NA,"1738-5733","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"PSI - Paul Scherrer Institute",2023,2410.68,"10.1017/hpl.2023.100",FALSE,"Cambridge University Press (CUP)","High Power Laser Science and Engineering","2095-4719","2095-4719","2052-3289","2052-3289","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"WSL - Swiss Federal Institute for Forest, Snow and Landscape Research",2023,1824.84,"10.1017/jog.2023.24",FALSE,"Cambridge University Press (CUP)","Journal of Glaciology","0022-1430","0022-1430","1727-5652","0022-1430","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"WSL - Swiss Federal Institute for Forest, Snow and Landscape Research",2023,2135.25,"10.1038/s41597-023-02273-1",FALSE,"Springer Nature","Scientific Data","2052-4463",NA,"2052-4463","2052-4463","https://creativecommons.org/licenses/by/4.0",TRUE,"37349340","PMC10287691",NA,NA,TRUE
"WSL - Swiss Federal Institute for Forest, Snow and Landscape Research",2023,2391.19,"10.1038/s41598-023-27946-0",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"36720891","PMC9889332",NA,NA,TRUE
"Empa - Swiss Federal Laboratories for Materials Science and Technology",2023,2378.11,"10.1038/s41598-023-29261-0",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"36737477","PMC9898262",NA,NA,TRUE
"Empa - Swiss Federal Laboratories for Materials Science and Technology",2023,2339.69,"10.1038/s41598-023-35876-0",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"37244978","PMC10224953",NA,NA,TRUE
"PSI - Paul Scherrer Institute",2023,2348.6,"10.1038/s41598-023-36395-8",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"37340016","PMC10282018",NA,NA,TRUE
"PSI - Paul Scherrer Institute",2023,2405.8,"10.1038/s41598-023-42310-y",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"37714939","PMC10504250",NA,NA,TRUE
"Empa - Swiss Federal Laboratories for Materials Science and Technology",2023,2423.14,"10.1038/s41598-023-47707-3",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"37996620","PMC10667359",NA,NA,TRUE
"Empa - Swiss Federal Laboratories for Materials Science and Technology",2023,2286.59,"10.1039/d3na00102d",FALSE,"Royal Society of Chemistry (RSC)","Nanoscale Advances","2516-0230",NA,"2516-0230","2516-0230","http://creativecommons.org/licenses/by/3.0/",TRUE,"37056625","PMC10089083",NA,NA,TRUE
"PSI - Paul Scherrer Institute",2023,2702.25,"10.1103/physrevresearch.5.l022009",FALSE,"American Physical Society (APS)","Physical Review Research","2643-1564",NA,"2643-1564","2643-1564","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Empa - Swiss Federal Laboratories for Materials Science and Technology",2023,2107.99,"10.1109/tmrb.2023.3293192",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Medical Robotics and Bionics","2576-3202",NA,"2576-3202","2576-3202","https://creativecommons.org/licenses/by/4.0/legalcode",TRUE,NA,NA,NA,NA,FALSE
"Eawag - Swiss Federal Institute of Aquatic Science and Technology",2023,2323.79,"10.1111/eva.13540",FALSE,"Wiley-Blackwell","Evolutionary Applications","1752-4571","1752-4571","1752-4571","1752-4571","http://creativecommons.org/licenses/by/4.0/",TRUE,"37124094","PMC10130563",NA,NA,TRUE
"Eawag - Swiss Federal Institute of Aquatic Science and Technology",2023,2424.23,"10.1111/eva.13617",FALSE,"Wiley-Blackwell","Evolutionary Applications","1752-4571","1752-4571","1752-4571","1752-4571","http://creativecommons.org/licenses/by/4.0/",TRUE,"38343775","PMC10853656",NA,NA,TRUE
"Eawag - Swiss Federal Institute of Aquatic Science and Technology",2023,2469.78,"10.1111/eva.13620",FALSE,"Wiley-Blackwell","Evolutionary Applications","1752-4571","1752-4571","1752-4571","1752-4571","http://creativecommons.org/licenses/by/4.0/",TRUE,"38283608","PMC10809192",NA,NA,TRUE
"Eawag - Swiss Federal Institute of Aquatic Science and Technology",2023,2614.08,"10.1186/s12302-023-00779-4",FALSE,"Springer Nature","Environmental Sciences Europe","2190-4715",NA,"2190-4715","2190-4715","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"Empa - Swiss Federal Laboratories for Materials Science and Technology",2023,2194.56,"10.1364/oe.486143",FALSE,"Optica Publishing Group","Optics Express","1094-4087",NA,"1094-4087","1094-4087","https://doi.org/10.1364/OA_License_v2#CCBY",TRUE,"37157669",NA,NA,NA,TRUE
"Empa - Swiss Federal Laboratories for Materials Science and Technology",2023,2324.45,"10.1364/oe.497433",FALSE,"Optica Publishing Group","Optics Express","1094-4087",NA,"1094-4087","1094-4087","https://creativecommons.org/licenses/by/4.0/",TRUE,"37710785",NA,NA,NA,TRUE
"Empa - Swiss Federal Laboratories for Materials Science and Technology",2023,1934.88,"10.1364/ome.500287",FALSE,"Optica Publishing Group","Optical Materials Express","2159-3930",NA,"2159-3930","2159-3930","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Eawag - Swiss Federal Institute of Aquatic Science and Technology",2023,1768.34,"10.1371/journal.pone.0281828",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"37939036","PMC10631627",NA,NA,TRUE
"WSL - Swiss Federal Institute for Forest, Snow and Landscape Research",2023,1850.84,"10.1371/journal.pone.0282006",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"36857351","PMC9977006",NA,NA,TRUE
"Eawag - Swiss Federal Institute of Aquatic Science and Technology",2023,1947.18,"10.1371/journal.pone.0292096",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"37831685","PMC10575531",NA,NA,TRUE
"Eawag - Swiss Federal Institute of Aquatic Science and Technology",2023,2128.41,"10.1371/journal.pwat.0000093",FALSE,"Public Library of Science (PLoS)","PLOS Water","2767-3219",NA,"2767-3219","2767-3219","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"WSL - Swiss Federal Institute for Forest, Snow and Landscape Research",2023,1494.45,"10.1525/elementa.2022.00103",FALSE,"University of California Press","Elementa: Science of the Anthropocene","2325-1026",NA,"2325-1026","2325-1026","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"WSL - Swiss Federal Institute for Forest, Snow and Landscape Research",2023,490.84,"10.1553/eco.mont-15-2s13",FALSE,"Osterreichische Akademie der Wissenschaften, Verlag","eco.mont (Journal on Protected Mountain Areas Research)","2073-106X","2073-106X","2073-1558","2073-106X",NA,TRUE,NA,NA,NA,NA,TRUE
"PSI - Paul Scherrer Institute",2023,2518.15,"10.3389/fchem.2023.1288588",FALSE,"Frontiers Media SA","Frontiers in Chemistry","2296-2646",NA,"2296-2646","2296-2646","https://creativecommons.org/licenses/by/4.0/",TRUE,"37927558","PMC10620610",NA,NA,TRUE
"WSL - Swiss Federal Institute for Forest, Snow and Landscape Research",2023,2518.15,"10.3389/feart.2023.1165861",FALSE,"Frontiers Media SA","Frontiers in Earth Science","2296-6463",NA,"2296-6463","2296-6463","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
