"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"Muenchen LMU",2022,1522.04,"10.1007/s12549-022-00552-0",TRUE,"Springer Nature","Palaeobiodiversity and Palaeoenvironments","1867-1594","1867-1594","1867-1608","1867-1594","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s12549-022-00552-0",FALSE,"DEAL Springer Nature Germany"
"Muenchen LMU",2022,1522.04,"10.1007/s00435-022-00556-6",TRUE,"Springer Nature","Zoomorphology","0720-213X","0720-213X","1432-234X","0720-213X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s00435-022-00556-6",FALSE,"DEAL Springer Nature Germany"
"Muenchen LMU",2022,1522.04,"10.1007/s11016-022-00814-9",TRUE,"Springer Nature","Metascience","0815-0796","0815-0796","1467-9981","0815-0796","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s11016-022-00814-9",FALSE,"DEAL Springer Nature Germany"
"Muenchen LMU",2022,1522.04,"10.3758/s13428-022-01916-2",TRUE,"Springer Nature","Behavior Research Methods","1554-3528",NA,"1554-3528","1554-351X","https://creativecommons.org/licenses/by/4.0",TRUE,"35915360","PMC10439027",NA,"https://doi.org/10.3758/s13428-022-01916-2",FALSE,"DEAL Springer Nature Germany"
"Muenchen LMU",2022,1522.04,"10.1007/s11229-022-03749-0",TRUE,"Springer Nature","Synthese","1573-0964",NA,"1573-0964","0039-7857","https://creativecommons.org/licenses/by/4.0",TRUE,"35789946","PMC9243888",NA,"https://doi.org/10.1007/s11229-022-03749-0",FALSE,"DEAL Springer Nature Germany"
"Muenchen LMU",2022,1522.04,"10.1007/s10994-021-06107-2",TRUE,"Springer Nature","Machine Learning","0885-6125","0885-6125","1573-0565","0885-6125","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s10994-021-06107-2",FALSE,"DEAL Springer Nature Germany"
"Muenchen LMU",2022,1522.04,"10.1007/s00415-022-11017-x",TRUE,"Springer Nature","Journal of Neurology","0340-5354","0340-5354","1432-1459","0340-5354","https://creativecommons.org/licenses/by/4.0",TRUE,"35212790","PMC9553811",NA,"https://doi.org/10.1007/s00415-022-11017-x",FALSE,"DEAL Springer Nature Germany"
"Muenchen LMU",2022,1522.04,"10.1007/s13218-022-00766-6",TRUE,"Springer Nature","KI - Künstliche Intelligenz","0933-1875","0933-1875","1610-1987","0933-1875","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s13218-022-00766-6",FALSE,"DEAL Springer Nature Germany"
"Muenchen LMU",2022,1522.04,"10.1007/s11142-021-09649-x",TRUE,"Springer Nature","Review of Accounting Studies","1380-6653","1380-6653","1573-7136","1380-6653","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s11142-021-09649-x",FALSE,"DEAL Springer Nature Germany"
"Muenchen LMU",2022,1522.04,"10.1007/s11142-021-09666-w",TRUE,"Springer Nature","Review of Accounting Studies","1380-6653","1380-6653","1573-7136","1380-6653","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s11142-021-09666-w",FALSE,"DEAL Springer Nature Germany"
