"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"Muenchen LMU",2022,1384.48,"10.1002/chem.202200492",TRUE,"Wiley-Blackwell","Chemistry - A European Journal","0947-6539","0947-6539","1521-3765","0947-6539","http://creativecommons.org/licenses/by/4.0/",TRUE,"35502815","PMC9400890",NA,"https://doi.org/10.1002/chem.202200492",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1002/cplu.202200186",TRUE,"Wiley-Blackwell","ChemPlusChem","2192-6506","2192-6506","2192-6506","2192-6506","http://creativecommons.org/licenses/by/4.0/",TRUE,"35862933",NA,NA,"https://doi.org/10.1002/cplu.202200186",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1002/ejic.202200100",TRUE,"Wiley-Blackwell","European Journal of Inorganic Chemistry","1434-1948","1434-1948","1099-0682","1434-1948","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"https://doi.org/10.1002/ejic.202200100",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1002/widm.1491",TRUE,"Wiley-Blackwell","WIREs Data Mining and Knowledge Discovery","1942-4787","1942-4787","1942-4795","1942-4795","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,"https://doi.org/10.1002/widm.1491",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1002/adfm.202212436",TRUE,"Wiley-Blackwell","Advanced Functional Materials","1616-301X","1616-301X","1616-3028","1616-301X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,"https://doi.org/10.1002/adfm.202212436",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1111/1744-7917.13137",TRUE,"Wiley-Blackwell","Insect Science","1672-9609","1672-9609","1744-7917","1672-9609","http://creativecommons.org/licenses/by/4.0/",TRUE,"36527289",NA,NA,"https://doi.org/10.1111/1744-7917.13137",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1111/jop.13338",TRUE,"Wiley-Blackwell","Journal of Oral Pathology & Medicine","0904-2512","0904-2512","1600-0714","0904-2512","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"35895622",NA,NA,"https://doi.org/10.1111/jop.13338",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1002/prep.202100358",TRUE,"Wiley-Blackwell","Propellants, Explosives, Pyrotechnics","0721-3115","0721-3115","1521-4087","0721-3115","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"https://doi.org/10.1002/prep.202100358",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1002/ejoc.202101521",TRUE,"Wiley-Blackwell","European Journal of Organic Chemistry","1434-193X","1434-193X","1099-0690","1099-0690","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,"https://doi.org/10.1002/ejoc.202101521",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1002/anie.202117047",TRUE,"Wiley-Blackwell","Angewandte Chemie International Edition","1433-7851","1433-7851","1521-3773","1433-7851","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35023245","PMC9306659",NA,"https://doi.org/10.1002/anie.202117047",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1111/rda.14240",TRUE,"Wiley-Blackwell","Reproduction in Domestic Animals","0936-6768","0936-6768","1439-0531","0936-6768","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"36052807",NA,NA,"https://doi.org/10.1111/rda.14240",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1111/vde.13138",TRUE,"Wiley-Blackwell","Veterinary Dermatology","0959-4493","0959-4493","1365-3164","0959-4493","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"36424528",NA,NA,"https://doi.org/10.1111/vde.13138",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1111/reel.12465",TRUE,"Wiley-Blackwell","Review of European, Comparative & International Environmental Law","2050-0386","2050-0386","2050-0394","2050-0386","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,"https://doi.org/10.1111/reel.12465",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1002/anie.202213872",TRUE,"Wiley-Blackwell","Angewandte Chemie International Edition","1433-7851","1433-7851","1521-3773","1433-7851","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"36315415","PMC10100148",NA,"https://doi.org/10.1002/anie.202213872",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1111/jace.18376",TRUE,"Wiley-Blackwell","Journal of the American Ceramic Society","0002-7820","0002-7820","1551-2916","0002-7820","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"https://doi.org/10.1111/jace.18376",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1002/ange.202210491",TRUE,"Wiley-Blackwell","Angewandte Chemie","0044-8249","0044-8249","1521-3757","0044-8249","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,"https://doi.org/10.1002/ange.202210491",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1002/cne.25351",TRUE,"Wiley-Blackwell","Journal of Comparative Neurology","0021-9967","0021-9967","1096-9861","0021-9967","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"35708548",NA,NA,"https://doi.org/10.1002/cne.25351",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1111/1475-6765.12563",TRUE,"Wiley-Blackwell","European Journal of Political Research","0304-4130","0304-4130","1475-6765","0304-4130","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,"https://doi.org/10.1111/1475-6765.12563",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1002/ejic.202200374",TRUE,"Wiley-Blackwell","European Journal of Inorganic Chemistry","1434-1948","1434-1948","1099-0682","1434-1948","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"https://doi.org/10.1002/ejic.202200374",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1029/2022gl098872",TRUE,"American Geophysical Union (AGU)","Geophysical Research Letters","0094-8276","0094-8276","1944-8007","0094-8276","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"https://doi.org/10.1029/2022GL098872",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1002/anie.202201565",TRUE,"Wiley-Blackwell","Angewandte Chemie International Edition","1433-7851","1433-7851","1521-3773","1433-7851","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35713469","PMC9542918",NA,"https://doi.org/10.1002/anie.202201565",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1111/jop.13300",TRUE,"Wiley-Blackwell","Journal of Oral Pathology & Medicine","0904-2512","0904-2512","1600-0714","0904-2512","http://creativecommons.org/licenses/by/4.0/",TRUE,"35430758",NA,NA,"https://doi.org/10.1111/jop.13300",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1111/infa.12493",TRUE,"Wiley-Blackwell","Infancy","1525-0008","1525-0008","1532-7078","1532-7078","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"35959707",NA,NA,"https://doi.org/10.1111/infa.12493",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1002/alz.12744",TRUE,"Wiley-Blackwell","Alzheimer's & Dementia","1552-5260","1552-5260","1552-5279","1552-5260","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35876563",NA,NA,"https://doi.org/10.1002/alz.12744",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1002/zaac.202200201",TRUE,"Wiley-Blackwell","Zeitschrift für anorganische und allgemeine Chemie","0044-2313","0044-2313","1521-3749","0044-2313","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,"https://doi.org/10.1002/zaac.202200201",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1002/asna.20220048",TRUE,"Wiley-Blackwell","Astronomische Nachrichten","0004-6337","0004-6337","1521-3994","0004-6337","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,"https://doi.org/10.1002/asna.20220048",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1002/cbic.202200414",TRUE,"Wiley-Blackwell","ChemBioChem","1439-4227","1439-4227","1439-7633","1439-4227","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"36218090","PMC10099736",NA,"https://doi.org/10.1002/cbic.202200414",FALSE,"DEAL Wiley Germany"
"Muenchen LMU",2022,1384.48,"10.1002/cbic.202200005",TRUE,"Wiley-Blackwell","ChemBioChem","1439-4227","1439-4227","1439-7633","1439-4227","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35189023","PMC9310808",NA,"https://doi.org/10.1002/cbic.202200005",FALSE,"DEAL Wiley Germany"
