"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"MDC",2018,1291,"10.1371/journal.pone.0198492",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"29889873","PMC5995442","ut:000434786600025",NA,TRUE
"MDC",2018,1215,"10.1371/journal.pone.0191423",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","https://creativecommons.org/publicdomain/zero/1.0/",TRUE,"29373579","PMC5786306","ut:000423425400012",NA,TRUE
"MDC",2018,1974,"10.1016/j.molmet.2017.11.010",FALSE,"Elsevier BV","Molecular Metabolism","2212-8778","2212-8778",NA,"2212-8778","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"29217450","PMC5985021",NA,NA,TRUE
"MDC",2018,1974,"10.1016/j.molmet.2017.12.013",FALSE,"Elsevier BV","Molecular Metabolism","2212-8778","2212-8778",NA,"2212-8778","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"29310936","PMC5985048","ut:000429084900009",NA,TRUE
"MDC",2018,2006,"10.7554/elife.31037",FALSE,"eLife Sciences Publications, Ltd","eLife","2050-084X",NA,"2050-084X","2050-084X","http://creativecommons.org/licenses/by/4.0/",TRUE,"29400648","PMC5814147","ut:000425123500001",NA,TRUE
"MDC",2018,4419,"10.1016/j.celrep.2018.01.059",FALSE,"Elsevier BV","Cell Reports","2211-1247","2211-1247",NA,"2211-1247","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"29444423",NA,"ut:000424981600006",NA,TRUE
"MDC",2018,4419,"10.1016/j.celrep.2018.02.094",FALSE,"Elsevier BV","Cell Reports","2211-1247","2211-1247",NA,"2211-1247","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"29562178",NA,"ut:000427944200013",NA,TRUE
"MDC",2018,4419,"10.1016/j.celrep.2018.08.001",FALSE,"Elsevier BV","Cell Reports","2211-1247","2211-1247",NA,"2211-1247","http://creativecommons.org/licenses/by/4.0/",TRUE,"30184509",NA,"ut:000443588800023",NA,TRUE
"MDC",2018,4419,"10.1016/j.celrep.2018.08.088",FALSE,"Elsevier BV","Cell Reports","2211-1247","2211-1247",NA,"2211-1247","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"30257207","PMC6172694","ut:000445524700010",NA,TRUE
"MDC",2018,3017,"10.1016/j.celrep.2018.11.003",FALSE,"Elsevier BV","Cell Reports","2211-1247","2211-1247",NA,"2211-1247","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"30485812",NA,"ut:000451469100014",NA,TRUE
"MDC",2018,1138,"10.3390/ijms19020391",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"29382132","PMC5855613","ut:000427527400075",NA,TRUE
"MDC",2018,1370,"10.1038/s41598-018-26579-y",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"29849099","PMC5976626","ut:000433539800015",NA,TRUE
"MDC",2018,1370,"10.1038/s41598-018-27394-1",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"29907857","PMC6003911","ut:000435338900044",NA,TRUE
"MDC",2018,3850,"10.1038/s41467-018-04353-y",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","http://creativecommons.org/licenses/by/4.0",TRUE,"29773801","PMC5958052","ut:000432346200008",NA,TRUE
"MDC",2018,3850,"10.1038/s41467-018-06962-z",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","http://creativecommons.org/licenses/by/4.0",TRUE,"30367057","PMC6203779","ut:000448414100022",NA,TRUE
"MDC",2018,3094,"10.1038/s41467-018-03995-2",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"29670095","PMC5906477","ut:000430286800015",NA,TRUE
"MDC",2018,3850,"10.1038/s41467-018-07474-6",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","http://creativecommons.org/licenses/by/4.0",TRUE,"30504829","PMC6269453","ut:000451740400001",NA,TRUE
"MDC",2018,3700,"10.1038/s41467-018-03502-7",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"29545531","PMC5854696","ut:000427470600007",NA,TRUE
"MDC",2018,3850,"10.1038/s41467-018-04402-6",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","http://creativecommons.org/licenses/by/4.0",TRUE,"29784942","PMC5962599","ut:000432535300005",NA,TRUE
"MDC",2018,3700,"10.1038/s41467-018-04566-1",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","http://creativecommons.org/licenses/by/4.0",TRUE,"29867082","PMC5986786","ut:000434014800004",NA,TRUE
"MDC",2018,1396,"10.1186/s12889-018-5814-x",FALSE,"Springer Nature","BMC Public Health","1471-2458",NA,"1471-2458","1471-2458",NA,TRUE,"30075718","PMC6090749","ut:000441215600001",NA,TRUE
"MDC",2018,1396,"10.1186/s12889-018-5415-8",FALSE,"Springer Nature","BMC Public Health","1471-2458",NA,"1471-2458","1471-2458","http://creativecommons.org/licenses/by/4.0/",TRUE,"29678152","PMC5910625","ut:000430754900006",NA,TRUE
"MDC",2018,1936,"10.1186/s12864-018-4540-1",FALSE,"Springer Nature","BMC Genomics","1471-2164",NA,"1471-2164","1471-2164",NA,TRUE,"29463232","PMC5819699","ut:000425519100006",NA,TRUE
"MDC",2018,1988,"10.1186/s13059-018-1521-2",FALSE,"Springer Nature","Genome Biology","1474-760X",NA,"1474-760X","1465-6906",NA,TRUE,"30384847","PMC6211453","ut:000449087900001",NA,TRUE
"MDC",2018,1800,"10.1186/s12885-018-4197-9",FALSE,"Springer Nature","BMC Cancer","1471-2407",NA,"1471-2407","1471-2407","http://creativecommons.org/licenses/by/4.0/",TRUE,"29544454","PMC5856000","ut:000427774400007",NA,TRUE
"MDC",2018,842,"10.12688/f1000research.13511.2",FALSE,"F1000 Research, Ltd.","F1000Research","2046-1402",NA,"2046-1402","2046-1402","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"MDC",2018,2556,"10.1093/nar/gky165",FALSE,"Oxford University Press (OUP)","Nucleic Acids Research","0305-1048","0305-1048","1362-4962","0305-1048","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"29518215","PMC6007684","ut:000438329100034",NA,TRUE
"MDC",2018,2880,"10.1093/nar/gkx1299",FALSE,"Oxford University Press (OUP)","Nucleic Acids Research","0305-1048","0305-1048","1362-4962","0305-1048","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"29309642","PMC5829564","ut:000426293300044",NA,TRUE
"MDC",2018,515,"10.19185/matters.201805000009",FALSE,"Sciencematters","Matters Select","2297-9239",NA,NA,"2297-9239",NA,TRUE,NA,NA,NA,NA,FALSE
"MDC",2018,1828,"10.3389/fnmol.2018.00019",FALSE,"Frontiers Media SA","Frontiers in Molecular Neuroscience","1662-5099",NA,"1662-5099","1662-5099","https://creativecommons.org/licenses/by/4.0/",TRUE,"29472841","PMC5809486","ut:000424480600001",NA,TRUE
"MDC",2018,1828,"10.3389/fnmol.2018.00345",FALSE,"Frontiers Media SA","Frontiers in Molecular Neuroscience","1662-5099",NA,"1662-5099","1662-5099","https://creativecommons.org/licenses/by/4.0/",TRUE,"30319353","PMC6166100","ut:000445373100001",NA,TRUE
