"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"MHB Fontane",2024,3296.3,"10.2147/ppa.s462689",FALSE,"Informa UK Limited","Patient Preference and Adherence","1177-889X",NA,"1177-889X","1177-889X","https://creativecommons.org/licenses/by-nc/3.0/",TRUE,"39050274","PMC11268774",NA,NA,TRUE
"MHB Fontane",2024,3322.3,"10.3389/fcvm.2024.1302152",FALSE,"Frontiers Media SA","Frontiers in Cardiovascular Medicine","2297-055X",NA,"2297-055X","2297-055X","https://creativecommons.org/licenses/by/4.0/",TRUE,"38545345","PMC10967658",NA,NA,TRUE
"MHB Fontane",2024,3670.02,"10.3389/fpsyt.2024.1390673",FALSE,"Frontiers Media SA","Frontiers in Psychiatry","1664-0640",NA,"1664-0640","1664-0640","https://creativecommons.org/licenses/by/4.0/",TRUE,"38881553","PMC11177324",NA,NA,TRUE
"MHB Fontane",2024,540.4,"10.3389/fpubh.2024.1397127",FALSE,"Frontiers Media SA","Frontiers in Public Health","2296-2565",NA,"2296-2565","2296-2565","https://creativecommons.org/licenses/by/4.0/",TRUE,"38864020",NA,NA,NA,TRUE
"MHB Fontane",2024,3671.73,"10.3389/fimmu.2024.1386993",FALSE,"Frontiers Media SA","Frontiers in Immunology","1664-3224",NA,"1664-3224","1664-3224","https://creativecommons.org/licenses/by/4.0/",TRUE,"38736877","PMC11082354",NA,NA,TRUE
"MHB Fontane",2024,3630.94,"10.3389/fcvm.2024.1444466",FALSE,"Frontiers Media SA","Frontiers in Cardiovascular Medicine","2297-055X",NA,"2297-055X","2297-055X","https://creativecommons.org/licenses/by/4.0/",TRUE,"39534496","PMC11554479",NA,NA,TRUE
"MHB Fontane",2024,3685.55,"10.3389/fnut.2024.1356986",FALSE,"Frontiers Media SA","Frontiers in Nutrition","2296-861X",NA,"2296-861X","2296-861X","https://creativecommons.org/licenses/by/4.0/",TRUE,"39021601","PMC11253720",NA,NA,TRUE
"MHB Fontane",2024,3638.35,"10.3389/fpsyg.2024.1339734",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"39286564","PMC11402802",NA,NA,TRUE
"MHB Fontane",2024,3750.05,"10.3389/fsurg.2024.1479870",FALSE,"Frontiers Media SA","Frontiers in Surgery","2296-875X",NA,"2296-875X","2296-875X","https://creativecommons.org/licenses/by/4.0/",TRUE,"39679068","PMC11638169",NA,NA,TRUE
"MHB Fontane",2024,400,"10.3205/zma001671",FALSE,"German Medical Science","GMS Journal for Medical Education","2366-5017",NA,"2366-5017","2366-5017",NA,FALSE,"38779698","PMC11106572",NA,NA,TRUE
