institution;period;euro;doi;is_hybrid;publisher;journal_full_title;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;809;10.1002/cnr2.1493;false;Wiley;Cancer_Reports;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2094;10.1002/cti2.1340;false;Wiley;Clinical_and_Translational_Immunology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1371;10.1002/ece3.7437;false;Wiley;Ecology and Evolution;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1714;10.1002/ece3.7514;false;Wiley;Ecology_and_Evolution;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1714;10.1002/ece3.8076;false;Wiley;Ecology_and_Evolution;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1476;10.1002/ecs2.3745;false;Wiley;Ecography;;;;;
Martin Luther Universitaet Halle-Wittenberg;2020;1670;10.1002/vms3.406;false;Wiley;Veterinary_Medicine_and_Science;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1142;10.1007/s40955-021-00180-9;false;Springer_Nature;Zeitschrift_für_Weiterbildungsforschung;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;446;10.1016/j.dib.2021.107428;false;Elsevier;Data_in_Brief;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1916;10.1016/j.ijpddr.2021.05.008;false;Elsevier;International_Journal_for_Parasitology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;940;10.1016/j.inat.2021.101195;false;Elsevier;Interdisciplinary_Neurosurgery;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;3451;10.1038/s41398-021-01322-w;false;Springer_Nature;Translational_Psychiatry ;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;3451;10.1038/s41419-021-03872-9;false;Springer_Nature;Cell_Death_and_Disease;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;3541;10.1038/s41467-020-20446-z;false;Springer_Nature;Nature_Communications;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;3451;10.1038/s41467-021-21102-w;false;Springer_Nature;Nature_Communications;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;3451;10.1038/s41467-021-21977-9 ;false;Springer_Nature;Nature_Communications;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1837;10.1038/s41597-021-00836-8;false;Springer_Nature;Scientific_Data;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1837;10.1038/s41598-021-82739-7;false;Springer_Nature;Scientific_Reports;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1837;10.1038/s41598-021-85119-3;false;Springer_Nature;Scientific_Reports;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1837;10.1038/s41598-021-86587-3;false;Springer_Nature;Scientific_Reports;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1837;10.1038/s41598-021-87515-1;false;Springer_Nature;Scientific_Reports;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1837;10.1038/s41598-021-87682-1;false;Springer_Nature;Scientific_Reports;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1837;10.1038/s41598-021-91369-y;false;Springer_Nature;Scientific_Reports;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1837;10.1038/s41598-021-92284-y;false;Springer_Nature;Scientific_Reports;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;631;10.1080/25729861.2021.1924486;false;Taylor_and_Francis;Tapuya;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;431;10.1107/S2056989021000517;false;Wiley;Acta_Crystallographica_Section_E;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;297;10.1107/S2414314621005940;false;International_Union_of_chrystallography_(IUCr); Acta_Crystallographica_Section_E;;;;;
Martin Luther Universitaet Halle-Wittenberg;2020;1726;10.1111/ddi.13184;false;Wiley;Diversity_and_Distributions;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1771;10.1111/ddi.13260;false;Wiley;Diversity_and_Distributions;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1771;10.1111/ddi.13277;false;Wiley;Diversity_and_Distributions;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1999;10.1111/ecog.05836;false;Wiley;Ecography;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2326;10.1155/2021/3002439;false;Hindawi Publishing Corporation;Mediators_of_Inflammation;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2266;10.1186/s12575-021-00144-w;false;Springer_Nature;Biological_Procedures_Online;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1970;10.1186/s12885-021-08761-0;false;Springer_Nature Nature;BMC_Cancer;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2010;10.1186/s12913-021-06386-4;false;Springer_Nature;BMC_Health_Services_Research;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2066;10.1186/s12939-020-01375-1;false;Springer_Nature;International_Journal_for_Equity_in_Health;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1704;10.1186/s12944-021-01476-y;false;Springer_Nature;Lipids_in_Health_and_Disease ;;;;;
Martin Luther Universitaet Halle-Wittenberg;2020;2311;10.1186/s12967-020-02544-0;false;Springer_Nature;Journal_of_Translational_Medicine;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2178;10.1186/s12986-021-00594-9;false;Springer_Nature;Nutrition_and_Metabolism;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2010;10.1186/s12995-021-00306-2;false;Springer_Nature;Journal_of_Occupational_Medicine_and_Toxicology ;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2656;10.1186/s13046-020-01815-4;false;Springer_Nature;Journal_of_Experimental_and_Clinical_Cancer_Research;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2138;10.1186/s40364-021-00281-0;false;Springer_Nature;Biomarker Research ;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;595;10.1515/ncrs-2021-0138;false;de Gruyter;Zeitschrift_für_Kristallographie_New_Crystal_Structures;;;;;
Martin Luther Universitaet Halle-Wittenberg;2020;1894;10.21203/rs.3.rs-22961/v1;false;Springer_Nature;BMC_Geriatrics;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;3065;10.2147/PPA.S320972;false;Dove_Medical_Press_LTD.;Patient Preference and Adherence;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1031;10.31083/j.jin.2021.01.392;false;IMR;Journal_of_Integrative_Neuroscience;;;;;
Martin Luther Universitaet Halle-Wittenberg;2020;1942;10.3389/fbioe.2020.600384;false;Frontiers_MEDIA_SA;Frontiers_in_Plant_Science;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1742;10.3389/fcell.2021.664553;false;Frontiers_MEDIA_SA;Frontiers_in_Cell_Developmental_Biology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1997;10.3389/fcell.2021.745670;false;Frontiers_MEDIA_SA;Frontiers_in Cell and Developmental Biology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1997;10.3389/fchem.2021.771974;false;Frontiers_MEDIA_SA;Frontiers_ in_Chemistry;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2010;10.3389/fenvs.2021.640534;false;Frontiers_MEDIA_SA;Frontiers_in_Environmental Science;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1997;10.3389/fevo.2021.758160;false;Frontiers_MEDIA_SA;Frontiers_in_Ecology_and_Evolution;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2010;10.3389/fimmu.2021.597399;false;Frontiers_MEDIA_SA;Frontiers_in_Immunology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1997;10.3389/fmicb.2021.752733;false;Frontiers_MEDIA_SA;Frontiers_in_Microbiology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2010;10.3389/fmolb.2021.632219;false;Frontiers_MEDIA_SA;Frontiers_in_Molecular_Biosciences;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1998;10.3389/fmolb.2021.635548;false;Frontiers_MEDIA_SA;Frontiers_in_Molecular_Biosciences;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;769;10.3389/fmolb.2021.660542;false;Frontiers_MEDIA_SA;Frontiers_in_Molecular_Biosciences;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1997;10.3389/fmolb.2021.667990;false;Frontiers_MEDIA_SA;Frontiers_in_Molecular_Biosciences;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1997;10.3389/fnins.2021.740178;false;Frontiers_MEDIA_SA;Frontiers_in_Neuroscience;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1992;10.3389/fonc.2020.602397;false;Frontiers_MEDIA_SA;Frontiers_in_Oncology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1998;10.3389/fonc.2021.637522;false;Frontiers_MEDIA_SA;Frontiers_in_Oncology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1998;10.3389/fonc.2021.637981;false;Frontiers_MEDIA_SA;Frontiers_in_Oncology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1998;10.3389/fonc.2021.647737;false;Frontiers_MEDIA_SA;Frontiers_in_Oncology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1997;10.3389/fonc.2021.736597;false;Frontiers_MEDIA_SA;Frontiers_in_Oncology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2002;10.3389/fphar.2020.591773;false;Frontiers_MEDIA_SA;Frontiers_in_Pharmacology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2010;10.3389/fphar.2020.627838;false;Frontiers_MEDIA_SA;Frontiers_in_Pharmacology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1998;10.3389/fphar.2021.582916;false;Frontiers_MEDIA_SA;Frontiers_in_Pharmacology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2010;10.3389/fphar.2021.727717;false;Frontiers_MEDIA_SA;Frontiers_in_Pharmacology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2002;10.3389/fpls.2020.630788;false;Frontiers_MEDIA_SA;Frontiers_in_Plant_Science;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1997;10.3389/fpls.2021.764537;false;Frontiers_MEDIA_SA;Frontiers_in_Plant_Science;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2010;10.3389/fpsyg.2021.615518;false;Frontiers_MEDIA_SA;Frontiers_in_Psychology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1997;10.3389/fpsyg.2021.667165;false;Frontiers_MEDIA_SA;Frontiers_in_Psychology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;432;10.3389/fpsyg.2021.671901;false;Frontiers_MEDIA_SA;Frontiers_in_Psychology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1998;10.3389/fpsyt.2021.643315;false;Frontiers_MEDIA_SA;Frontiers_in_Psychiatry;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1152;10.3390/agriculture11010028;false;MDPI_Basel ;agriculture;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;221;10.3390/ani11020341;false;MDPI_Basel;Animals;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1803;10.3390/app11094185;false;MDPI_Basel;Applied_Sciences;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1931;10.3390/app11114767;false;MDPI_Basel;Applied_Sciences;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1931;10.3390/app11125546;false;MDPI_Basel;Applied_Sciences;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1931;10.3390/app11125587;false;MDPI_Basel;Applied_Sciences;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1738;10.3390/biology10050400;false;MDPI_Basel;Biology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1545;10.3390/biology10050407;false;MDPI_Basel;Biology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1545;10.3390/biology10050415;false;MDPI_Basel;Biology;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1881;10.3390/biomedicines9050569;false;MDPI_Basel;Biomedicines;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1738;10.3390/brainsci11040449;false;MDPI_Basel;Brain_Sciences;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;1940;10.3390/cancers13040697;false;MDPI_Basel ;Cancers;;;;;
Martin Luther Universitaet Halle-Wittenberg;2021;2171;10.3390/cancers13051064;false;MDPI_Basel;Cancers;;;;;
