"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"MPG",2014,2915.09,"10.15252/msb.20145654",FALSE,"EMBO","Molecular Systems Biology","1744-4292",NA,"1744-4292",NA,TRUE,"25527639","PMC4300491",NA,NA,TRUE
"MPG",2014,1626.14,"10.1002/mbo3.185",FALSE,"Wiley-Blackwell","MicrobiologyOpen","20458827",NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"24916761","PMC4287180",NA,NA,FALSE
"MPG",2014,2915.09,"10.1002/emmm.201303744",FALSE,"EMBO","EMBO Molecular Medicine","17574676",NA,NA,NA,TRUE,"24648499","PMC4023888",NA,NA,FALSE
"MPG",2014,1166.04,"10.1002/ece3.1074",FALSE,"Wiley-Blackwell","Ecology and Evolution","20457758",NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"24963386","PMC4063485",NA,NA,FALSE
"MPG",2014,2915.09,"10.1002/msb.134886",FALSE,"EMBO","Molecular Systems Biology","1744-4292",NA,"1744-4292","http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"24489117","PMC4023403",NA,NA,TRUE
"MPG",2015,2915.09,"10.15252/emmm.201505696",FALSE,"EMBO","EMBO Molecular Medicine","1757-4676","1757-4676","1757-4684",NA,TRUE,"26612855","PMC4693501",NA,NA,TRUE
"MPG",2015,2915.09,"10.15252/msb.20145968",FALSE,"EMBO","Molecular Systems Biology","1744-4292",NA,"1744-4292",NA,TRUE,"25814554","PMC4380928",NA,NA,TRUE
"MPG",2015,2242.38,"10.1002/acn3.264",FALSE,"Wiley-Blackwell","Annals of Clinical and Translational Neurology","23289503",NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"26734662","PMC4693593",NA,NA,FALSE
"MPG",2015,1457.55,"10.1002/ece3.1543",FALSE,"Wiley-Blackwell","Ecology and Evolution","20457758",NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"26306169","PMC4541988",NA,NA,FALSE
"MPG",2015,1166.04,"10.1002/ece3.1378",FALSE,"Wiley-Blackwell","Ecology and Evolution","20457758",NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"25691974","PMC4314279",NA,NA,FALSE
"MPG",2015,1990.74,"10.1111/1751-7915.12276",FALSE,"Wiley-Blackwell","Microbial Biotechnology","17517915",NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"25874383","PMC4554464",NA,NA,FALSE
