institution;period;euro;doi;is_hybrid
MPG;2017;1209.60;10.5194/acp-17-12813-2017;FALSE
MPG;2017;1555.20;10.5194/acp-17-12253-2017;FALSE
MPG;2017;2488.32;10.5194/amt-10-3719-2017;FALSE
MPG;2017;1555.20;10.5194/acp-17-11819-2017;FALSE
MPG;2017;1451.52;10.5194/acp-17-11835-2017;FALSE
MPG;2017;1728.00;10.5194/acp-17-13747-2017;FALSE
MPG;2017;3628.80;10.5194/hess-21-5547-2017;FALSE
MPG;2017;1382.40;10.5194/acp-17-14871-2017;FALSE
MPG;2017;2280.96;10.5194/tc-11-2975-2017;FALSE
MPG;2017;1123.20;10.5194/amt-10-4819-2017;FALSE
MPG;2017;2177.28;10.5194/acp-17-14393-2017;FALSE
MPG;2017;2903.04;10.5194/acp-17-14365-2017;FALSE
MPG;2017;1658.88;10.5194/acp-17-8789-2017;FALSE
MPG;2017;2903.04;10.5194/acp-17-8525-2017;FALSE
MPG;2017;1866.24;10.5194/hess-21-4283-2017;FALSE
MPG;2017;1814.40;10.5194/gmd-10-3145-2017;FALSE
MPG;2017;1728.00;10.5194/acp-17-9547-2017;FALSE
MPG;2017;1451.52;10.5194/amt-10-2837-2017;FALSE
MPG;2017;1969.92;10.5194/bg-14-3685-2017;FALSE
MPG;2017;1152.00;10.5194/esd-8-677-2017;FALSE
MPG;2017;1555.20;10.5194/acp-17-9261-2017;FALSE
MPG;2017;1987.20;10.5194/bg-14-4255-2017;FALSE
MPG;2017;2332.80;10.5194/gmd-10-3519-2017;FALSE
MPG;2017;1382.40;10.5194/esd-8-849-2017;FALSE
MPG;2017;1209.60;10.5194/amt-10-3485-2017;FALSE
MPG;2017;1123.20;10.5194/acp-17-10955-2017;FALSE
MPG;2017;1866.24;10.5194/acp-17-10565-2017;FALSE
