institution;period;doi;eur;is_hybrid
MPG;2016;10.21036/LTPUB10165;3168;FALSE
MPG;2016;10.21036/LTPUB10171;3168;FALSE
MPG;2016;10.21036/LTPUB10168 ;3168;FALSE
MPG;2016;10.21036/LTPUB10210;3168;FALSE
MPG;2016;10.21036/LTPUB10207;3168;FALSE
MPG;2016;10.21036/LTPUB10201;3168;FALSE
MPG;2016;10.21036/LTPUB10198 ;3168;FALSE
MPG;2016;10.21036/LTPUB10195;3168;FALSE
MPG;2016;10.21036/LTPUB10204;3168;FALSE
MPG;2016;10.21036/LTPUB10219;3168;FALSE
MPG;2016;10.21036/LTPUB10213;3168;FALSE
MPG;2016;10.21036/LTPUB10228;3168;FALSE
MPG;2016;10.21036/LTPUB10237;3168;FALSE
MPG;2016;10.21036/LTPUB10216;3168;FALSE
MPG;2016;10.21036/LTPUB10225;3168;FALSE
MPG;2016;10.21036/LTPUB10243;3168;FALSE
MPG;2016;10.21036/LTPUB10246;3168;FALSE
MPG;2016;10.21036/LTPUB10255;3168;FALSE
MPG;2016;10.21036/LTPUB10264;3168;FALSE
MPG;2016;10.21036/LTPUB10261;3168;FALSE
MPG;2016;10.21036/LTPUB10273;3168;FALSE
MPG;2016;10.21036/LTPUB10288;3168;FALSE
MPG;2016;10.21036/LTPUB10300;3168;FALSE
MPG;2016;10.21036/LTPUB10267;3168;FALSE
MPG;2016;10.21036/LTPUB10270;3168;FALSE
MPG;2016;10.21036/LTPUB10234;3168;FALSE
MPG;2016;10.21036/LTPUB10258;3168;FALSE
MPG;2016;10.21036/LTPUB10279;3168;FALSE
MPG;2016;10.21036/LTPUB10297;3168;FALSE
MPG;2016;10.21036/LTPUB10291 ;3168;FALSE
MPG;2016;10.21036/LTPUB10309;3168;FALSE
MPG;2016;10.21036/LTPUB10312;3168;FALSE
MPG;2016;10.21036/LTPUB10318;3168;FALSE
MPG;2016;10.21036/LTPUB10306;3168;FALSE
MPG;2016;10.21036/LTPUB10333;3168;FALSE
MPG;2016;10.21036/LTPUB10303;3168;FALSE
MPG;2016;10.21036/LTPUB10321;3168;FALSE
