"doi","colour charge","cover charge","page charge","permission","reprint","submission fee","payment fee","other"
"10.1109/ms.2023.3346646",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/ai5010012",NA,NA,NA,NA,NA,NA,NA,NA
"10.1080/00927872.2024.2315311",NA,NA,NA,NA,NA,NA,NA,NA
"10.1109/access.2024.3357939",NA,NA,NA,NA,NA,NA,NA,NA
"10.1109/access.2024.3380167",NA,NA,NA,NA,NA,NA,NA,NA
"10.2196/50297",NA,NA,NA,NA,NA,NA,NA,NA
"10.1109/jstars.2023.3324732",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/app14072748",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/s24123941",NA,NA,NA,NA,NA,NA,NA,NA
"10.1109/access.2024.3427416",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/educsci14070775",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/app14135469",NA,NA,NA,NA,NA,NA,NA,NA
"10.1109/lgrs.2024.3431683",NA,NA,NA,NA,NA,NA,NA,422.8
"10.1504/ijpd.2024.142760",NA,NA,NA,NA,NA,NA,NA,NA
"10.1109/lgrs.2024.3482091",NA,NA,NA,NA,NA,NA,NA,437.24
"10.3390/app14219909",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/electronics13244874",NA,NA,NA,NA,NA,NA,NA,NA
