institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
gih,2024,3535.61,10.1186/s12889-024-17647-2,FALSE,BioMed Central,BMC Public Health,1471-2458,,,
gih,2024,3333.42,10.1519/JSC.0000000000004782,TRUE,Wolters Kluwer,Journal of Strength and Conditioning Research,1533-4287,,,
gih,2024,2939.12,10.1093/function/zqae005,FALSE,Oxford University Press (OUP),Function,2633-8823,,,
gih,2024,2828.00,10.1123/iscj.2022-0123,TRUE,Human Kinetics,International Sport Coaching Journal,2328-9198,,,
gih,2024,1035.21,10.23865/jased.v7.5852,FALSE,Cappelen Damm Akademisk,Journal for Research in Arts and Sports Education,2535-2857,,,
gih,2024,2693.95,10.1136/bmjopen-2023-083587,FALSE,BMJ Publishing Group,BMJ Open,2044-6055,,,
gih,2024,3380.74,10.1136/military-2023-002656,TRUE,BMJ Publishing Group,BMJ military health,2633-3775,,,
gih,2024,3736.16,10.1186/s12889-024-19306-y,FALSE,BioMed Central,BMC Public Health,1471-2458,,,
gih,2024,2665.69,10.1123/ssj.2024-0011,TRUE,Human Kinetics,Sociology of Sport Journal,0741-1235,,,
gih,2024,4285.22,10.1212/WNL.0000000000210121,TRUE,American Academy of Neurology,Neurology,0028-3878,,,
gih,2024,3270.49,10.1152/ajpcell.00692.2024,TRUE,American Physiological Society,American Journal of Physiology - Cell Physiology,0363-6143,,,
gih,2024,3643.50,10.1519/JSC.0000000000005068,TRUE,Wolters Kluwer,Journal of Strength and Conditioning Research,1533-4287,,,
gih,2024,3226.82,10.1152/ajpendo.00148.2024,TRUE,American Physiological Society,American Journal of Physiology. Endocrinology and Metabolism,0193-1849,,,
gih,2024,3327.36,10.1136/military-2024-002757,TRUE,BMJ Publishing Group,BMJ military health,2633-3775,,,
gih,2024,2487.98,10.5271/sjweh.4192,FALSE,Nordic Association of Occupational Safety and Health (NOROSH),"Scandinavian Journal of Work, Environment and Health",0355-3140,,,
