institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
slu,2021, 1319.74,10.1002/vms3.445,FALSE,Wiley,,,,,
slu,2021,12997.45,10.1007/978-3-030-87498-8,FALSE,Nature,,,,,
slu,2021, 3236.37,10.1007/s10722-021-01132-5,TRUE,Nature,,,,,
slu,2021, 2589.49,10.1007/s11119-020-09780-w,TRUE,Nature,,,,,
slu,2021, 2759.46,10.1016/j.gca.2021.06.010,TRUE,Elsevier,,,,,
slu,2021, 1499.71,10.1016/j.heliyon.2021.e06630,TRUE,Elsevier,,,,,
slu,2021, 1947.62,10.1016/j.ijpddr.2021.03.002,TRUE,Elsevier,,,,,
slu,2021, 2351.85,10.1038/s41467-021-21449-0,FALSE,Nature,,,,,
slu,2021, 1689.67,10.1038/s41598-021-88128-4,FALSE,Nature,,,,,
slu,2021, 1689.67,10.1038/s41598-021-92692-0,FALSE,Nature,,,,,
slu,2021,  864.83,10.1038/s42949-021-00029-7,TRUE,Springer,,,,,
slu,2021, 1724.66,10.1080/09064710.2021.1993993,FALSE,Taylor & Francis,,,,,
slu,2021, 2199.57,10.1080/21645698.2021.1921544,FALSE,Taylor & Francis,,,,,
slu,2021, 2209.57,10.1080/27685241.2021.1999180,FALSE,Taylor & Francis,,,,,
slu,2021, 1977.92,10.1098/rspb.2020.3147,TRUE,The Royal Society,,,,,
slu,2021, 2039.60,10.1098/rspb.2021.0207,TRUE,The Royal Society,,,,,
slu,2021, 3815.25,10.1111/1462-2920.15442,TRUE,Wiley,,,,,
slu,2021, 4319.15,10.1111/fwb.13831,TRUE,Wiley,,,,,
slu,2021,  955.97,10.1128/JCM.01297-21,TRUE,American Society for Microbiology,,,,,
slu,2021, 2537.96,10.1136/bmjdrc-2020-002083,FALSE,BMJ,,,,,
slu,2021, 1332.43,10.1139/as-2020-0053,FALSE,Canadian Science Publishing,,,,,
slu,2021, 2537.96,10.1139/cjb-2021-0023,TRUE,Canadian Science Publishing,,,,,
slu,2021, 2537.96,10.1139/cjfr-2020-0210,TRUE,Canadian Science Publishing,,,,,
slu,2021, 2114.97,10.1371/journal.pcbi.1008716,FALSE,PLoS,,,,,
slu,2021, 2114.97,10.1371/journal.pgen.1009370,FALSE,PLoS,,,,,
slu,2021, 1433.95,10.1371/journal.pone.0241532,FALSE,PLos,,,,,
slu,2021, 1433.95,10.1371/journal.pone.0249322,FALSE,PLoS,,,,,
slu,2021, 1479.63,10.1371/journal.pone.0251834,FALSE,PLoS,,,,,
slu,2021, 1433.95,10.1371/journal.pone.0252580,FALSE,PLoS,,,,,
slu,2021, 1433.95,10.1371/journal.pone.0253776,FALSE,PLoS,,,,,
slu,2021, 1433.95,10.1371/journal.pone.0255569,FALSE,PLoS,,,,,
slu,2021, 1479.63,10.1371/journal.pone.0257564,FALSE,PLoS,,,,,
slu,2021, 1479.63,10.1371/journal.pone.0258211,FALSE,PLoS,,,,,
slu,2021,  799.84,10.14214/sf.10460,FALSE,Finnish Society of Forest Science,,,,,
slu,2021, 1649.81,10.1530/EC-21-0045,FALSE,Bioscientifica,,,,,
slu,2021, 1311.74,10.3168/jdsc.2020-0064,TRUE,Elsevier,,,,,
slu,2021,  875.60,10.3389/fclim.2021.766583,FALSE,Frontiers,,,,,
slu,2021, 1579.46,10.3389/fevo.2021.795994,FALSE,Frontiers,,,,,
slu,2021, 1895.86,10.3389/fevo.2021.800057,FALSE,Frontiers,,,,,
slu,2021, 2246.10,10.3389/fmicb.2016.00911,FALSE,Frontiers,,,,,
slu,2021,  998.27,10.3389/fpls.2021.799482,FALSE,Frontiers,,,,,
slu,2021, 2495.66,10.3389/fvets.2021.601386,FALSE,Frontiers,,,,,
slu,2021, 2246.10,10.3389/fvets.2021.799619,FALSE,Frontiers,,,,,
slu,2021, 1439.72,10.3390/agriculture11100993,FALSE,MDPI,,,,,
slu,2021, 1297.75,10.3390/agriculture11111175,FALSE,MDPI,,,,,
slu,2021, 1297.75,10.3390/agriculture12010005,FALSE,MDPI,,,,,
slu,2021, 1498.71,10.3390/agronomy11020388,FALSE,MDPI,,,,,
slu,2021, 1459.71,10.3390/agronomy11040679,FALSE,MDPI,,,,,
slu,2021, 1459.71,10.3390/agronomy11081479,FALSE,MDPI,,,,,
slu,2021, 1399.73,10.3390/ani11020379,FALSE,MDPI,,,,,
slu,2021, 1439.72,10.3390/ani11020382,FALSE,MDPI,,,,,
slu,2021, 1498.71,10.3390/ani11020575,FALSE,MDPI,,,,,
slu,2021, 1619.68,10.3390/ani11030708,FALSE,MDPI,,,,,
slu,2021, 1473.71,10.3390/ani11030829,FALSE,MDPI,,,,,
slu,2021, 1531.70,10.3390/ani11040924,FALSE,MDPI,,,,,
slu,2021, 1462.71,10.3390/ani11040945,FALSE,MDPI,,,,,
slu,2021, 1459.71,10.3390/ani11061482,FALSE,MDPI,,,,,
slu,2021,  899.82,10.3390/ani11061643,FALSE,MDPI,,,,,
slu,2021, 1459.71,10.3390/ani11061677,FALSE,MDPI,,,,,
slu,2021, 1619.68,10.3390/ani11071899,FALSE,MDPI,,,,,
slu,2021, 1459.71,10.3390/ani11082197,FALSE,MDPI,,,,,
slu,2021, 1459.71,10.3390/ani11082320,FALSE,MDPI,,,,,
slu,2021, 1459.71,10.3390/ani11092481,FALSE,MDPI,,,,,
slu,2021, 1459.71,10.3390/ani11092552,FALSE,MDPI,,,,,
slu,2021, 1216.76,10.3390/ani11102901,FALSE,MDPI,,,,,
slu,2021, 1459.71,10.3390/ani11102935,FALSE,MDPI,,,,,
slu,2021, 1459.71,10.3390/ani11113163,FALSE,MDPI,,,,,
slu,2021, 1619.68,10.3390/ani11113269,FALSE,MDPI,,,,,
slu,2021, 1459.71,10.3390/ani11113299,FALSE,MDPI,,,,,
slu,2021, 1619.68,10.3390/ani12010046,FALSE,MDPI,,,,,
slu,2021, 1335.74,10.3390/antibiotics10020129,FALSE,MDPI,,,,,
slu,2021, 1619.68,10.3390/antibiotics10030331,FALSE,MDPI,,,,,
slu,2021, 1622.68,10.3390/cells10081971,FALSE,MDPI,,,,,
slu,2021, 1135.78,10.3390/cli9060088,FALSE,MDPI,,,,,
slu,2021,  810.84,10.3390/dairy2030027,FALSE,MDPI,,,,,
slu,2021, 1499.71,10.3390/en14040898,FALSE,MDPI,,,,,
slu,2021, 1502.71,10.3390/f12020159,FALSE,MDPI,,,,,
slu,2021, 1502.71,10.3390/f12020225,FALSE,MDPI,,,,,
slu,2021, 1459.71,10.3390/f12070897,FALSE,MDPI,,,,,
slu,2021, 1459.71,10.3390/f12111513,FALSE,MDPI,,,,,
slu,2021, 1459.71,10.3390/f12121656,FALSE,MDPI,,,,,
slu,2021, 1135.78,10.3390/f12121810,FALSE,MDPI,,,,,
slu,2021, 1036.80,10.3390/foods10020393,FALSE,MDPI,,,,,
slu,2021, 1622.68,10.3390/foods10050932,FALSE,MDPI,,,,,
slu,2021, 1622.68,10.3390/foods10081778,FALSE,MDPI,,,,,
slu,2021, 1622.68,10.3390/foods10112533,FALSE,MDPI,,,,,
slu,2021,  900.82,10.3390/futuretransp1020014,FALSE,MDPI,,,,,
slu,2021,  810.84,10.3390/futuretransp1030033,FALSE,MDPI,,,,,
slu,2021, 1491.71,10.3390/genes12010063,FALSE,MDPI,,,,,
slu,2021, 1799.65,10.3390/genes12030433,FALSE,MDPI,,,,,
slu,2021, 1135.78,10.3390/horticulturae7110484,FALSE,MDPI,,,,,
slu,2021,  885.83,10.3390/ijerph182010963,FALSE,MDPI,,,,,
slu,2021, 1622.68,10.3390/ijms22126201,FALSE,MDPI,,,,,
slu,2021, 1622.68,10.3390/ijms222112033,FALSE,MDPI,,,,,
slu,2021, 1297.75,10.3390/insects12121119,FALSE,MDPI,,,,,
slu,2021, 1622.68,10.3390/microorganisms9071437,FALSE,MDPI,,,,,
slu,2021, 1622.68,10.3390/microorganisms9081675,FALSE,MDPI,,,,,
slu,2021, 1622.68,10.3390/microorganisms9122431,FALSE,MDPI,,,,,
slu,2021,  900.82,10.3390/molecules26061717,FALSE,MDPI,,,,,
slu,2021, 1329.74,10.3390/plants10010174,FALSE,MDPI,,,,,
slu,2021, 1326.74,10.3390/plants10030443,FALSE,MDPI,,,,,
slu,2021, 1459.71,10.3390/plants10091817,FALSE,MDPI,,,,,
slu,2021, 1619.68,10.3390/plants10091914,FALSE,MDPI,,,,,
slu,2021, 1459.71,10.3390/plants10102212,FALSE,MDPI,,,,,
slu,2021, 1441.72,10.3390/polym13193267,FALSE,MDPI,,,,,
slu,2021, 1441.72,10.3390/pr9101810,FALSE,MDPI,,,,,
slu,2021, 1828.64,10.3390/rs13040720,FALSE,MDPI,,,,,
slu,2021, 1162.77,10.3390/su13020843,FALSE,MDPI,,,,,
slu,2021, 1619.68,10.3390/su13031158,FALSE,MDPI,,,,,
slu,2021, 1495.71,10.3390/su13042329,FALSE,MDPI,,,,,
slu,2021, 1581.69,10.3390/su13052488,FALSE,MDPI,,,,,
slu,2021, 1498.71,10.3390/su13052762,FALSE,MDPI,,,,,
slu,2021,  972.81,10.3390/su13063328,FALSE,MDPI,,,,,
slu,2021, 1540.70,10.3390/su13063475,FALSE,MDPI,,,,,
slu,2021, 1540.70,10.3390/su13084502,FALSE,MDPI,,,,,
slu,2021, 1540.70,10.3390/su13105327,FALSE,MDPI,,,,,
slu,2021, 1540.70,10.3390/su13147628,FALSE,MDPI,,,,,
slu,2021, 1540.70,10.3390/su13169180,FALSE,MDPI,,,,,
slu,2021, 1709.66,10.3390/su131810182,FALSE,MDPI,,,,,
slu,2021, 1709.66,10.3390/su131810242,FALSE,MDPI,,,,,
slu,2021, 1540.70,10.3390/su132011285,FALSE,MDPI,,,,,
slu,2021, 1709.66,10.3390/su132112181,FALSE,MDPI,,,,,
slu,2021, 1540.70,10.3390/su132313354,FALSE,MDPI,,,,,
slu,2021, 1513.70,10.3390/toxins13110737,FALSE,MDPI,,,,,
slu,2021, 1823.64,10.3390/v13030364,FALSE,MDPI,,,,,
slu,2021, 1784.65,10.3390/v13112181,FALSE,MDPI,,,,,
slu,2021, 1637.68,10.3390/vaccines9030236,FALSE,MDPI,,,,,
slu,2021,  999.80,10.3390/vetsci8030036,FALSE,MDPI,,,,,
slu,2021, 1499.71,10.3390/w13040410,FALSE,MDPI,,,,,
slu,2021, 1622.68,10.3390/w13081028,FALSE,MDPI,,,,,
slu,2021, 1399.73,10.3920 / JIFF2020.0157,TRUE,Wageningen Academic Publishers,,,,,
slu,2021, 1399.73,10.3920 / JIFF2021.0043,TRUE,Wageningen Academic Publishers,,,,,
slu,2021, 1799.65,10.3920 /CEP200088,TRUE,Wageningen Academic Publishers,,,,,
slu,2021, 2074.59,10.3920/CEP210019,TRUE,Wageningen Academic Publishers,,,,,
slu,2021, 1022.80,10.5194/bg-18-1321-2021,FALSE,Copernicus,,,,,
slu,2021, 1208.76,10.5194/hess-25-1411-2021,FALSE,Copernicus,,,,,
slu,2021, 1693.67,10.5194/soil-7-377-2021,FALSE,Copernicus,,,,,
slu,2021,  994.04,10.5751/ES-12110-260111,FALSE,Resilience Alliance,,,,,
slu,2021,  994.04,10.5751/ES-12882-270102,FALSE,Resilience Alliance,,,,,
