"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Swedish University of Agricultural Sciences",2024,1908.06,"10.1094/mpmi-10-23-0176-sc",FALSE,"Scientific Societies","Molecular Plant-Microbe Interactions","0894-0282","0894-0282","1943-7706","0894-0282",NA,TRUE,"38551853",NA,NA,NA,TRUE
"Swedish University of Agricultural Sciences",2024,1386,"10.1094/phytofr-05-24-0055-a",FALSE,"Scientific Societies","PhytoFrontiers™","2690-5442",NA,"2690-5442","2690-5442",NA,TRUE,NA,NA,NA,NA,TRUE
"Swedish University of Agricultural Sciences",2024,1201.2,"10.1128/mra.00015-24",FALSE,"American Society for Microbiology","Microbiology Resource Announcements","2576-098X",NA,"2576-098X","2576-098X","https://creativecommons.org/licenses/by/4.0/",TRUE,"38466102","PMC11008133",NA,NA,FALSE
"Swedish University of Agricultural Sciences",2024,3331.94,"10.1136/bmjph-2023-000572",FALSE,"BMJ","BMJ Public Health","2753-4294",NA,"2753-4294","2753-4294","https://creativecommons.org/licenses/by/4.0/",TRUE,"40018243","PMC11812815",NA,NA,TRUE
"Swedish University of Agricultural Sciences",2024,1800.22,"10.1079/cabireviews.2024.0004",TRUE,"CABI Publishing","CABI Reviews","1749-8848",NA,"1749-8848","1749-8848",NA,TRUE,NA,NA,NA,NA,FALSE
"Swedish University of Agricultural Sciences",2024,2772,"10.7554/elife.88695",FALSE,"eLife Sciences Publications, Ltd","eLife","2050-084X",NA,"2050-084X","2050-084X","http://creativecommons.org/licenses/by/4.0/",TRUE,"38477562","PMC11021049",NA,NA,TRUE
"Swedish University of Agricultural Sciences",2024,308.04,"10.1016/j.stress.2024.100592",FALSE,"Elsevier BV","Plant Stress","2667-064X","2667-064X",NA,"2667-064X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Swedish University of Agricultural Sciences",2024,1210.44,"10.3168/jdsc.2023-0401",FALSE,"American Dairy Science Association","JDS Communications","2666-9102","2666-9102",NA,"2666-9102","http://creativecommons.org/licenses/by/4.0/",TRUE,"38223386","PMC10785225",NA,NA,TRUE
"Swedish University of Agricultural Sciences",2024,1210.44,"10.3168/jdsc.2023-0507",FALSE,"American Dairy Science Association","JDS Communications","2666-9102","2666-9102",NA,"2666-9102","http://creativecommons.org/licenses/by/4.0/",TRUE,"39650026","PMC11624388",NA,NA,TRUE
"Swedish University of Agricultural Sciences",2024,3044.58,"10.3389/fenvs.2024.1331783",FALSE,"Frontiers Media SA","Frontiers in Environmental Science","2296-665X",NA,"2296-665X","2296-665X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Swedish University of Agricultural Sciences",2024,2479.31,"10.3390/ijms25189832",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"39337320","PMC11432661",NA,NA,FALSE
"Swedish University of Agricultural Sciences",2024,2401.3,"10.3390/foods13132140",FALSE,"MDPI AG","Foods","2304-8158",NA,"2304-8158","2304-8158","https://creativecommons.org/licenses/by/4.0/",TRUE,"38998645","PMC11241083",NA,NA,TRUE
"Swedish University of Agricultural Sciences",2024,2394.3,"10.3390/foods13152309",FALSE,"MDPI AG","Foods","2304-8158",NA,"2304-8158","2304-8158","https://creativecommons.org/licenses/by/4.0/",TRUE,"39123502","PMC11311401",NA,NA,TRUE
"Swedish University of Agricultural Sciences",2024,2370.3,"10.3390/ijms25126322",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"38928029","PMC11203470",NA,NA,FALSE
