institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
hh,2025, 452.00,10.5324/da.v10i1.5820,FALSE,Dance Articulated,Dance Articulated,2703-8327,,,
hh,2025,3089.85,10.1108/cpoib-08-2024-0099,FALSE,Emerald,Critical Perspectives on International Business,,,1758-6062,
hh,2025,2475.96,10.62320/jfbr.v4i2.73,FALSE,Forest Business Analytics,Journal of Forest Business Research,2956-3364 ,,,
hh,2025,1802.21,10.1109/access.2025.3597554,FALSE,IEEE,IEEE Access,2169-3536,,,
hh,2025,2001.40,10.1109/access.2025.3537800,FALSE,IEEE,IEEE Access,2169-3536,,,
hh,2025,1827.99,10.1109/access.2025.3593933,FALSE,IEEE,IEEE Access,2169-3536,,,
hh,2025,3491.22,10.1177/10519815251381285,TRUE,IOS Press (Sage),Work: A Journal of Prevention,,,1875-9270,
hh,2025, 988.37,10.3390/robotics14020017,FALSE,MDPI,Robotics,2218-6581,,,
hh,2025,3908.28,10.1177/14034948251319382,TRUE,Sage,Scandinavian Journal of public Health,,,1651-1905,
hh,2025, 892.42,10.16993/sjdr.1173,FALSE,Stockholm university press  (Ubiquity Press),Scandinavian Journal of Disability Research,1745-3011,,,
