institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
hj,2022,1091.37,10.3390/buildings12010070,FALSE,,,,,,
hj,2022, 855.65,10.3390/technologies10010029,FALSE,,,,,,
hj,2022, 674.51,10.3389/fmats.2022.889771,FALSE,,,,,,
hj,2022,1504.66,10.3390/su14042364,FALSE,,,,,,
hj,2022,1425.52,10.3390/ma15113789,FALSE,,,,,,
hj,2022,1633.76,10.3390/su14116584,FALSE,,,,,,
hj,2022,1518.30,10.3390/su14127246,FALSE,,,,,,
hj,2022, 558.39,10.22382/bpb-2022-001,FALSE,,,,,,
hj,2022,2083.09,10.3390/su142416333,FALSE,,,,,,
hj,2022,2144.92,10.1016/j.foodpol.2022.102269,TRUE,,,,,,
hj,2022, 940.53,10.3389/feduc.2022.982837,FALSE,,,,,,
hj,2022,1226.88,10.3389/fcomm.2023.1081115,FALSE,,,,,,
hj,2022,2113.77,10.3390/jcm11051182,FALSE,,,,,,
hj,2022, 573.92,10.3389/fpubh.2022.883315,FALSE,,,,,,
hj,2022, 445.47,10.3389/frhs.2022.964489,FALSE,,,,,,
