institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url,colour charge,cover charge,page charge,permission,reprint,submission fee,payment fee,other
ltu,2024,280.61,10.1007/s12555-023-0745-4,True,Springer Nature,"International Journal of Control, Automation and Systems",,,,,,,561.14,,,,,
ltu,2024,2482.99,10.1016/j.egyr.2024.08.004,False,Elsevier,Energy Reports,,,,,,,,,,,,
ltu,2024,3006.67,10.1016/j.erss.2024.103537,True,Elevier,Energy Research & Social Science,,,,,,,,,,,,
ltu,2024,5944.58,10.1016/j.tplants.2024.01.002,True,Cell Press,Trends in Plant Science,,,,,,,,,,,,
ltu,2024,2316.21,10.1061/JSWBAY.SWENG-576,True,American Society of Civil Engineers,Journal of Sustainable Water in the Built Environment,,,,,,,,,,,,
ltu,2024,2289.79,10.1061/JSWBAY.SWENG-583,True,American Society of Civil Engineers,Journal of Sustainable Water in the Built Environment,,,,,,,,,,,,
ltu,2024,1797.86,10.1109/ACCESS.2023.3332208,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,1803.72,10.1109/ACCESS.2024.3353616,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,1839.42,10.1109/ACCESS.2024.3355977,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,2324.61,10.1109/ACCESS.2024.3373195,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,1866.46,10.1109/ACCESS.2024.3377135,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,1961.92,10.1109/access.2024.3390842,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,1974.09,10.1109/ACCESS.2024.3392852,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,2454.11,10.1109/ACCESS.2024.3395791,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,1526.52,10.1109/ACCESS.2024.3419024,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,1550.41,10.1109/ACCESS.2024.3422319,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,1509.11,10.1109/ACCESS.2024.3425350,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,1887.29,10.1109/ACCESS.2024.3436889,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,1833.65,10.1109/access.2024.3447888,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,1843.54,10.1109/ACCESS.2024.3454812,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,1493.27,10.1109/ACCESS.2024.3478739,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,1867.34,10.1109/ACCESS.2024.3478805,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,1947.4,10.1109/ACCESS.2024.3492703,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,2474.06,10.1109/ACCESS.2024.3510136,False,IEEE,IEEE Access,,,,,,,,,,,,
ltu,2024,2245.16,10.1109/JIOT.2024.3386965,True,IEEE,IEEE Internet of Things Journal,,,,,,,,,,,,
ltu,2024,2211.56,10.1109/LWC.2024.3367528,True,IEEE,IEEE Wireless Communications Letters,,,,,,,204.84,,,,,
ltu,2024,2439.41,10.1109/LWC.2024.3496257,True,IEEE,IEEE Wireless Communications Letters,,,,,,,217.17,,,,,
ltu,2024,2921.71,10.1109/MRL.2024.3400748,True,IEEE,IEEE Reliability Magazine,,,,,,,,,,,,
ltu,2024,1829.01,10.1109/OJCOMS.2024.3462689,False,IEEE,IEEE Open Journal of the Communications Society,,,,,,,,,,,,
ltu,2024,2006.2,10.1109/TCST.2023.3345213,True,IEEE,IEEE Transactions on Control Systems Technology,,,,,,,347.38,,,,,
ltu,2024,2244.72,10.1109/TEM.2024.3383462,True,IEEE,IEEE transactions on engineering management,,,,,,,,,,,,
ltu,2024,2774.8,10.1115/1.4064610,True,ASME,Journal of Fluids Engineering,,,,,369.95,,,,,,,
ltu,2024,949.2,10.1121/10.0028197,True,AIP publishing,Journal of the Acoustical Society of America,,,,,,,,,,,,
ltu,2024,326.99,10.11591/ijeecs.v38.i2.pp1231-1244,False,Institute of Advanced Engineering and Science,Indonesian Journal of Electrical Engineering and Computer Science,,,,,,,142.19,,,,,
ltu,2024,562.01,10.14207/ejsd.2024.v13n3p469,False,European Center of Sustainable Development,European Journal of Sustainable Development,,,,,,,,,,,,
ltu,2024,560.26,10.14207/ejsd.2025.v14n1p335,False,European Center of Sustainable Development,European Journal of Sustainable Development,,,,,,,,,,,,
ltu,2024,2049.42,10.1504/IJASM.2024.142139,True,Inderscience Enterprises,International Journal of Agile Systems and Management,,,,,,,,,,,,
ltu,2024,1171.01,10.15376/biores.19.1.1777-1788,False,North Carolina State University,BioResources,,,,,,,,,,,,
ltu,2024,1759.8,10.17352/ams.000044,False,Peertechz Publications,Annals of Marine Science,,,,,,,,,,,,
ltu,2024,739.64,10.18291/njwls.146465,False,VIA University College,Nordic Journal of Working Life Studies,,,,,,,,,,,,
ltu,2024,578.81,10.18848/1832-3669/CGP/v20i01/1-15,True,Common Ground Research Networks,"The International Journal of Technology, Knowledge, and Society",,,,,,,,,,,,
ltu,2024,120.31,10.2478/euco-2024-0003,False,Mendel University in Brno/Sciendo,European Countryside,,,,,,,,,,,,
ltu,2024,1916.77,10.3390/aerospace11080628,False,MDPI,Aerospace,,,,,,,,,,,,
ltu,2024,1968.92,10.3390/app14031214,False,MDPI,Applied Sciences,,,,,,,,,,,,
ltu,2024,2040.85,10.3390/app14072671,False,MDPI,Applied Sciences,,,,,,,,,,,,
ltu,2024,2021.42,10.3390/app14114674,False,MDPI,Applied Sciences,,,,,,,,,,,,
ltu,2024,2048.29,10.3390/app14135812,False,MDPI,Applied Sciences,,,,,,,,,,,,
ltu,2024,2186.19,10.3390/buildings14051361,False,MDPI,Buildings,,,,,,,,,,,,
ltu,2024,2195.64,10.3390/en17071514,False,MDPI,Energies,,,,,,,,,,,,
ltu,2024,2216.2,10.3390/en17081797,False,MDPI,Energies,,,,,,,,,,,,
ltu,2024,2254.26,10.3390/en17194951,False,MDPI,Energies,,,,,,,,,,,,
ltu,2024,546.88,10.3390/f15020263,False,MDPI,Forests,,,,,,,,,,,,
ltu,2024,2223.13,10.3390/healthcare12070717,False,MDPI,Healthcare,,,,,,,,,,,,
