"Year","Institution - Abbrv","Instsitution","ArticleTitle","JournalTitle","ISSN","NSD Level","DOI","APC in NOK"
2016,"Ahus","Akershus University Hospital","Fear of childbirth and elective caesarean section: a population-based study","BMC Pregnancy and Childbirth","1471-2393",1,"10.1186/s12884-015-0655-4 ",15343.15
2016,"Ahus","Akershus University Hospital","The epidermal growth factor receptor (EGFR / HER-1) gatekeeper mutation T790M is present in European patients with early breast cancer","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0134398",11035.85
2016,"Ahus","Akershus University Hospital","Effects of low-dose clonidine on cardiovascular and autonomic variables in adolescents with chronic fatigue: A randomized controlled trial.","BMC Pediatrics","1471-2431",1,"10.1186/s12887-015-0428-2",17778.48
2016,"Ahus","Akershus University Hospital","Transcriptionally active regions are the preferred targets for chromosomal HPV integration in cervical carcinogenesis.","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0119566 ",10257.98
2016,"Ahus","Akershus University Hospital","Early increase in circulating carbonic anhydrase IX during neoadjuvant treatment predicts favourable outcome in locally advanced rectal cancer","BMC Cancer","1471-2407",1,"10.1186/s12885-015-1557-6",14730.25
2016,"Ahus","Akershus University Hospital","Posttraumatic growth, depression and posttraumatic stress in relation to quality of life in tsunami survivors: A longitudinal study","Health and Quality of Life Outcomes","1477-7525",1,"10.1186/s12955-014-0202-4",7743.00
2016,"Ahus","Akershus University Hospital","Monitoring adverse events in Norwegian hospitals from 2010 to 2013.","BMJ Open","2044-6055",1,"10.1136/bmjopen-2015-8576",17884.21
2016,"Ahus","Akershus University Hospital","Chiropractic spinal manipulative therapy for migraine: a study protocol of a single-blinded placebo-controlled randomised clinical trial.","BMJ Open ","2044-6055",1,"10.1136/bmjopen-2015-008095",9957.42
2016,"Ahus","Akershus University Hospital","Validation of Placebo in a Manual Therapy Randomized Controlled Trial.","Scientific Reports","2045-2322",1,"10.1038/srep11774",10505.62
2016,"Ahus","Akershus University Hospital","Prevalence of nutritional risk in the non-demented hospitalized elderly: a cross-sectional study from Norway using stratified sampling","Journal of Nutritional Science","2048-6790",1,"10.1017/jns.2015.8 ",11977.63
2016,"Ahus","Akershus University Hospital","Low-dose CT coronary angiography for assessment of coronary artery disease in patients with type 2 diabetes - A cross-sectional study","BMC Cardiovascular Disorders","1471-2261",1,"10.1186/s12872-015-0143-9 ",18377.18
2016,"BI","BI Norwegian Business School","Managing nature - business as usual: Resource extraction companies and their representation of natural landscapes","Sustainability ","2071-1050",1,"n.a.",10160.00
2016,"BI","BI Norwegian Business School","Behavioral disinhibition can foster intensions to healthy lifestyle change by overcoming commitment to past behavior","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0142489",4787.81
