"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"University of Innsbruck and Medical University of Innsbruck",2017,NA,"10.1007/s10143-017-0811-6",TRUE,"Springer Nature","Neurosurgical Review","0344-5607","0344-5607","1437-2320","0344-5607","http://creativecommons.org/licenses/by/4.0",TRUE,"28091825","PMC5591354","ut:000410206800009",NA,FALSE
"FWF - Austrian Science Fund",2017,NA,"10.1007/s00709-016-1068-6",TRUE,"Springer Nature","Protoplasma","0033-183X","0033-183X","1615-6102","0033-183X","http://creativecommons.org/licenses/by/4.0",TRUE,"28066876","PMC5474099","ut:000403774000026",NA,FALSE
"Medical University of Vienna",2017,NA,"10.1007/s10339-016-0789-y",TRUE,"Springer Nature","Cognitive Processing","1612-4782","1612-4782","1612-4790","1612-4782","http://creativecommons.org/licenses/by/4.0",TRUE,"28101812","PMC5383683","ut:000399239300006",NA,FALSE
"FWF - Austrian Science Fund",2017,NA,"10.1007/s13137-016-0091-2",TRUE,"Springer Nature","GEM - International Journal on Geomathematics","1869-2672","1869-2672","1869-2680","1869-2672","http://creativecommons.org/licenses/by/4.0",TRUE,"28596810","PMC5448081","ut:000405705200006",NA,FALSE
"TU Wien (TUW)",2017,NA,"10.1007/s10817-016-9402-4",TRUE,"Springer Nature","Journal of Automated Reasoning","0168-7433","0168-7433","1573-0670","0168-7433","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000400853700002",NA,FALSE
"Medical University of Graz",2017,NA,"10.1007/s11812-016-0080-2",TRUE,"Springer Nature","Wiener klinische Wochenschrift Education","1863-3579","1863-3579","1863-3765","1863-3579","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"Medical University of Graz",2017,NA,"10.1007/s00508-016-1157-8",TRUE,"Springer Nature","Wiener klinische Wochenschrift","0043-5325","0043-5325","1613-7671","0043-5325","http://creativecommons.org/licenses/by/4.0",TRUE,"28084520","PMC5399056","ut:000399888100010",NA,FALSE
"University of Innsbruck and Medical University of Innsbruck",2017,NA,"10.1007/s10354-016-0539-x",TRUE,"Springer Nature","Wiener Medizinische Wochenschrift","0043-5341","0043-5341","1563-258X","0043-5341","http://creativecommons.org/licenses/by/4.0",TRUE,"28091972",NA,"ut:000422994000004",NA,FALSE
"Montanuniversität Leoben",2017,NA,"10.1007/s00501-016-0569-0",TRUE,"Springer Nature","BHM Berg- und Hüttenmännische Monatshefte","0005-8912","0005-8912","1613-7531","0005-8912","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"Carinthia University of Applied Sciences (CUAS)",2017,NA,"10.1007/s00482-016-0184-8",TRUE,"Springer Nature","Der Schmerz","0932-433X","0932-433X","1432-2129","0932-433X","http://creativecommons.org/licenses/by/4.0",TRUE,"28078441",NA,"ut:000406641000007",NA,FALSE
"Paracelsus Medical University",2017,NA,"10.1007/s00066-016-1095-4",TRUE,"Springer Nature","Strahlentherapie und Onkologie","0179-7158","0179-7158","1439-099X","0179-7158","http://creativecommons.org/licenses/by/4.0",TRUE,"28116446","PMC5360836","ut:000398058200008",NA,FALSE
"University of Innsbruck and Medical University of Innsbruck",2017,NA,"10.1007/s12662-016-0433-0",TRUE,"Springer Nature","German Journal of Exercise and Sport Research","2509-3142","2509-3142","2509-3150","2509-3150","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2017,NA,"10.1007/s00418-016-1537-1",TRUE,"Springer Nature","Histochemistry and Cell Biology","0948-6143","0948-6143","1432-119X","0948-6143","http://creativecommons.org/licenses/by/4.0",TRUE,"28097431","PMC5429897","ut:000401334200005",NA,FALSE
"Medical University of Vienna",2017,NA,"10.1007/s00330-016-4707-6",TRUE,"Springer Nature","European Radiology","0938-7994","0938-7994","1432-1084","0938-7994","http://creativecommons.org/licenses/by/4.0",TRUE,"28050694","PMC5491578","ut:000404655200006",NA,FALSE
"Medical University of Graz",2017,NA,"10.1007/s00739-016-0372-4",TRUE,"Springer Nature","psychopraxis. neuropraxis","2197-9707","2197-9707","2197-9715","2197-9707","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2017,NA,"10.1007/s00601-016-1195-9",TRUE,"Springer Nature","Few-Body Systems","0177-7963","0177-7963","1432-5411","0177-7963","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000392416600010",NA,FALSE
"University of Veterinary Medicine Vienna",2017,NA,"10.1007/s00436-017-5379-0",TRUE,"Springer Nature","Parasitology Research","0932-0113","0932-0113","1432-1955","0932-0113","http://creativecommons.org/licenses/by/4.0",TRUE,"28116531","PMC5333375","ut:000395176100031",NA,FALSE
"University of Innsbruck and Medical University of Innsbruck",2017,NA,"10.1007/s12399-017-0614-4",TRUE,"Springer Nature","Zeitschrift für Außen- und Sicherheitspolitik","1866-2188","1866-2188","1866-2196","1866-2188","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2017,NA,"10.1007/s11139-016-9873-2",TRUE,"Springer Nature","The Ramanujan Journal","1382-4090","1382-4090","1572-9303","1382-4090","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000427654000008",NA,FALSE
