"institution",period,euro,"doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"FWF - Austrian Science Fund",2016,NA,"10.1007/s11225-016-9651-6",TRUE,"Springer Nature","Studia Logica","0039-3215","0039-3215","1572-8730","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s13225-016-0356-y",TRUE,"Springer Nature","Fungal Diversity","1560-2745","1560-2745","1878-9129",NA,TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s11104-016-2800-x",TRUE,"Springer Nature","Plant and Soil","0032-079X","0032-079X","1573-5036","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s00605-015-0860-2",TRUE,"Springer Nature","Monatshefte für Mathematik","0026-9255","0026-9255","1436-5081",NA,TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s00706-015-1653-y",TRUE,"Springer Nature","Monatshefte für Chemie - Chemical Monthly","0026-9247","0026-9247","1434-4475",NA,TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s10719-016-9650-x",TRUE,"Springer Nature","Glycoconjugate Journal","0282-0080","0282-0080","1573-4986","http://creativecommons.org/licenses/by/4.0",TRUE,"26899268","PMC4891362",NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s10270-015-0512-y",TRUE,"Springer Nature","Software & Systems Modeling","1619-1366","1619-1366","1619-1374",NA,TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s10336-015-1317-z",TRUE,"Springer Nature","Journal of Ornithology","2193-7192","2193-7192","2193-7206","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s11307-016-0931-3",TRUE,"Springer Nature","Molecular Imaging and Biology","1536-1632","1536-1632","1860-2002",NA,TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s00418-016-1411-1",TRUE,"Springer Nature","Histochemistry and Cell Biology","0948-6143","0948-6143","1432-119X",NA,TRUE,"26847180","PMC4796323",NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s10712-016-9365-3",TRUE,"Springer Nature","Surveys in Geophysics","0169-3298","0169-3298","1573-0956","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s00186-016-0535-3",TRUE,"Springer Nature","Mathematical Methods of Operations Research","1432-2994","1432-2994","1432-5217",NA,TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s11868-016-0146-z",TRUE,"Springer Nature","Journal of Pseudo-Differential Operators and Applications","1662-9981","1662-9981","1662-999X","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s11049-016-9332-1",TRUE,"Springer Nature","Natural Language & Linguistic Theory","0167-806X","0167-806X","1573-0859",NA,TRUE,NA,NA,NA,NA,FALSE
"FWF - Austrian Science Fund",2016,NA,"10.1007/s00468-016-1361-1",TRUE,"Springer Nature","Trees","0931-1890","0931-1890","1432-2285",NA,TRUE,NA,NA,NA,NA,FALSE
