DOI,period,Institution,is_hybrid
10.1007/s10708-017-9836-1,2018,Södertörn University,TRUE
10.1007/s11043-018-9382-3,2018,Uppsala University,TRUE
10.1007/s10404-018-2046-4,2018,Linköping University,TRUE
10.1007/s11356-018-1447-y,2018,Uppsala University,TRUE
10.1007/s13593-018-0489-3,2018,Swedish University of Agricultural Sciences,TRUE
10.1007/s00702-018-1854-8,2018,Uppsala University,TRUE
10.1007/s00268-018-4492-2,2018,Lund University,TRUE
10.1007/s40263-018-0495-7,2018,Linköping University,TRUE
10.1007/s10750-018-3553-8,2018,Umea University,TRUE
10.1007/s40778-018-0118-8,2018,Karolinska Institute,TRUE
10.1007/s00268-018-4498-9,2018,Karolinska Institute,TRUE
10.1007/s41063-018-0037-z,2018,Lund University,TRUE
10.1007/s10551-018-3828-z,2018,Stockholm School of Economics,TRUE
10.1007/s13280-018-1037-8,2018,University of Gothenburg,TRUE
10.1007/s00228-018-2429-1,2018,Karolinska Institute,TRUE
10.1007/s40368-018-0332-1,2018,Karolinska Institute,TRUE
10.1007/s00787-018-1119-y,2018,Karolinska Institute,TRUE
10.1007/s11934-018-0750-y,2018,Lund University,TRUE
10.1007/s10997-018-9404-1,2018,Mälardalen University,TRUE
10.1007/s00702-018-1847-7,2018,Karolinska Institute,TRUE
10.1007/s40618-017-0818-4,2018,University of Gothenburg,TRUE
10.1007/s00268-018-4552-7,2018,Lund University,TRUE
10.1007/s11024-018-9348-2,2018,Uppsala University,TRUE
10.1007/s10950-018-9734-0,2018,Uppsala University,TRUE
10.1007/s10456-018-9604-y,2018,Linköping University,TRUE
10.1007/s10933-018-0020-5,2018,Umea University,TRUE
10.1007/s00586-018-5507-2,2018,Karolinska Institute,TRUE
10.1007/s10344-018-1171-4,2018,Swedish University of Agricultural Sciences,TRUE
10.1007/s10340-018-0965-1,2018,Lund University,TRUE
10.1007/s00208-018-1654-3,2018,Royal Institute of Technology,TRUE
10.1007/s00228-018-2432-6,2018,Karolinska Institute,TRUE
10.1007/s11356-018-1463-y,2018,Swedish University of Agricultural Sciences,TRUE
10.1007/s00167-018-4857-y,2018,Karolinska Institute,TRUE
10.1007/s10762-018-0470-x,2018,Uppsala University,TRUE
10.1007/s10926-018-9759-9,2018,Linköping University,TRUE
10.1007/s11663-018-1196-9,2018,Royal Institute of Technology,TRUE
10.1007/s11307-018-1168-0,2018,Karolinska Institute,TRUE
10.1007/s11067-017-9375-9,2018,Uppsala University,TRUE
10.1007/s10803-018-3482-4,2018,Karolinska Institute,TRUE
10.1007/s10549-018-4690-5,2018,Karolinska Institute,TRUE
10.1007/s10663-018-9399-5,2018,Blekinge Institute of Technology,TRUE
10.1007/s11661-018-4497-3,2018,Royal Institute of Technology,TRUE
10.1007/s11930-018-0139-4,2018,Malmö University,TRUE
10.1007/s40831-018-0157-5,2018,Lulea University of Technology,TRUE
10.1007/s10967-018-5757-9,2018,Swedish University of Agricultural Sciences,TRUE
10.1007/s11225-018-9785-9,2018,Stockholm University,TRUE
10.1007/s00415-018-8786-y,2018,University of Gothenburg,TRUE
10.1007/s00167-018-4846-1,2018,Linköping University,TRUE
10.1007/s00167-018-4865-y,2018,Linköping University,TRUE
10.1007/s00330-017-5297-7,2018,Lund University,TRUE
10.1007/s00167-018-4845-2,2018,University of Gothenburg,TRUE
10.1007/s00366-018-0589-3,2018,Chalmers University of Technology,TRUE
10.1007/s00203-018-1498-y,2018,Swedish University of Agricultural Sciences,TRUE
10.1007/s00894-018-3585-z,2018,University of Boras,TRUE
10.1007/s10934-018-0568-5,2018,Lulea University of Technology,TRUE
10.1007/s00232-018-0022-2,2018,Royal Institute of Technology,TRUE
10.1007/s11665-018-3205-1,2018,Royal Institute of Technology,TRUE
10.1007/s10694-018-0706-2,2018,Lund University,TRUE
10.1007/s40879-018-0216-2,2018,Royal Institute of Technology,TRUE
10.1007/s40266-017-0509-z,2018,Karolinska Institute,TRUE
10.1007/s11104-018-3579-8,2018,Uppsala University,TRUE
10.1007/s00269-018-0953-2,2018,Uppsala University,TRUE
10.1007/s00213-018-4864-1,2018,Umea University,TRUE
10.1007/s11095-017-2327-8,2018,Uppsala University,TRUE
10.1007/s41651-017-0009-z,2018,University of Gävle,TRUE
10.1007/s40572-018-0175-2,2018,Lund University,TRUE
10.1007/s11258-018-0811-9,2018,Swedish University of Agricultural Sciences,TRUE
10.1007/s00415-018-8764-4,2018,Karolinska Institute,TRUE
10.1007/s00125-018-4572-8,2018,Karolinska Institute,TRUE
10.1007/s00068-018-0921-z,2018,Örebro University,TRUE
10.1007/s00787-018-1124-1,2018,Karolinska Institute,TRUE
10.1007/s00127-018-1491-4,2018,Karolinska Institute,TRUE
10.1007/s10854-017-8443-8,2018,Chalmers University of Technology,TRUE
10.1007/s10021-018-0233-5,2018,Umea University,TRUE
10.1007/s10597-018-0245-9,2018,Stockholm University,TRUE
10.1007/s10508-017-1106-2,2018,Karolinska Institute,TRUE
10.1007/s10915-018-0667-0,2018,Linköping University,TRUE
10.1007/s10266-018-0342-9,2018,University of Gothenburg,TRUE
10.1007/s41347-018-0044-8,2018,Mälardalen University,TRUE
10.1007/s10494-018-9891-9,2018,Royal Institute of Technology,TRUE
10.1007/s10570-018-1695-5,2018,Royal Institute of Technology,TRUE
10.1007/s10457-018-0208-8,2018,Örebro University,TRUE
10.1007/s00251-017-1051-1,2018,Uppsala University,TRUE
10.1007/s00383-018-4237-1,2018,Karolinska Institute,TRUE
10.1007/s00441-017-2780-z,2018,Uppsala University,TRUE
10.1007/s11356-018-1419-2,2018,Linköping University,TRUE
10.1007/s00420-018-1292-9,2018,Jönköping University,TRUE
10.1007/s00226-018-0993-2,2018,University of Boras,TRUE
10.1007/s13563-018-0150-2,2018,Lulea University of Technology,TRUE
10.1007/s00429-018-1622-4,2018,Karolinska Institute,TRUE
10.1007/s00170-018-1673-y,2018,Lund University,TRUE
10.1007/s00163-018-0283-x,2018,Lulea University of Technology,TRUE
10.1007/s10461-018-2041-5,2018,Karolinska Institute,TRUE
10.1007/s10687-018-0311-2,2018,Lund University,TRUE
10.1007/s11266-018-9971-4,2018,Linköping University,TRUE
10.1007/s11252-018-0732-3,2018,Swedish University of Agricultural Sciences,TRUE
10.1007/s00704-018-2411-y,2018,Chalmers University of Technology,TRUE
10.1007/s00038-017-1074-2,2018,Uppsala University,TRUE
10.1007/s11096-018-0598-8,2018,Lund University,TRUE
10.1007/s13158-018-0210-3,2018,Södertörn University,TRUE
10.1007/s12652-018-0730-6,2018,Mälardalen University,TRUE
10.1007/s00441-018-2793-2,2018,Uppsala University,TRUE
10.1007/s00198-017-4367-7,2018,Umea University,TRUE
10.1007/s10803-018-3470-8,2018,Uppsala University,TRUE
10.1007/s11116-018-9860-0,2018,Royal Institute of Technology,TRUE
10.1007/s10801-018-0816-4,2018,Institute Mittag-Leffler,TRUE
10.1007/s40520-018-0905-1,2018,Örebro University,TRUE
10.1007/s00018-018-2773-4,2018,University of Gothenburg,TRUE
10.1007/s10157-018-1543-9,2018,Lund University,TRUE
10.1140/epjp/i2018-11865-7,2018,Royal Institute of Technology,TRUE
