"DOI","period","Institution","is_hybrid"
"10.1007/s13402-017-0340-x","2017","Karolinska Institute","TRUE"
"10.1007/s00429-017-1469-0","2017","Stockholm University","TRUE"
"10.1007/s00334-017-0628-9","2017","Umea University","TRUE"
"10.1007/s00520-017-3831-4","2017","Linnaeus University","TRUE"
"10.1007/s40692-017-0088-3","2017","Stockholm University","TRUE"
"10.1007/s00167-017-4621-8","2017","Karolinska Institute","TRUE"
"10.1007/s00251-017-1011-9","2017","Karolinska Institute","TRUE"
"10.1007/s12520-017-0518-1","2017","Lund University","TRUE"
"10.1007/s11665-017-2816-2","2017","Royal Institute of Technology","TRUE"
"10.1007/s11661-017-4212-9","2017","Linköping University","TRUE"
"10.1007/s11661-017-4214-7","2017","Royal Institute of Technology","TRUE"
"10.1007/s10851-017-0753-1","2017","Lund University","TRUE"
"10.1007/s12640-017-9786-x","2017","Karolinska Institute","TRUE"
"10.1007/s12117-017-9315-6","2017","Stockholm University","TRUE"
"10.1007/s13361-017-1705-0","2017","Lund University","TRUE"
"10.1007/s40609-017-0089-1","2017","University of Gothenburg","TRUE"
"10.1007/s10734-017-0168-3","2017","Lund University","TRUE"
"10.1007/s11024-017-9331-3","2017","Royal Institute of Technology","TRUE"
"10.1007/s10570-017-1405-8","2017","Lulea University of Technology","TRUE"
"10.1007/s10806-017-9664-9","2017","Uppsala University","TRUE"
"10.1007/s00586-017-5218-0","2017","Karolinska Institute","TRUE"
"10.1007/s00500-017-2732-2","2017","Lulea University of Technology","TRUE"
"10.1007/s00231-017-2087-3","2017","Lulea University of Technology","TRUE"
"10.1007/s11661-017-4207-6","2017","Mid Sweden University","TRUE"
"10.1007/s10761-017-0433-2","2017","Lund University","TRUE"
"10.1007/s11661-017-4208-5","2017","Royal Institute of Technology","TRUE"
"10.1007/s11947-017-1959-3","2017","Lund University","TRUE"
"10.1007/s12220-017-9888-y","2017","Chalmers University of Technology","TRUE"
"10.1208/s12248-017-0108-2","2017","Uppsala University","TRUE"
"10.1007/s12083-017-0578-0","2017","Linköping University","TRUE"
"10.1007/s10533-017-0361-6","2017","Stockholm University","TRUE"
"10.1007/s10750-017-3298-9","2017","Umea University","TRUE"
"10.1007/s10543-017-0671-z","2017","Royal Institute of Technology","TRUE"
"10.1007/s12053-017-9541-4","2017","Karlstad University","TRUE"
"10.1007/s12053-017-9537-0","2017","Uppsala University","TRUE"
"10.1007/s00265-017-2337-x","2017","Uppsala University","TRUE"
"10.1007/s00467-017-3705-5","2017","University of Gothenburg","TRUE"
"10.1007/s12116-017-9251-0","2017","University of Gothenburg","TRUE"
"10.1007/s10732-017-9351-z","2017","University West","TRUE"
"10.1007/s11121-017-0821-1","2017","Uppsala University","TRUE"
"10.1007/s11661-017-4210-y","2017","Lund University","TRUE"
"10.1007/s12031-017-0944-7","2017","Lund University","TRUE"
"10.1007/s12147-017-9194-9","2017","Umea University","TRUE"
"10.1007/s11244-017-0816-y","2017","Linnaeus University","TRUE"
"10.3758/s13415-017-0519-7","2017","Karolinska Institute","TRUE"
"10.1007/s12186-017-9184-9","2017","Umea University","TRUE"
"10.1007/s10677-017-9824-z","2017","Stockholm University","TRUE"
"10.1007/s13402-017-0331-y","2017","Örebro University","TRUE"
"10.1007/s11245-017-9491-7","2017","Stockholm University","TRUE"
"10.1007/s13164-017-0350-7","2017","Stockholm University","TRUE"
"10.1007/s00277-017-3061-3","2017","Karolinska Institute","TRUE"
"10.1007/s10071-017-1121-7","2017","Lund University","TRUE"
"10.1007/s00249-017-1231-9","2017","Stockholm University","TRUE"
"10.1007/s13593-017-0442-x","2017","Swedish University of Agricultural Sciences","TRUE"
"10.1007/s10562-017-2133-2","2017","Chalmers University of Technology","TRUE"
"10.1007/s10914-017-9405-x","2017","Swedish Museum of Natural History","TRUE"
"10.1007/s11669-017-0570-7","2017","Royal Institute of Technology","TRUE"
"10.1007/s10886-017-0860-x","2017","Swedish University of Agricultural Sciences","TRUE"
"10.1007/s11661-017-4196-5","2017","Royal Institute of Technology","TRUE"
"10.1007/s00246-017-1655-0","2017","Linköping University","TRUE"
"10.1007/s00262-017-2040-9","2017","University of Gothenburg","TRUE"
"10.1007/s00442-017-3921-5","2017","Umea University","TRUE"
"10.1007/s00231-017-2099-z","2017","Lund University","TRUE"
"10.1007/s00520-017-3793-6","2017","Karolinska Institute","TRUE"
"10.1007/s12553-017-0201-7","2017","Lulea University of Technology","TRUE"
"10.1007/s00442-017-3895-3","2017","Swedish University of Agricultural Sciences","TRUE"
"10.1007/s11666-017-0595-9","2017","University West","TRUE"
"10.1007/s10639-017-9631-0","2017","University of Gothenburg","TRUE"
"10.1007/s11695-017-2798-z","2017","Örebro University","TRUE"
"10.1007/s12013-017-0814-5","2017","Linköping University","TRUE"
"10.1007/s00347-017-0543-6","2017","Lund University","TRUE"
"10.1007/s12136-017-0328-1","2017","Stockholm University","TRUE"
"10.1007/s12053-017-9549-9","2017","Lund University","TRUE"
"10.1007/s11165-017-9627-1","2017","Linnaeus University","TRUE"
"10.1007/s00340-017-6781-0","2017","Umea University","TRUE"
"10.1007/s00216-017-0509-1","2017","Stockholm University","TRUE"
"10.1007/s10368-017-0390-6","2017","Kristianstad University","TRUE"
"10.1007/s00211-017-0905-7","2017","Chalmers University of Technology","TRUE"
"10.1007/s10344-017-1120-7","2017","Stockholm University","TRUE"
"10.1007/s00590-017-2013-x","2017","Umea University","TRUE"
"10.1007/s00701-017-3266-1","2017","Karolinska Institute","TRUE"
"10.1007/s00501-017-0658-8","2017","Lulea University of Technology","TRUE"
"10.1007/s40675-017-0080-5","2017","Umea University","TRUE"
"10.1007/s40263-017-0445-9","2017","Karolinska Institute","TRUE"
"10.1007/s10654-017-0283-6","2017","Karolinska Institute","TRUE"
"10.1007/s10734-017-0172-7","2017","Stockholm University","TRUE"
"10.1007/s11165-017-9628-0","2017","Kristianstad University","TRUE"
"10.1007/s10584-017-2020-2","2017","Lund University","TRUE"
"10.1007/s10570-017-1407-6","2017","Lund University","TRUE"
"10.1007/s10611-017-9695-1","2017","University of Gothenburg","TRUE"
"10.1007/s00484-017-1402-5","2017","Lund University","TRUE"
"10.1007/s00340-017-6784-x","2017","Lund University","TRUE"
"10.1007/s00203-017-1412-z","2017","Swedish University of Agricultural Sciences","TRUE"
"10.1007/s11367-017-1362-3","2017","Chalmers University of Technology","TRUE"
"10.1007/s12549-017-0286-z","2017","Swedish Museum of Natural History","TRUE"
"10.1007/s10021-017-0170-8","2017","Stockholm University","TRUE"
"10.1007/s11910-017-0780-8","2017","Lund University","TRUE"
"10.1007/s11365-017-0458-3","2017","Lulea University of Technology","TRUE"
"10.1007/s11075-017-0352-7","2017","Chalmers University of Technology","TRUE"
"10.1007/s00710-017-0523-1","2017","Swedish Museum of Natural History","TRUE"
"10.1007/s11625-017-0457-x","2017","Stockholm University","TRUE"
"10.1007/s10910-017-0769-1","2017","Karolinska Institute","TRUE"
"10.1007/s13280-017-0932-8","2017","Stockholm University","TRUE"
"10.1007/s10677-017-9821-2","2017","Uppsala University","TRUE"
"10.1007/s11019-017-9786-x","2017","Södertörn University","TRUE"
"10.1007/s00226-017-0938-1","2017","Chalmers University of Technology","TRUE"
"10.1007/s00300-017-2173-5","2017","Umea University","TRUE"
"10.1007/s00226-017-0941-6","2017","Royal Institute of Technology","TRUE"
"10.1007/s00775-017-1480-1","2017","Lund University","TRUE"
"10.1007/s10040-017-1627-8","2017","Royal Institute of Technology","TRUE"
"10.1007/s00198-017-4150-9","2017","Karolinska Institute","TRUE"
