DOI,period,Institution,is_hybrid
10.1007/s10551-018-3969-0,2018,Royal Institute of Technology,TRUE
10.1007/s10705-018-9935-5,2018,Swedish University of Agricultural Sciences,TRUE
10.1007/s10838-018-9423-2,2018,Uppsala University,TRUE
10.1007/s00167-018-5059-3,2018,Karolinska Institute,TRUE
10.1007/s00228-018-2514-5,2018,Umea University,TRUE
10.1007/s00265-018-2534-2,2018,Lund University,TRUE
10.1007/s13563-018-0158-7,2018,Halmstad University,TRUE
10.1007/s10803-018-3697-4,2018,University of Gothenburg,TRUE
10.1007/s11661-018-4819-5,2018,Royal Institute of Technology,TRUE
10.1007/s11102-018-0902-6,2018,Lund University,TRUE
10.1007/s10943-018-0670-7,2018,University of Gothenburg,TRUE
10.1007/s11266-018-0016-9,2018,Södertörn University,TRUE
10.1007/s10072-018-3507-y,2018,Karolinska Institute,TRUE
10.1007/s10910-018-0932-3,2018,Karolinska Institute,TRUE
10.1007/s00020-018-2472-4,2018,University of Gothenburg,TRUE
10.1007/s11098-018-1139-y,2018,Umea University,TRUE
10.1007/s11251-018-9469-x,2018,Linköping University,TRUE
10.1007/s10670-018-0048-y,2018,Uppsala University,TRUE
10.1007/s10730-018-9356-5,2018,Royal Institute of Technology,TRUE
10.1007/s10708-018-9906-z,2018,Linnaeus University,TRUE
10.1007/s10817-018-9474-4,2018,University of Gothenburg,TRUE
10.1007/s40194-018-0626-2,2018,Chalmers University of Technology,TRUE
10.1007/s00784-018-2533-8,2018,Kristianstad University,TRUE
10.1007/s12022-018-9539-2,2018,Karolinska Institute,TRUE
10.1007/s12020-018-1665-6,2018,Örebro University,TRUE
10.1007/s11127-018-0591-8,2018,Stockholm University,TRUE
10.1007/s11244-018-1017-z,2018,Chalmers University of Technology,TRUE
10.1007/s11669-018-0656-x,2018,Royal Institute of Technology,TRUE
10.1007/s10515-018-0238-5,2018,Lund University,TRUE
10.1007/s11627-018-9911-4,2018,Swedish University of Agricultural Sciences,TRUE
10.1007/s40520-018-1004-z,2018,Karolinska Institute,TRUE
10.1007/s40471-018-0159-7,2018,Karolinska Institute,TRUE
10.1007/s10973-018-7564-5,2018,Royal Institute of Technology,TRUE
10.1007/s10798-018-9463-2,2018,Royal Institute of Technology,TRUE
10.1007/s13243-018-0047-9,2018,Linköping University,TRUE
10.1007/s00294-018-0869-x,2018,Stockholm University,TRUE
10.1007/s00167-018-5047-7,2018,University of Gothenburg,TRUE
10.1007/s40194-018-0622-6,2018,Chalmers University of Technology,TRUE
10.1007/s00125-018-4675-2,2018,Uppsala University,TRUE
10.1007/s00224-018-9879-9,2018,University of Gothenburg,TRUE
10.1007/s11669-018-0660-1,2018,Royal Institute of Technology,TRUE
10.1007/s12220-018-0068-5,2018,Chalmers University of Technology,TRUE
10.1007/s00246-018-1939-z,2018,Lund University,TRUE
10.1007/s12020-018-1674-5,2018,Uppsala University,TRUE
10.1007/s10899-018-9785-8,2018,Lund University,TRUE
10.1208/s12248-018-0240-7,2018,Uppsala University,TRUE
10.1208/s12248-018-0242-5,2018,Uppsala University,TRUE
10.1007/s10654-018-0429-1,2018,Lund University,TRUE
10.1007/s10676-018-9465-5,2018,Royal Institute of Technology,TRUE
10.1007/s10534-018-0131-5,2018,Karolinska Institute,TRUE
10.1007/s10543-018-0715-z,2018,Uppsala University,TRUE
10.1007/s10584-018-2237-8,2018,Linköping University,TRUE
10.1007/s11218-018-9457-7,2018,Linköping University,TRUE
10.1007/s12053-018-9692-y,2018,Umea University,TRUE
10.1007/s00125-018-4686-z,2018,Uppsala University,TRUE
10.1007/s00384-018-3124-5,2018,Karolinska Institute,TRUE
10.1007/s00394-018-1788-9,2018,Lund University,TRUE
10.1007/s11367-018-1503-3,2018,Chalmers University of Technology,TRUE
10.1007/s12665-018-7704-z,2018,Stockholm University,TRUE
10.1007/s10904-018-0926-4,2018,Chalmers University of Technology,TRUE
10.1007/s12529-018-9716-1,2018,Karolinska Institute,TRUE
10.1007/s11910-018-0866-y,2018,Linköping University,TRUE
10.1007/s00248-018-1229-6,2018,Linnaeus University,TRUE
10.1007/s00701-018-3622-9,2018,Uppsala University,TRUE
10.1007/s40598-018-0088-z,2018,Stockholm University,TRUE
10.1245/s10434-018-6627-y,2018,Karolinska Institute,TRUE
10.1007/s10654-018-0425-5,2018,Karolinska Institute,TRUE
10.1007/s11217-018-9618-3,2018,Malmö University,TRUE
10.1007/s12053-018-9709-6,2018,University of Gothenburg,TRUE
10.1007/s00211-018-0985-z,2018,Lund University,TRUE
10.1007/s10067-018-4195-y,2018,Umea University,TRUE
10.1007/s10845-018-1440-9,2018,Royal Institute of Technology,TRUE
10.1007/s11695-018-3377-7,2018,Örebro University,TRUE
10.1007/s12350-018-1349-x,2018,Uppsala University,TRUE
10.1007/s11187-018-0072-y,2018,Lund University,TRUE
10.1007/s10687-018-0325-9,2018,Chalmers University of Technology,TRUE
10.1007/s11104-018-3738-y,2018,Swedish University of Agricultural Sciences,TRUE
10.1007/s11250-018-1658-8,2018,Swedish University of Agricultural Sciences,TRUE
10.1007/s11217-018-9619-2,2018,Umea University,TRUE
10.1007/s12187-018-9584-x,2018,Karlstad University,TRUE
10.1007/s00384-018-3125-4,2018,Karolinska Institute,TRUE
10.1007/s00208-018-1719-3,2018,Lund University,TRUE
10.1007/s00170-018-2360-8,2018,University of Skövde,TRUE
10.1007/s10514-018-9785-7,2018,Halmstad University,TRUE
10.1007/s11187-018-0075-8,2018,Linköping University,TRUE
10.1007/s12020-018-1655-8,2018,Lund University,TRUE
10.1007/s12155-018-9929-9,2018,Swedish University of Agricultural Sciences,TRUE
10.1007/s00701-018-3620-y,2018,Lund University,TRUE
10.1007/s11661-018-4787-9,2018,Jönköping University,TRUE
10.1007/s11225-018-9804-x,2018,Lund University,TRUE
10.1007/s11269-018-2034-1,2018,Stockholm University,TRUE
10.1007/s10725-018-0423-3,2018,Lund University,TRUE
10.1007/s12132-018-9339-2,2018,Swedish University of Agricultural Sciences,TRUE
10.1007/s12080-018-0384-1,2018,Chalmers University of Technology,TRUE
10.1007/s00430-018-0554-1,2018,Umea University,TRUE
10.1007/s10336-018-1586-4,2018,Lund University,TRUE
10.1007/s00227-018-3388-x,2018,University of Gothenburg,TRUE
10.1007/s00405-018-5069-2,2018,University of Gothenburg,TRUE
10.1007/s00382-018-4332-y,2018,Lulea University of Technology,TRUE
10.1007/s00211-018-0990-2,2018,Umea University,TRUE
10.1007/s00787-018-1188-y,2018,University of Gothenburg,TRUE
10.1007/s12020-018-1694-1,2018,Umea University,TRUE
10.3758/s13428-018-1095-7,2018,Lund University,TRUE
10.1007/s11266-018-0021-z,2018,Lund University,TRUE
10.1007/s13361-018-2009-8,2018,Stockholm University,TRUE
10.1007/s12599-018-0550-4,2018,Umea University,TRUE
10.1007/s10758-018-9376-x,2018,Stockholm University,TRUE
10.1007/s10543-018-0716-y,2018,Lund University,TRUE
10.1007/s11135-018-0786-6,2018,Stockholm University,TRUE
10.1007/s00226-018-1039-5,2018,Chalmers University of Technology,TRUE
10.1007/s00442-018-4220-5,2018,Swedish University of Agricultural Sciences,TRUE
10.1007/s00382-018-4373-2,2018,Stockholm University,TRUE
10.1007/s10237-018-1053-4,2018,Linköping University,TRUE
10.1007/s10961-018-9680-6,2018,Royal Institute of Technology,TRUE
10.1007/s10865-018-9949-0,2018,Karolinska Institute,TRUE
10.1007/s10899-018-9791-x,2018,University of Gothenburg,TRUE
10.1007/s11837-018-3008-8,2018,Royal Institute of Technology,TRUE
10.1007/s13524-018-0693-4,2018,Lund University,TRUE
10.1007/s12116-018-9268-z,2018,Lund University,TRUE
10.1007/s11625-018-0604-z,2018,Royal Institute of Technology,TRUE
10.1007/s40258-018-0408-4,2018,Karolinska Institute,TRUE
10.1007/s00023-018-0699-x,2018,Royal Institute of Technology,TRUE
10.1007/s10182-018-00329-x,2018,Umea University,TRUE
