institution_ror,institution,period,euro,doi,is_hybrid,type,contract_primary_identifier,contract_group_id,external_costsplitting,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee,url
https://ror.org/02wxx3e24,Brandenburg University of Technology Cottbus-Senftenberg,2023,NA,10.1007/s41025-023-00255-0,NA,journal article,sn2020deal,02wxx3e24_sn2020deal_2023,false,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA
https://ror.org/02wxx3e24,Brandenburg University of Technology Cottbus-Senftenberg,2023,1822.85,10.1007/s42452-023-05439-z,FALSE,journal article,sn2020deal,02wxx3e24_sn2020deal_2023,false,1822.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/02wxx3e24,Brandenburg University of Technology Cottbus-Senftenberg,2023,781.83,10.1016/j.dib.2023.109825,FALSE,journal article,els2022btu,02wxx3e24_els2022btu_2023,false,781.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/02wxx3e24,Brandenburg University of Technology Cottbus-Senftenberg,2023,NA,10.1016/j.euromechflu.2023.07.010,NA,journal article,els2022btu,02wxx3e24_els2022btu_2023,false,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA
https://ror.org/02wxx3e24,Brandenburg University of Technology Cottbus-Senftenberg,2023,1110.39,10.1016/j.fecs.2023.100097,FALSE,journal article,NA,NA,false,1110.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/02wxx3e24,Brandenburg University of Technology Cottbus-Senftenberg,2024,2013.48,10.1016/j.heliyon.2023.e22826,FALSE,journal article,els2022btu,02wxx3e24_els2022btu_2024,false,2013.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/02wxx3e24,Brandenburg University of Technology Cottbus-Senftenberg,2023,NA,10.1016/j.jcp.2023.112514,NA,journal article,els2022btu,02wxx3e24_els2022btu_2023,false,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA
https://ror.org/02wxx3e24,Brandenburg University of Technology Cottbus-Senftenberg,2023,1274.49,10.1016/j.jsamd.2023.100642,FALSE,journal article,els2022btu,02wxx3e24_els2022btu_2023,false,1274.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/02wxx3e24,Brandenburg University of Technology Cottbus-Senftenberg,2023,NA,10.1016/j.mimet.2023.106793,NA,journal article,els2022btu,02wxx3e24_els2022btu_2023,false,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA
https://ror.org/02wxx3e24,Brandenburg University of Technology Cottbus-Senftenberg,2023,NA,10.1016/j.paid.2023.112116,NA,journal article,els2022btu,02wxx3e24_els2022btu_2023,false,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA
