institution_ror,institution,period,euro,doi,is_hybrid,type,contract_primary_identifier,contract_group_id,external_costsplitting,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee,url
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s11336-023-09933-6,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00467-023-05988-w,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s11187-023-00815-w,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00220-023-04821-7,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s10439-023-03282-2,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s11263-023-01822-w,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00209-022-03199-x,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00393-023-01395-6,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s42520-023-00471-0,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s11625-022-01284-y,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s00126-023-01222-7,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/05qpz1x62,Friedrich-Schiller-Universität Jena,2022,75.57,10.1007/s10753-023-01943-x,TRUE,journal article,sn2020deal,05qpz1x62_sn2020deal_2022,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
