institution_ror,institution,period,euro,doi,is_hybrid,type,contract_primary_identifier,contract_group_id,external_costsplitting,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee,url
https://ror.org/00cfam450,Helmholtz Zentrum München,2023,4619.58,10.1002/advs.202301322,FALSE,journal article,wiley2019deal,00cfam450_wiley2019deal_2023,false,4619.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00cfam450,Helmholtz Zentrum München,2023,2437.12,10.1111/acel.13957,FALSE,journal article,wiley2019deal,00cfam450_wiley2019deal_2023,false,2437.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00cfam450,Helmholtz Zentrum München,2023,2075.36,10.1002/pld3.531,FALSE,journal article,wiley2019deal,00cfam450_wiley2019deal_2023,false,2075.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00cfam450,Helmholtz Zentrum München,2023,4883.76,10.1016/j.xhgg.2023.100214,FALSE,journal article,wiley2019deal,00cfam450_wiley2019deal_2023,false,4883.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00cfam450,Helmholtz Zentrum München,2023,1846.88,10.1002/pul2.12320,FALSE,journal article,wiley2019deal,00cfam450_wiley2019deal_2023,false,1846.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00cfam450,Helmholtz Zentrum München,2023,3046.4,10.1002/hbm.26059,FALSE,journal article,wiley2019deal,00cfam450_wiley2019deal_2023,false,3046.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00cfam450,Helmholtz Zentrum München,2023,5774.64,10.1038/s41467-023-42862-7,FALSE,journal article,sn2020deal,00cfam450_sn2020deal_2023,false,5774.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00cfam450,Helmholtz Zentrum München,2023,2551.98,10.1186/s12915-023-01737-5,FALSE,journal article,sn2020deal,00cfam450_sn2020deal_2023,false,2551.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00cfam450,Helmholtz Zentrum München,2023,3416.3500000000004,10.1038/s42004-023-01021-1,FALSE,journal article,sn2020deal,00cfam450_sn2020deal_2023,false,3416.3500000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/00cfam450,Helmholtz Zentrum München,2023,1907.03,10.1186/s12866-023-03120-4,FALSE,journal article,sn2020deal,00cfam450_sn2020deal_2023,false,1907.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
