institution_ror,institution,period,euro,doi,is_hybrid,type,contract_primary_identifier,contract_group_id,external_costsplitting,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee,url
https://ror.org/03b9q7371,HS Neubrandenburg,2023,1894.48,10.1186/s40545-023-00565-w,FALSE,journal article,sn2020deal,15d1a0e7-a91b-4422-9191-d8c0095d3497,false,1894.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03b9q7371,HS Neubrandenburg,2023,2131.4,10.1186/s12877-023-04135-2,FALSE,journal article,sn2020deal,15d1a0e7-a91b-4422-9191-d8c0095d3497,false,2131.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03b9q7371,HS Neubrandenburg,2023,1920.47,10.3390/jof9010079,FALSE,journal article,NA,NA,false,1920.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03b9q7371,HS Neubrandenburg,2023,747.13,10.3389/fanim.2023.1148523,FALSE,journal article,NA,NA,false,747.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03b9q7371,HS Neubrandenburg,2023,1743.86,10.2196/46056,FALSE,journal article,NA,NA,false,1743.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03b9q7371,HS Neubrandenburg,2023,1209.35,10.3390/pharmacy11020047,FALSE,journal article,NA,NA,false,1209.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03b9q7371,HS Neubrandenburg,2023,2675.12,10.1002/prp2.1109,FALSE,journal article,wiley2019deal,ee17be22-e6cd-47da-a6c3-9e4d0771663a,false,2675.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03b9q7371,HS Neubrandenburg,2023,1672.0,10.3390/beverages9040082,FALSE,journal article,NA,NA,false,1672.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03b9q7371,HS Neubrandenburg,2023,513.6,10.4455/eu.2022.033,TRUE,journal article,NA,NA,false,NA,NA,NA,NA,513.6,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03b9q7371,HS Neubrandenburg,2023,513.6,10.4455/eu.2023.009,TRUE,journal article,NA,NA,false,NA,NA,NA,NA,513.6,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03b9q7371,HS Neubrandenburg,2023,2380.0,10.1515/pubhef-2023-0078,TRUE,journal article,NA,NA,false,NA,NA,NA,NA,2380.0,NA,NA,NA,NA,NA,NA,NA,NA
