institution_ror,institution,period,euro,doi,is_hybrid,type,contract_primary_identifier,contract_group_id,external_costsplitting,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee,url
https://ror.org/02778hg05,Trier U,2023,1481.86,10.1007/s00182-023-00866-z,TRUE,journal article,sn2020deal,02778hg05_sn2020deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/02778hg05,Trier U,2023,1481.86,10.1007/s00224-022-10115-7,TRUE,journal article,sn2020deal,02778hg05_sn2020deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/02778hg05,Trier U,2023,1481.86,10.1007/s00224-023-10130-2,TRUE,journal article,sn2020deal,02778hg05_sn2020deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/02778hg05,Trier U,2023,1481.86,10.1007/s00236-023-00447-3,TRUE,journal article,sn2020deal,02778hg05_sn2020deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/02778hg05,Trier U,2023,1481.86,10.1007/s00426-023-01849-1,TRUE,journal article,sn2020deal,02778hg05_sn2020deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/02778hg05,Trier U,2023,1481.86,10.1007/s00712-023-00835-w,TRUE,journal article,sn2020deal,02778hg05_sn2020deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/02778hg05,Trier U,2023,1481.86,10.1007/s10287-023-00435-5,TRUE,journal article,sn2020deal,02778hg05_sn2020deal_2023,false,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/02778hg05,Trier U,2023,1481.86,10.1007/s10357-023-4283-x,TRUE,journal article,sn2020deal,02778hg05_sn2020deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/02778hg05,Trier U,2023,1481.86,10.1007/s10488-023-01330-6,TRUE,journal article,sn2020deal,02778hg05_sn2020deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/02778hg05,Trier U,2023,1481.86,10.1007/s10551-023-05576-w,TRUE,journal article,sn2020deal,02778hg05_sn2020deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
