institution_ror,institution,period,euro,doi,is_hybrid,type,contract_primary_identifier,contract_group_id,external_costsplitting,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee,url
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/star.202300163,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/star.202300154,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/cctc.202301261,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/wrna.1824,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/cite.202300076,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/spe.3275,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1111/jace.19469,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/aic.18247,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/adem.202301095,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/cctc.202300839,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1111/bcp.15846,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/pssa.202300102,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/adts.202300372,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1111/ecca.12497,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/cepa.2968,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/cepa.2871,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/zaac.202300152,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/pamm.202300108,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/pamm.202300149,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/adem.202300723,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/jcc.27211,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/bit.28526,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/03v4gjf40,TU Berlin,2023,3323.29,10.1002/adfm.202305927,TRUE,journal article,wiley2019deal,03v4gjf40_wiley2019deal_2023,false,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
