"institution","consortium","contract_name","identifier","period_from","period_to","cost_type","euro","group_id"
"Fraunhofer-Gesellschaft","Fraunhofer-Gesellschaft e. V.","ACM (Fraunhofer) 2022-2024","acm2022fg",2024,2024,"publish and read",55668.96,"05hkkdn48_acm2022fg_2024"
"Fraunhofer-Gesellschaft","Fraunhofer-Gesellschaft e. V.","AIP (Fraunhofer) 2024-2026","aip2024fg",2024,2024,"publish and read",81600.3,"05hkkdn48_aip2024fg_2024"
"Fraunhofer-Gesellschaft","Fraunhofer-Gesellschaft e. V.","ECS (Fraunhofer) 2022-2024","ecs2022fg",2024,2024,"publish and read",7558.46,"05hkkdn48_ecs2022fg_2024"
"Fraunhofer-Gesellschaft","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"publish",96900.0,"05hkkdn48_els2023deal_2024"
"Fraunhofer-Gesellschaft","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"read",145350.0,"05hkkdn48_els2023deal_2024"
"Fraunhofer-Gesellschaft","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"publish",83600.0,"05hkkdn48_els2023deal_2024"
"Fraunhofer-Gesellschaft","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"read",125400.0,"05hkkdn48_els2023deal_2024"
"Fraunhofer-Gesellschaft","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"publish",19876.0,"05hkkdn48_els2023deal_2024"
"Fraunhofer-Gesellschaft","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"read",29814.0,"05hkkdn48_els2023deal_2024"
"Fraunhofer-Gesellschaft","Fraunhofer-Gesellschaft e. V.","IEEE (Fraunhofer) 2023-2025","ieee2023fg",2024,2024,"publish",67861.12,"05hkkdn48_ieee2023fg_2024"
"Fraunhofer-Gesellschaft","Fraunhofer-Gesellschaft e. V.","IEEE (Fraunhofer) 2023-2025","ieee2023fg",2024,2024,"read",565716.54,"05hkkdn48_ieee2023fg_2024"
"Fraunhofer-Gesellschaft","TIB Consortium","IOP (TIB) 2022-2025","iop2022tib",2024,2024,"publish",19876.46,"05hkkdn48_iop2022tib_2024"
"Fraunhofer-Gesellschaft","TIB Consortium","IOP (TIB) 2022-2025","iop2022tib",2024,2024,"read",6634.74,"05hkkdn48_iop2022tib_2024"
"Fraunhofer-Gesellschaft","German academic consortium, administered by Max Planck Digital Library","Nature (MPDL) 2021-2024","sn2021gac",2024,2024,"publish",54255.0,"05hkkdn48_sn2021gac_2024"
"Fraunhofer-Gesellschaft","German academic consortium, administered by Max Planck Digital Library","Nature (MPDL) 2021-2024","sn2021gac",2024,2024,"read",29214.0,"05hkkdn48_sn2021gac_2024"
"Fraunhofer-Gesellschaft","TIB Consortium","RSC (TIB) 2024-2027","rsc2024tib",2024,2024,"publish",34201.24,"05hkkdn48_rsc2024tib_2024"
"Fraunhofer-Gesellschaft","TIB Consortium","RSC (TIB) 2024-2027","rsc2024tib",2024,2024,"read",17529.51,"05hkkdn48_rsc2024tib_2024"
"Fraunhofer-Gesellschaft","German Academic Consortium, 154 participants, administered by Bayerische Staatsbibliothek","Sage (BSB) 2024-2025","sage2024gac",2024,2024,"publish and read",21155.15,"05hkkdn48_sage2024gac_2024"
"Fraunhofer-Gesellschaft","Fraunhofer-Gesellschaft e. V.","SPIE (Fraunhofer) 2024-2026","spie2024fg",2024,2024,"publish and read",48987.76,"05hkkdn48_spie2024fg_2024"
"Fraunhofer-Gesellschaft","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"publish",282568.0,"05hkkdn48_sn2024deal_2024"
"Fraunhofer-Gesellschaft","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"read",38532.0,"05hkkdn48_sn2024deal_2024"
"Fraunhofer-Gesellschaft","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"publish",-31108.0,"05hkkdn48_sn2024deal_2024"
"Fraunhofer-Gesellschaft","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"read",-4242.0,"05hkkdn48_sn2024deal_2024"
"Fraunhofer-Gesellschaft","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"publish",253834.75,"05hkkdn48_wiley2024deal_2024"
"Fraunhofer-Gesellschaft","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"read",51990.25,"05hkkdn48_wiley2024deal_2024"
"Fraunhofer-Gesellschaft","Fraunhofer-Gesellschaft e. V.","ACM (Fraunhofer) 2022-2024","acm2022fg",2023,2023,"publish",55066.08,"05hkkdn48_acm2022fg_2023"
