"institution","consortium","contract_name","identifier","period_from","period_to","cost_type","euro","group_id"
"HAW Hamburg","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"read",11695.1,"00fkqwx76_els2023deal_2024"
"HAW Hamburg","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"publish",7796.02,"00fkqwx76_els2023deal_2024"
"HAW Hamburg","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"read",2311.2,"00fkqwx76_sn2024deal_2024"
"HAW Hamburg","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"publish",16948.8,"00fkqwx76_sn2024deal_2024"
"HAW Hamburg","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"read",543.86,"00fkqwx76_wiley2024deal_2024"
"HAW Hamburg","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2024,2024,"publish",2655.31,"00fkqwx76_wiley2019deal_2024"
"HAW Hamburg","German Academic Consortium, 154 participants, administered by Bayerische Staatsbibliothek","Sage (BSB) 2024-2025","sage2024gac",2024,2024,"read",879.45,"00fkqwx76_sage2024gac_2024"
"HAW Hamburg","German Academic Consortium, 154 participants, administered by Bayerische Staatsbibliothek","Sage (BSB) 2024-2025","sage2024gac",2024,2024,"publish",978.08,"00fkqwx76_sage2024gac_2024"
"HAW Hamburg","ZBW Leibniz Information Centre for Economics","Taylor & Francis (ZBW) 2024-2026","tf2024zbw",2024,2024,"read",626.3,"00fkqwx76_tf2024zbw_2024"
"HAW Hamburg","ZBW Leibniz Information Centre for Economics","Taylor & Francis (ZBW) 2024-2026","tf2024zbw",2024,2024,"publish",1162.0,"00fkqwx76_tf2024zbw_2024"
