"institution","consortium","contract_name","identifier","period_from","period_to","cost_type","euro","group_id"
"TU Chemnitz","hebis-Konsortium (German Academic Consortium)","ACM (hebis) 2021-2028","acm2021hebis",2024,2024,"publish",2486.19,"00a208s56_acm2021hebis_2024"
"TU Chemnitz","hebis-Konsortium (German Academic Consortium)","ACM (hebis) 2021-2028","acm2021hebis",2024,2024,"read",5217.31,"00a208s56_acm2021hebis_2024"
"TU Chemnitz","German Academic Consortium administered by Bayerische Staatsbibliothek (participants from Bavaria, Baden-Württemberg and Saxony)","ACS (BSB) 2023-2024","acs2023gac",2024,2024,"publish and read",41685.84,"00a208s56_acs2023gac_2024"
"TU Chemnitz","German Academic Consortium, 103 participants, administered by Bayerische Staatsbibliothek","CUP (BSB) 2022-2024","cam2022gac",2024,2024,"publish",6858.61,"00a208s56_cam2022gac_2024"
"TU Chemnitz","German Academic Consortium, 103 participants, administered by Bayerische Staatsbibliothek","CUP (BSB) 2022-2024","cam2022gac",2024,2024,"read",118.86,"00a208s56_cam2022gac_2024"
"TU Chemnitz","TIB Consortium","ECS (TIB) 2024-2024","ecs2024tib",2024,2024,"publish and read",2673.06,"00a208s56_ecs2024tib_2024"
"TU Chemnitz","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"publish",47694.18,"00a208s56_els2023deal_2024"
"TU Chemnitz","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"read",71541.27,"00a208s56_els2023deal_2024"
"TU Chemnitz","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"service fee",4922.0,"00a208s56_els2023deal_2024"
"TU Chemnitz","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"publish",-53043.06,"00a208s56_els2023deal_2024"
"TU Chemnitz","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"read",8859.6,"00a208s56_els2023deal_2024"
"TU Chemnitz","German Academic Consortium, 129 participating institutions, administered by SUB Göttingen","Hogrefe (SUB Göttingen) 2024-2026","hogrefe2024gac",2024,2024,"publish",3320.77,"00a208s56_hogrefe2024gac_2024"
"TU Chemnitz","German Academic Consortium, 129 participating institutions, administered by SUB Göttingen","Hogrefe (SUB Göttingen) 2024-2026","hogrefe2024gac",2024,2024,"read",2985.9,"00a208s56_hogrefe2024gac_2024"
"TU Chemnitz","TIB Consortium","IOP (TIB) 2022-2025","iop2022tib",2024,2024,"read",12515.79,"00a208s56_iop2022tib_2024"
"TU Chemnitz","TIB Consortium","IOP (TIB) 2022-2025","iop2022tib",2024,2024,"publish",41758.27,"00a208s56_iop2022tib_2024"
"TU Chemnitz","TIB Consortium","RSC (TIB) 2024-2027","rsc2024tib",2024,2024,"publish and read",17300.82,"00a208s56_rsc2024tib_2024"
"TU Chemnitz","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"publish",152470.88,"00a208s56_sn2024deal_2024"
"TU Chemnitz","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"read",20791.48,"00a208s56_sn2024deal_2024"
"TU Chemnitz","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"service fee",4280.0,"00a208s56_sn2024deal_2024"
"TU Chemnitz","ZBW Leibniz Information Centre for Economics","Taylor & Francis (ZBW) 2024-2026","tf2024zbw",2024,2024,"publish",25335.96,"00a208s56_tf2024zbw_2024"
"TU Chemnitz","ZBW Leibniz Information Centre for Economics","Taylor & Francis (ZBW) 2024-2026","tf2024zbw",2024,2024,"service fee",667.18,"00a208s56_tf2024zbw_2024"
"TU Chemnitz","ZBW Leibniz Information Centre for Economics","Taylor & Francis (ZBW) 2024-2026","tf2024zbw",2024,2024,"read",53155.82,"00a208s56_tf2024zbw_2024"
"TU Chemnitz","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"read",11726.55,"00a208s56_wiley2024deal_2024"
"TU Chemnitz","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"publish",57253.14,"00a208s56_wiley2024deal_2024"
"TU Chemnitz","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"publish",-63674.06,"00a208s56_wiley2024deal_2024"
"TU Chemnitz","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"read",62638.45,"00a208s56_wiley2024deal_2024"
"TU Chemnitz","Projekt DEAL Consortium","Wiley (DEAL) 2019-2023","wiley2019deal",2024,2024,"service fee",3959.0,"00a208s56_wiley2019deal_2024"
"TU Chemnitz","TIB Consortium","ECS (TIB) 2023-2023","ecs2023tib",2023,2023,"read",2591.2,"00a208s56_ecs2023tib_2023"
"TU Chemnitz","TIB Consortium","IOP (TIB) 2022-2025","iop2022tib",2023,2023,"publish",39529.74,"00a208s56_iop2022tib_2023"
"TU Chemnitz","TIB Consortium","IOP (TIB) 2022-2025","iop2022tib",2023,2023,"read",10770.03,"00a208s56_iop2022tib_2023"
