institution_ror,institution,period,euro,doi,is_hybrid,opt-out,type,contract_primary_identifier,contract_group_id,external_costsplitting,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee,url
https://ror.org/042aqky30,TU Dresden,2024,1940.25,10.1186/s12969-023-00934-4,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1940.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,2716.68,10.1038/s41531-023-00605-x,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,2716.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1714.73,10.1186/s12866-023-03139-7,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1714.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1862.53,10.1038/s41598-023-49210-1,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1862.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,971.98,10.1186/s40359-023-01469-9,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,971.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1774.74,10.1186/s12876-023-03088-5,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1774.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1005.99,10.1186/s42155-023-00413-7,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1005.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1862.53,10.1038/s41598-023-50451-3,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1862.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1888.62,10.1186/s12957-023-03262-9,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1888.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1774.74,10.1186/s12879-023-08946-x,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1774.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,2059.45,10.1186/s12889-023-17557-9,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,2059.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1897.16,10.1186/s12885-023-11787-1,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1897.1599999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,724.4,10.1186/s42854-023-00059-7,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,724.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,933.04,10.1007/s44205-023-00064-9,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,933.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,2523.17,10.1192/bjo.2023.629,FALSE,FALSE,journal article,cam2022gac,042aqky30_cam2022gac_2024,false,2523.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1954.73,10.1186/s12920-024-01796-9,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1954.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,2388.24,10.1186/s12964-024-01471-7,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,2388.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,2901.84,10.1007/s00262-023-03594-1,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,2901.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1954.73,10.1186/s12888-024-05500-0,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1954.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1774.74,10.1186/s12884-023-06203-2,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1774.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,2182.8,10.1016/j.matdes.2024.112667,FALSE,FALSE,journal article,els2023deal,042aqky30_els2023deal_2024,false,2182.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1763.06,10.1186/s12864-023-09948-4,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1763.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1246.25,10.1038/s41698-024-00517-w,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1246.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,2225.6,10.1002/aelm.202300798,FALSE,FALSE,journal article,wiley2024deal,042aqky30_wiley2024deal_2024,false,2225.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1927.71,10.1038/s41598-024-52173-6,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1927.7099999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1824.76,10.1186/s13019-024-02491-7,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1824.7600000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1927.71,10.1038/s41598-024-52723-y,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1927.7099999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,538.21,10.1155/2024/5534445,FALSE,FALSE,journal article,wiley2024deal,042aqky30_wiley2024deal_2024,false,538.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,2696.4,10.1016/j.neuroimage.2024.120526,FALSE,FALSE,journal article,els2023deal,042aqky30_els2023deal_2024,false,2696.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1927.71,10.1038/s41598-024-52986-5,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1927.7099999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1983.54,10.1186/s12877-024-04733-8,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1983.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,4391.28,10.1002/advs.202308797,FALSE,FALSE,journal article,wiley2024deal,042aqky30_wiley2024deal_2024,false,4391.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1888.62,10.1186/s12887-024-04586-5,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1888.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,5374.05,10.1038/s41467-024-45589-1,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,5374.049999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1927.71,10.1038/s41597-024-03000-0,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1927.7099999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,2901.84,10.1007/s10980-024-01853-9,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,2901.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1954.73,10.1186/s12888-024-05573-x,FALSE,FALSE,journal article,sn2024deal,042aqky30_sn2024deal_2024,false,1954.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
