"institution","consortium","contract_name","identifier","period_from","period_to","cost_type","euro","group_id"
"Wuppertal U","German Academic Consortium, 103 participants, administered by Bayerische Staatsbibliothek","CUP (BSB) 2022-2024","cam2022gac",2024,2024,"publish",2549.35,"00613ak93_cam2022gac_2024"
"Wuppertal U","German Academic Consortium, 103 participants, administered by Bayerische Staatsbibliothek","CUP (BSB) 2022-2024","cam2022gac",2024,2024,"read",26089.23,"00613ak93_cam2022gac_2024"
"Wuppertal U","TIB Consortium","RSC (TIB) 2024-2027","rsc2024tib",2024,2024,"publish",20002.45,"00613ak93_rsc2024tib_2024"
"Wuppertal U","TIB Consortium","RSC (TIB) 2024-2027","rsc2024tib",2024,2024,"read",18721.79,"00613ak93_rsc2024tib_2024"
"Wuppertal U","German Academic consortium, 79 participating institutions, administered by SUB Göttingen","Walter de Gruyter (SUB Göttingen) 2023-2024","degruy2023gac",2024,2024,"publish",3580.71,"00613ak93_degruy2023gac_2024"
"Wuppertal U","German Academic consortium, 79 participating institutions, administered by SUB Göttingen","Walter de Gruyter (SUB Göttingen) 2023-2024","degruy2023gac",2024,2024,"read",13416.0,"00613ak93_degruy2023gac_2024"
"Wuppertal U","German Academic Consortium, 129 participating institutions, administered by SUB Göttingen","Hogrefe (SUB Göttingen) 2024-2026","hogrefe2024gac",2024,2024,"publish",4935.31,"00613ak93_hogrefe2024gac_2024"
"Wuppertal U","German Academic Consortium, 129 participating institutions, administered by SUB Göttingen","Hogrefe (SUB Göttingen) 2024-2026","hogrefe2024gac",2024,2024,"read",4437.63,"00613ak93_hogrefe2024gac_2024"
"Wuppertal U","German academic consortium, administered by Max Planck Digital Library","Nature (MPDL) 2021-2024","sn2021gac",2024,2024,"publish",7956.34,"00613ak93_sn2021gac_2024"
"Wuppertal U","German academic consortium, administered by Max Planck Digital Library","Nature (MPDL) 2021-2024","sn2021gac",2024,2024,"read",3852.0,"00613ak93_sn2021gac_2024"
"Wuppertal U","German Academic Consortium, 19 participants, administered by Bayerische Staatsbibliothek","Karger (BSB) 2024-2026","kar2024gac",2024,2024,"publish and read",2942.5,"00613ak93_kar2024gac_2024"
"Wuppertal U","German Academic Consortium, 154 participants, administered by Bayerische Staatsbibliothek","Sage (BSB) 2024-2025","sage2024gac",2024,2024,"publish",20149.76,"00613ak93_sage2024gac_2024"
"Wuppertal U","German Academic Consortium, 154 participants, administered by Bayerische Staatsbibliothek","Sage (BSB) 2024-2025","sage2024gac",2024,2024,"read",20149.76,"00613ak93_sage2024gac_2024"
"Wuppertal U","ZBW Leibniz Information Centre for Economics","Taylor & Francis (ZBW) 2024-2026","tf2024zbw",2024,2024,"publish",27289.27,"00613ak93_tf2024zbw_2024"
"Wuppertal U","ZBW Leibniz Information Centre for Economics","Taylor & Francis (ZBW) 2024-2026","tf2024zbw",2024,2024,"read",57253.96,"00613ak93_tf2024zbw_2024"
"Wuppertal U","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"publish",80506.8,"00613ak93_sn2024deal_2024"
"Wuppertal U","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"read",10978.2,"00613ak93_sn2024deal_2024"
"Wuppertal U","Projekt DEAL Consortium","Springer Nature (DEAL) 2024-2028","sn2024deal",2024,2024,"service fee",5564.0,"00613ak93_sn2024deal_2024"
"Wuppertal U","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"publish",66585.1,"00613ak93_wiley2024deal_2024"
"Wuppertal U","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"read",13637.91,"00613ak93_wiley2024deal_2024"
"Wuppertal U","Projekt DEAL Consortium","Wiley (DEAL) 2024-2028","wiley2024deal",2024,2024,"service fee",2889.0,"00613ak93_wiley2024deal_2024"
"Wuppertal U","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"publish",21440.66,"00613ak93_els2023deal_2024"
"Wuppertal U","Projekt DEAL Consortium","Elsevier (DEAL) 2023-2028","els2023deal",2024,2024,"read",32159.92,"00613ak93_els2023deal_2024"
