institution,institution_ror,period,euro,doi,is_hybrid,type,contract_primary_identifier,contract_invoice_id,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00701-021-05099-1,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s11740-021-01100-z,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10309-021-00464-7,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s42278-021-00134-7,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00106-021-01139-5,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10006-022-01040-7,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s43681-022-00135-x,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00347-022-01574-x,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10853-022-06937-y,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00548-022-00768-4,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10309-022-00469-w,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s00424-022-02667-x,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlangen Nuernberg U,https://ror.org/00f7hpc57,2022,1761.66,10.1007/s10959-022-01158-0,TRUE,journal article,sn2020deal,00f7hpc57_sn2020deal_2021_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
