institution,institution_ror,period,euro,doi,is_hybrid,type,contract_primary_identifier,contract_invoice_id,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s10530-021-02726-x,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s11858-022-01327-9,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s11336-022-09841-1,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s10838-022-09599-1,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s11069-022-05226-w,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s12152-022-09490-2,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s00209-022-02977-x,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s40863-022-00291-2,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s10609-022-09433-9,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s12552-022-09357-4,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s12054-022-00465-4,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s11145-022-10269-3,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s12599-022-00748-w,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s11406-022-00479-y,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s11229-022-03636-8,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s00548-022-00773-7,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s10683-022-09752-z,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s10762-022-00844-8,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s11615-022-00385-8,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s10714-022-02918-3,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s11784-022-00946-9,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s10668-022-02303-9,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koeln U,https://ror.org/00rcxh774,2022,2219.14,10.1007/s10936-022-09873-9,TRUE,journal article,sn2020deal,00rcxh774_sn2020deal_2022_2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
