Publisher;Request Type;Year of APC Payment;Journal Title;Journal Type is_hybrid (TRUE/FALSE);Instituation ;Article Status;DOI;Article Net Price In Euro;Submitted to Open APC 
MDPI;Agreement;2022;Designs;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.3390/designs6050071;1159.03;Yes - 3rd submission
MDPI;Agreement;2022;Sustainability;FALSCH;Qatar National Library Consortium;Published;10.3390/su14158991 ;1733.41;Yes - 3rd submission
MDPI;Agreement;2022;sustainability;FALSCH;Qatar National Library Consortium;Published;10.3390/su14137953;1716.08;Yes - 3rd submission
MDPI;Agreement;2022;Membranes;FALSCH;Qatar National Library Consortium;Published;10.3390/membranes12070675;1906.75;Yes - 3rd submission
MDPI;Agreement;2022;International Journal of Environmental Research and Public Health;FALSCH;Qatar National Library Consortium;Published;10.3390/ijerph191710533;2145.10;Yes - 3rd submission
MDPI;Agreement;2022;Materials;FALSCH;Qatar National Library Consortium;Published;10.3390/ma15175816 ;1973.49;Yes - 3rd submission
MDPI;Agreement;2022;Processes;FALSCH;Qatar National Library Consortium;Published;10.3390/pr10091677;1716.08;Yes - 3rd submission
MDPI;Agreement;2022;Journal of Clinical Medicine;FALSCH;Qatar National Library Consortium;Published;10.3390/jcm11174954;2059.30;Yes - 3rd submission
MDPI;Agreement;2022;Energies;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.3390/en15145286;2161.11;Yes - 3rd submission
MDPI;Agreement;2022;Nanomaterials;FALSCH;Qatar National Library Consortium;Published;10.3390/nano12172904;2080.09;Yes - 3rd submission
MDPI;Agreement;2022;Energies;FALSCH;Qatar National Library Consortium;Published;10.3390/en15176124;1906.75;Yes - 3rd submission
MDPI;Agreement;2022;Sustainability;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.3390/su141710525;1964.71;Yes - 3rd submission
MDPI;Agreement;2022;Mathematics;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.3390/math10173045;1768.77;Yes - 3rd submission
MDPI;Agreement;2022;Life;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.3390/life12081266;1490;Yes - 3rd submission
MDPI;Agreement;2022;Foods;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.3390/foods11152301;2162.57;Yes - 3rd submission
