"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Swiss National Science Foundation (SNSF)",2020,2974.61,"10.1001/jamanetworkopen.2020.7940",FALSE,"American Medical Association (AMA)","JAMA Network Open","2574-3805",NA,"2574-3805","2574-3805",NA,TRUE,"32568400","PMC7309443","ut:000545969100005",NA,TRUE
"Swiss National Science Foundation (SNSF)",2020,3536.09,"10.1002/1878-0261.12828",FALSE,"Wiley-Blackwell","Molecular Oncology","1574-7891","1574-7891","1878-0261","1574-7891","http://creativecommons.org/licenses/by/4.0/",TRUE,"33080107",NA,"ut:000585231400001",NA,TRUE
"Swiss National Science Foundation (SNSF)",2020,1456.63,"10.1002/2211-5463.12967",FALSE,"Wiley-Blackwell","FEBS Open Bio","2211-5463","2211-5463","2211-5463","2211-5463","http://creativecommons.org/licenses/by/4.0/",TRUE,"32881386","PMC7530381","ut:000573894300001",NA,TRUE
"Swiss National Science Foundation (SNSF)",2020,4687.18,"10.1002/adfm.202002949",TRUE,"Wiley-Blackwell","Advanced Functional Materials","1616-301X","1616-301X","1616-3028","1616-301X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000539579000001",NA,FALSE
"Swiss National Science Foundation (SNSF)",2020,4788.11,"10.1002/adma.202004804",TRUE,"Wiley-Blackwell","Advanced Materials","0935-9648","0935-9648","1521-4095","0935-9648","http://creativecommons.org/licenses/by/4.0/",TRUE,"33107187",NA,"ut:000583628900001",NA,FALSE
"Swiss National Science Foundation (SNSF)",2019,3222.56,"10.1002/bies.201800191",TRUE,"Wiley-Blackwell","BioEssays","0265-9247","0265-9247","1521-1878","0265-9247","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31132173",NA,"ut:000474783900001",NA,FALSE
"Swiss National Science Foundation (SNSF)",2020,1823.36,"10.1002/cjp2.158",FALSE,"Wiley-Blackwell","The Journal of Pathology: Clinical Research","2056-4538","2056-4538","2056-4538","2056-4538","http://creativecommons.org/licenses/by/4.0/",TRUE,"32022484","PMC7164374","ut:000511025700001",NA,TRUE
"Swiss National Science Foundation (SNSF)",2020,2077.75,"10.1002/clc.23503",FALSE,"Wiley-Blackwell","Clinical Cardiology","0160-9289","0160-9289","1932-8737","0160-9289","http://creativecommons.org/licenses/by/4.0/",TRUE,"33169859",NA,"ut:000587750000001",NA,TRUE
"Swiss National Science Foundation (SNSF)",2020,1980.57,"10.1002/ece3.6479",FALSE,"Wiley-Blackwell","Ecology and Evolution","2045-7758","2045-7758","2045-7758","2045-7758","http://creativecommons.org/licenses/by/4.0/",TRUE,"32760547","PMC7391543","ut:000548012700001",NA,TRUE
"Swiss National Science Foundation (SNSF)",2020,1830.58,"10.1002/ece3.6711",FALSE,"Wiley-Blackwell","Ecology and Evolution","2045-7758","2045-7758","2045-7758","2045-7758","http://creativecommons.org/licenses/by/4.0/",TRUE,"33072280","PMC7548182","ut:000565384700001",NA,TRUE
"Swiss National Science Foundation (SNSF)",2020,1724.1,"10.1002/evl3.166",FALSE,"Wiley-Blackwell","Evolution Letters","2056-3744","2056-3744","2056-3744","2056-3744","http://creativecommons.org/licenses/by/4.0/",TRUE,"32547781","PMC7293072","ut:000525281600001",NA,TRUE
NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
