"institution","period","euro","doi","is_hybrid","opt_out","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement","group_id"
"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"TH Ingolstadt",2024,1927.71,"10.1038/s41598-024-51313-2",FALSE,FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"38200075","PMC10781762",NA,NA,TRUE,"sn2024deal","02bxzcy64_sn2024deal_2024"
"TH Ingolstadt",2024,982.27,"10.1186/s40309-024-00237-1",FALSE,FALSE,"Springer Nature","European Journal of Futures Research","2195-2248",NA,"2195-2248","2195-2248","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"sn2024deal","02bxzcy64_sn2024deal_2024"
"TH Ingolstadt",2024,2105.76,"10.1016/j.egyr.2024.10.041",FALSE,FALSE,"Elsevier BV","Energy Reports","2352-4847","2352-4847",NA,"2352-4847","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1002/batt.202400627",TRUE,FALSE,"Wiley-Blackwell","Batteries & Supercaps","2566-6223","2566-6223","2566-6223","2566-6223","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"wiley2024deal","02bxzcy64_wiley2024deal_2024"
"TH Ingolstadt",2024,NA,"10.1002/ffo2.195",TRUE,FALSE,"Wiley-Blackwell","FUTURES & FORESIGHT SCIENCE","2573-5152","2573-5152","2573-5152","2573-5152","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"wiley2024deal","02bxzcy64_wiley2024deal_2024"
"TH Ingolstadt",2024,NA,"10.1002/bse.3707",TRUE,FALSE,"Wiley-Blackwell","Business Strategy and the Environment","0964-4733","0964-4733","1099-0836","0964-4733","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"wiley2024deal","02bxzcy64_wiley2024deal_2024"
"TH Ingolstadt",2024,NA,"10.1016/j.est.2024.114142",TRUE,FALSE,"Elsevier BV","Journal of Energy Storage","2352-152X","2352-152X",NA,"2352-152X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1016/j.drudis.2024.104128",TRUE,FALSE,"Elsevier BV","Drug Discovery Today","1359-6446","1359-6446",NA,"1359-6446","http://creativecommons.org/licenses/by/4.0/",TRUE,"39097219",NA,NA,NA,FALSE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1016/j.msea.2024.147354",TRUE,FALSE,"Elsevier BV","Materials Science and Engineering: A","0921-5093","0921-5093",NA,"0921-5093","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1016/j.techsoc.2024.102464",TRUE,FALSE,"Elsevier BV","Technology in Society","0160-791X","0160-791X",NA,"0160-791X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1016/j.vehcom.2024.100744",TRUE,FALSE,"Elsevier BV","Vehicular Communications","2214-2096","2214-2096",NA,"2214-2096","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1016/j.engappai.2024.108074",TRUE,FALSE,"Elsevier BV","Engineering Applications of Artificial Intelligence","0952-1976","0952-1976",NA,"0952-1976","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1016/j.energy.2024.131226",TRUE,FALSE,"Elsevier BV","Energy","0360-5442","0360-5442",NA,"0360-5442","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1016/j.media.2024.103155",TRUE,FALSE,"Elsevier BV","Medical Image Analysis","1361-8415","1361-8415",NA,"1361-8415","http://creativecommons.org/licenses/by/4.0/",TRUE,"38537415",NA,NA,NA,FALSE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1016/j.ijrefrig.2024.12.013",TRUE,FALSE,"Elsevier BV","International Journal of Refrigeration","0140-7007","0140-7007",NA,"0140-7007","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1016/j.matlet.2024.136973",TRUE,FALSE,"Elsevier BV","Materials Letters","0167-577X","0167-577X",NA,"0167-577X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1016/j.trf.2024.11.012",TRUE,FALSE,"Elsevier BV","Transportation Research Part F: Traffic Psychology and Behaviour","1369-8478","1369-8478",NA,"1369-8478","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1016/j.est.2024.112483",TRUE,FALSE,"Elsevier BV","Journal of Energy Storage","2352-152X","2352-152X",NA,"2352-152X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1016/j.ijfatigue.2023.108073",TRUE,FALSE,"Elsevier BV","International Journal of Fatigue","0142-1123","0142-1123",NA,"0142-1123","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,FALSE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1016/j.compstruct.2024.118683",TRUE,FALSE,"Elsevier BV","Composite Structures","0263-8223","0263-8223",NA,"0263-8223","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1016/j.drudis.2024.104222",TRUE,FALSE,"Elsevier BV","Drug Discovery Today","1359-6446","1359-6446",NA,"1359-6446","http://creativecommons.org/licenses/by/4.0/",TRUE,"39510495",NA,NA,NA,FALSE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1016/j.engfailanal.2024.109032",TRUE,FALSE,"Elsevier BV","Engineering Failure Analysis","1350-6307","1350-6307",NA,"1350-6307","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1016/j.energy.2024.133585",TRUE,FALSE,"Elsevier BV","Energy","0360-5442","0360-5442",NA,"0360-5442","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"els2023deal","02bxzcy64_els2023deal_2024"
"TH Ingolstadt",2024,NA,"10.1007/s12239-024-00031-9",TRUE,FALSE,"Springer Nature","International Journal of Automotive Technology","1229-9138","1229-9138","1976-3832","1229-9138","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"sn2024deal","02bxzcy64_sn2024deal_2024"
"TH Ingolstadt",2024,NA,"10.1007/s43681-024-00626-z",TRUE,FALSE,"Springer Nature","AI and Ethics","2730-5953","2730-5953","2730-5961","2730-5953","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"sn2024deal","02bxzcy64_sn2024deal_2024"
"TH Ingolstadt",2024,NA,"10.1007/s12193-024-00436-x",TRUE,FALSE,"Springer Nature","Journal on Multimodal User Interfaces","1783-7677","1783-7677","1783-8738","1783-7677","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"sn2024deal","02bxzcy64_sn2024deal_2024"
"TH Ingolstadt",2024,NA,"10.1007/s40964-024-00627-8",TRUE,FALSE,"Springer Nature","Progress in Additive Manufacturing","2363-9512","2363-9512","2363-9520","2363-9520","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"sn2024deal","02bxzcy64_sn2024deal_2024"
"TH Ingolstadt",2024,NA,"10.1007/s00146-024-01972-6",TRUE,FALSE,"Springer Nature","AI & SOCIETY","0951-5666","0951-5666","1435-5655","0951-5666","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"sn2024deal","02bxzcy64_sn2024deal_2024"
