"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"TiHo Hannover",2023,1546.48,"10.3390/vetsci10010043",FALSE,"MDPI AG","Veterinary Sciences","2306-7381",NA,"2306-7381","2306-7381","https://creativecommons.org/licenses/by/4.0/",TRUE,"36669045","PMC9862871",NA,NA,TRUE
"TiHo Hannover",2023,2753.23,"10.3389/fvets.2023.1102149",FALSE,"Frontiers Media SA","Frontiers in Veterinary Science","2297-1769",NA,"2297-1769","2297-1769","https://creativecommons.org/licenses/by/4.0/",TRUE,"36777673","PMC9911668",NA,NA,TRUE
"TiHo Hannover",2023,1724.19,"10.3389/fvets.2023.1126399",FALSE,"Frontiers Media SA","Frontiers in Veterinary Science","2297-1769",NA,"2297-1769","2297-1769","https://creativecommons.org/licenses/by/4.0/",TRUE,"36816196","PMC9936059",NA,NA,TRUE
"TiHo Hannover",2023,1718.79,"10.3389/fvets.2023.1124231",FALSE,"Frontiers Media SA","Frontiers in Veterinary Science","2297-1769",NA,"2297-1769","2297-1769","https://creativecommons.org/licenses/by/4.0/",TRUE,"36814465","PMC9939829",NA,NA,TRUE
"TiHo Hannover",2023,1435.35,"10.3390/vaccines11020251",FALSE,"MDPI AG","Vaccines","2076-393X",NA,"2076-393X","2076-393X","https://creativecommons.org/licenses/by/4.0/",TRUE,"36851129","PMC9961428",NA,NA,TRUE
"TiHo Hannover",2023,1835.86,"10.3390/vetsci10020091",FALSE,"MDPI AG","Veterinary Sciences","2306-7381",NA,"2306-7381","2306-7381","https://creativecommons.org/licenses/by/4.0/",TRUE,"36851395","PMC9967778",NA,NA,TRUE
"TiHo Hannover",2023,1130.5,"10.2376/1439-0299-2022-20",FALSE,"Schlütersche Verlagsgesellschaft","Berliner und Münchener Tierärztliche Wochenschrift","0005-9366",NA,NA,"0005-9366",NA,FALSE,NA,NA,NA,NA,FALSE
"TiHo Hannover",2023,1917.41,"10.3390/ijms24032565",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"36768890","PMC9916475",NA,NA,FALSE
"TiHo Hannover",2023,3304.67,"10.3389/fvets.2023.1044561",FALSE,"Frontiers Media SA","Frontiers in Veterinary Science","2297-1769",NA,"2297-1769","2297-1769","https://creativecommons.org/licenses/by/4.0/",TRUE,"36876014","PMC9975587",NA,NA,TRUE
"TiHo Hannover",2023,3304.67,"10.3389/fvets.2023.1062046",FALSE,"Frontiers Media SA","Frontiers in Veterinary Science","2297-1769",NA,"2297-1769","2297-1769","https://creativecommons.org/licenses/by/4.0/",TRUE,"36876017","PMC9975549",NA,NA,TRUE
"TiHo Hannover",2023,1925.36,"10.3390/ani13040584",FALSE,"MDPI AG","Animals","2076-2615",NA,"2076-2615","2076-2615","https://creativecommons.org/licenses/by/4.0/",TRUE,"36830371","PMC9951715",NA,NA,TRUE
"TiHo Hannover",2023,749.62,"10.3390/ani13040623",FALSE,"MDPI AG","Animals","2076-2615",NA,"2076-2615","2076-2615","https://creativecommons.org/licenses/by/4.0/",TRUE,"36830410","PMC9951766",NA,NA,TRUE
"TiHo Hannover",2023,1755.78,"10.3389/fvets.2023.1119441",FALSE,"Frontiers Media SA","Frontiers in Veterinary Science","2297-1769",NA,"2297-1769","2297-1769","https://creativecommons.org/licenses/by/4.0/",TRUE,"36937013","PMC10020495",NA,NA,TRUE
"TiHo Hannover",2023,1880.2,"10.1016/j.aqrep.2023.101500",FALSE,"Elsevier BV","Aquaculture Reports","2352-5134","2352-5134",NA,"2352-5134","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"TiHo Hannover",2023,1832.4,"10.3390/antibiotics12020394",FALSE,"MDPI AG","Antibiotics","2079-6382",NA,"2079-6382","2079-6382","https://creativecommons.org/licenses/by/4.0/",TRUE,"36830304","PMC9952550",NA,NA,TRUE
"TiHo Hannover",2023,1604.38,"10.3390/vetsci10020161",FALSE,"MDPI AG","Veterinary Sciences","2306-7381",NA,"2306-7381","2306-7381","https://creativecommons.org/licenses/by/4.0/",TRUE,"36851465","PMC9961434",NA,NA,TRUE
"TiHo Hannover",2023,2094.4,"10.1016/j.ijppaw.2023.02.002",FALSE,"Elsevier BV","International Journal for Parasitology: Parasites and Wildlife","2213-2244","2213-2244",NA,"2213-2244","http://creativecommons.org/licenses/by/4.0/",TRUE,"36845223","PMC9945782",NA,NA,TRUE
"TiHo Hannover",2023,2817.19,"10.3389/fvets.2023.1110019",FALSE,"Frontiers Media SA","Frontiers in Veterinary Science","2297-1769",NA,"2297-1769","2297-1769","https://creativecommons.org/licenses/by/4.0/",TRUE,"36908508","PMC9998946",NA,NA,TRUE
"TiHo Hannover",2023,3340.4,"10.3389/fimmu.2023.1134371",FALSE,"Frontiers Media SA","Frontiers in Immunology","1664-3224",NA,"1664-3224","1664-3224","https://creativecommons.org/licenses/by/4.0/",TRUE,"36926332","PMC10011100",NA,NA,TRUE
"TiHo Hannover",2023,3344.3,"10.3389/fmicb.2023.1136638",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X","https://creativecommons.org/licenses/by/4.0/",TRUE,"37025628","PMC10071031",NA,NA,TRUE
"TiHo Hannover",2023,2156.95,"10.3389/fitd.2023.1107857",FALSE,"Frontiers Media SA","Frontiers in Tropical Diseases","2673-7515",NA,"2673-7515","2673-7515","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"TiHo Hannover",2023,3094,"10.1016/j.isci.2023.106309",FALSE,"Elsevier BV","iScience","2589-0042","2589-0042",NA,"2589-0042","http://creativecommons.org/licenses/by/4.0/",TRUE,"36968089","PMC10034449",NA,NA,TRUE
"TiHo Hannover",2023,2084.34,"10.3389/fmolb.2023.1160860",FALSE,"Frontiers Media SA","Frontiers in Molecular Biosciences","2296-889X",NA,"2296-889X","2296-889X","https://creativecommons.org/licenses/by/4.0/",TRUE,"36968271","PMC10030609",NA,NA,TRUE
