"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"Aalto University",2021,NA,"10.1021/acsami.1c18606",TRUE,"American Chemical Society (ACS)","ACS Applied Materials & Interfaces","1944-8244","1944-8244","1944-8252","1944-8244","https://creativecommons.org/licenses/by/4.0/",TRUE,"34855351","PMC8678989","ut:000752977200065",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acssuschemeng.1c06101",TRUE,"American Chemical Society (ACS)","ACS Sustainable Chemistry & Engineering","2168-0485","2168-0485","2168-0485","2168-0485","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000753961000022",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsnano.1c06840",TRUE,"American Chemical Society (ACS)","ACS Nano","1936-0851","1936-0851","1936-086X","1936-0851","https://creativecommons.org/licenses/by/4.0/",TRUE,"34806866","PMC8793147",NA,NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsaem.1c03405",TRUE,"American Chemical Society (ACS)","ACS Applied Energy Materials","2574-0962","2574-0962","2574-0962","2574-0962","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000756324400138",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acssuschemeng.1c05938",TRUE,"American Chemical Society (ACS)","ACS Sustainable Chemistry & Engineering","2168-0485","2168-0485","2168-0485","2168-0485","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000753959800034",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsami.1c17519",TRUE,"American Chemical Society (ACS)","ACS Applied Materials & Interfaces","1944-8244","1944-8244","1944-8252","1944-8244","https://creativecommons.org/licenses/by/4.0/",TRUE,"34825816","PMC8662639","ut:000752970600005",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsnano.1c05986",TRUE,"American Chemical Society (ACS)","ACS Nano","1936-0851","1936-0851","1936-086X","1936-0851","https://creativecommons.org/licenses/by/4.0/",TRUE,"34730941","PMC8613900","ut:000747115200061",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.biomac.1c01102",TRUE,"American Chemical Society (ACS)","Biomacromolecules","1525-7797","1525-7797","1526-4602","1525-7797","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000717390400032",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.jpclett.1c02493",TRUE,"American Chemical Society (ACS)","The Journal of Physical Chemistry Letters","1948-7185","1948-7185","1948-7185","1948-7185","https://creativecommons.org/licenses/by/4.0/",TRUE,"34636561","PMC8543677","ut:000711025300018",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsphotonics.1c00981",TRUE,"American Chemical Society (ACS)","ACS Photonics","2330-4022","2330-4022","2330-4022","2330-4022","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000710954200028",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.jafc.1c04112",TRUE,"American Chemical Society (ACS)","Journal of Agricultural and Food Chemistry","0021-8561","0021-8561","1520-5118","0021-8561","https://creativecommons.org/licenses/by/4.0/",TRUE,"34514798",NA,"ut:000700883500009",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acssensors.1c01073",TRUE,"American Chemical Society (ACS)","ACS Sensors","2379-3694","2379-3694","2379-3694","2379-3694","https://creativecommons.org/licenses/by/4.0/",TRUE,"34506110",NA,"ut:000702090500018",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsagscitech.1c00146",TRUE,"American Chemical Society (ACS)","ACS Agricultural Science & Technology","2692-1952","2692-1952","2692-1952","2692-1952","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.nanolett.1c02325",TRUE,"American Chemical Society (ACS)","Nano Letters","1530-6984","1530-6984","1530-6992","1530-6984","https://creativecommons.org/licenses/by/4.0/",TRUE,"34491764","PMC8461652","ut:000700883900029",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.jpcc.1c06530",TRUE,"American Chemical Society (ACS)","The Journal of Physical Chemistry C","1932-7447","1932-7447","1932-7455","1932-7447","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000704295900037",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsaem.1c01186",TRUE,"American Chemical Society (ACS)","ACS Applied Energy Materials","2574-0962","2574-0962","2574-0962","2574-0962","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000703338600027",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsphotonics.1c00767",TRUE,"American Chemical Society (ACS)","ACS Photonics","2330-4022","2330-4022","2330-4022","2330-4022","https://creativecommons.org/licenses/by/4.0/",TRUE,"34553003","PMC8447258","ut:000697319600020",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsami.1c08274",TRUE,"American Chemical Society (ACS)","ACS Applied Materials & Interfaces","1944-8244","1944-8244","1944-8252","1944-8244","https://creativecommons.org/licenses/by/4.0/",TRUE,"34412473","PMC8414484","ut:000693050200082",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.jpcc.1c03238",TRUE,"American Chemical Society (ACS)","The Journal of Physical Chemistry C","1932-7447","1932-7447","1932-7455","1932-7447","https://creativecommons.org/licenses/by/4.0/",TRUE,"34476042","PMC8404192","ut:000692021300018",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.chemrev.0c01333",TRUE,"American Chemical Society (ACS)","Chemical Reviews","0009-2665","0009-2665","1520-6890","0009-2665","https://creativecommons.org/licenses/by/4.0/",TRUE,"34415732","PMC8630709","ut:000753852200009",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.nanolett.1c00773",TRUE,"American Chemical Society (ACS)","Nano Letters","1530-6984","1530-6984","1530-6992","1530-6984","https://creativecommons.org/licenses/by/4.0/",TRUE,"34313133","PMC8397389","ut:000685244900009",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.nanolett.1c02381",TRUE,"American Chemical Society (ACS)","Nano Letters","1530-6984","1530-6984","1530-6992","1530-6984","https://creativecommons.org/licenses/by/4.0/",TRUE,"34279968","PMC8323120","ut:000679930400054",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.jpcc.1c03858",TRUE,"American Chemical Society (ACS)","The Journal of Physical Chemistry C","1932-7447","1932-7447","1932-7455","1932-7447","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000680445800016",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsami.1c06087",TRUE,"American Chemical Society (ACS)","ACS Applied Materials & Interfaces","1944-8244","1944-8244","1944-8252","1944-8244","https://creativecommons.org/licenses/by/4.0/",TRUE,"34261310","PMC8397241","ut:000679917500103",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsphotonics.1c00466",TRUE,"American Chemical Society (ACS)","ACS Photonics","2330-4022","2330-4022","2330-4022","2330-4022","https://creativecommons.org/licenses/by/4.0/",TRUE,"34476288","PMC8377711","ut:000687190500017",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acscatal.1c00538",TRUE,"American Chemical Society (ACS)","ACS Catalysis","2155-5435","2155-5435","2155-5435","2155-5435","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000670659900037",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acssuschemeng.1c01789",TRUE,"American Chemical Society (ACS)","ACS Sustainable Chemistry & Engineering","2168-0485","2168-0485","2168-0485","2168-0485","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000664614900018",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.chemrestox.0c00340",TRUE,"American Chemical Society (ACS)","Chemical Research in Toxicology","0893-228X","0893-228X","1520-5010","0893-228X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000664624800003",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.bioconjchem.1c00176",TRUE,"American Chemical Society (ACS)","Bioconjugate Chemistry","1043-1802","1043-1802","1520-4812","1043-1802","https://creativecommons.org/licenses/by/4.0/",TRUE,"34029458","PMC8382221","ut:000664301900009",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.energyfuels.1c00749",TRUE,"American Chemical Society (ACS)","Energy & Fuels","0887-0624","0887-0624","1520-5029","0887-0624","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000661109900017",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsaem.1c00599",TRUE,"American Chemical Society (ACS)","ACS Applied Energy Materials","2574-0962","2574-0962","2574-0962","2574-0962","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000669533800047",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsapm.0c01252",TRUE,"American Chemical Society (ACS)","ACS Applied Polymer Materials","2637-6105","2637-6105","2637-6105","2637-6105","https://creativecommons.org/licenses/by/4.0/",TRUE,"34308357","PMC8290922","ut:000651806000016",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.biomac.1c00183",TRUE,"American Chemical Society (ACS)","Biomacromolecules","1525-7797","1525-7797","1526-4602","1525-7797","https://creativecommons.org/licenses/by/4.0/",TRUE,"33899466","PMC8154265","ut:000651049600026",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsanm.1c00071",TRUE,"American Chemical Society (ACS)","ACS Applied Nano Materials","2574-0970","2574-0970","2574-0970","2574-0970","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000635462900067",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsnano.0c09500",TRUE,"American Chemical Society (ACS)","ACS Nano","1936-0851","1936-0851","1936-086X","1936-0851","https://creativecommons.org/licenses/by/4.0/",TRUE,"33593063","PMC8023795","ut:000634569100092",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.jctc.0c00648",TRUE,"American Chemical Society (ACS)","Journal of Chemical Theory and Computation","1549-9618","1549-9618","1549-9626","1549-9618","https://creativecommons.org/licenses/by/4.0/",TRUE,"33577313","PMC8023666","ut:000629135700052",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsami.0c18623",TRUE,"American Chemical Society (ACS)","ACS Applied Materials & Interfaces","1944-8244","1944-8244","1944-8252","1944-8244","https://creativecommons.org/licenses/by/4.0/",TRUE,"33522810","PMC7944486","ut:000619638400027",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsami.0c22436",TRUE,"American Chemical Society (ACS)","ACS Applied Materials & Interfaces","1944-8244","1944-8244","1944-8252","1944-8244","https://creativecommons.org/licenses/by/4.0/",TRUE,"33756081","PMC8041256","ut:000639014900072",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.langmuir.1c01110",TRUE,"American Chemical Society (ACS)","Langmuir","0743-7463","0743-7463","1520-5827","0743-7463","https://creativecommons.org/licenses/by/4.0/",TRUE,"34128683","PMC8280702","ut:000669851700018",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsanm.1c00774",TRUE,"American Chemical Society (ACS)","ACS Applied Nano Materials","2574-0970","2574-0970","2574-0970","2574-0970","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000668366800026",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.jpcc.1c00982",TRUE,"American Chemical Society (ACS)","The Journal of Physical Chemistry C","1932-7447","1932-7447","1932-7455","1932-7447","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000664312500002",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsnano.1c07661",TRUE,"American Chemical Society (ACS)","ACS Nano","1936-0851","1936-0851","1936-086X","1936-0851","https://creativecommons.org/licenses/by/4.0/",TRUE,"34985864","PMC8793132","ut:000742106800001",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsmacrolett.1c00712",TRUE,"American Chemical Society (ACS)","ACS Macro Letters","2161-1653","2161-1653","2161-1653","2161-1653","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,"PMC8772381","ut:000740504000001",NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acsphotonics.1c01416",TRUE,"American Chemical Society (ACS)","ACS Photonics","2330-4022","2330-4022","2330-4022","2330-4022","https://creativecommons.org/licenses/by/4.0/",TRUE,"35083367","PMC8780794",NA,NA,FALSE,"FinELib ACS agreement"
"Aalto University",2021,NA,"10.1021/acs.nanolett.1c03856",TRUE,"American Chemical Society (ACS)","Nano Letters","1530-6984","1530-6984","1530-6992","1530-6984","https://creativecommons.org/licenses/by/4.0/",TRUE,"34978831","PMC8759081",NA,NA,FALSE,"FinELib ACS agreement"
