"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"Dublin City University",2024,NA,"10.1108/ijccsm-01-2024-0008",FALSE,"Emerald","International Journal of Climate Change Strategies and Management","1756-8692","1756-8692","1756-8706","1756-8692","https://www.emerald.com/insight/site-policies",TRUE,NA,NA,NA,NA,TRUE,"IReL Emerald Agreement"
"University of Galway",2024,NA,"10.1108/jadee-04-2024-0139",TRUE,"Emerald","Journal of Agribusiness in Developing and Emerging Economies","2044-0839","2044-0839","2044-0847","2044-0839","https://www.emerald.com/insight/site-policies",TRUE,NA,NA,NA,NA,FALSE,"IReL Emerald Agreement"
"University of Galway",2024,NA,"10.1093/tbm/ibae068",TRUE,"Oxford University Press (OUP)","Translational Behavioral Medicine","1869-6716","1869-6716","1613-9860","1613-9860","https://creativecommons.org/licenses/by/4.0/",TRUE,"39688502",NA,NA,NA,FALSE,"IReL OUP Agreement"
"University College Cork",2024,NA,"10.1093/heapro/daae188",TRUE,"Oxford University Press (OUP)","Health Promotion International","0957-4824","0957-4824","1460-2245","0957-4824","https://creativecommons.org/licenses/by/4.0/",TRUE,"39657731","PMC11631069",NA,NA,FALSE,"IReL OUP Agreement"
"Royal College of Surgeons in Ireland",2024,NA,"10.1093/schbul/sbae205",TRUE,"Oxford University Press (OUP)","Schizophrenia Bulletin","0586-7614","0586-7614","1745-1701","0586-7614","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"39657713",NA,NA,NA,FALSE,"IReL OUP Agreement"
"University of Galway",2024,NA,"10.1093/bjsw/bcae190",TRUE,"Oxford University Press (OUP)","British Journal of Social Work","0045-3102","0045-3102","1468-263X","0045-3102","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"IReL OUP Agreement"
"University College Cork",2024,NA,"10.1177/01417789241280499",TRUE,"SAGE Publications","Feminist Review","0141-7789","0141-7789","1466-4380","0141-7789","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"IReL Sage Agreement"
"University College Dublin",2024,NA,"10.1109/jssc.2024.3499855",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Journal of Solid-State Circuits","0018-9200","0018-9200","1558-173X","0018-9200","https://creativecommons.org/licenses/by/4.0/legalcode",TRUE,NA,NA,NA,NA,FALSE,"IReL IEEE Agreement"
"University College Cork",2024,NA,"10.1017/s1759078724001211",TRUE,"Cambridge University Press (CUP)","International Journal of Microwave and Wireless Technologies","1759-0787","1759-0787","1759-0795","1759-0787","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"IReL CUP Agreement"
"University of Galway",2024,NA,"10.1192/j.eurpsy.2024.1804",FALSE,"Royal College of Psychiatrists","European Psychiatry","0924-9338","0924-9338","1778-3585","0924-9338","http://creativecommons.org/licenses/by/4.0",TRUE,"39697115",NA,NA,NA,TRUE,"IReL CUP Agreement"
