institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,issn_l,license_ref,indexed_in_crossref,pmid,pmcid,ut,url,doaj,agreement
University of Limerick,2025,,10.1371/journal.pone.0318681,FALSE,,,,,,,,,,,,,,IReL PLOS Agreement
University of Galway,2025,,10.1371/journal.pone.0318265,FALSE,,,,,,,,,,,,,,IReL PLOS Agreement
University College Dublin,2025,,10.1371/journal.pone.0317725,FALSE,,,,,,,,,,,,,,IReL PLOS Agreement
Trinity College Dublin,2025,,10.1371/journal.pone.0300412,FALSE,,,,,,,,,,,,,,IReL PLOS Agreement
Trinity College Dublin,2025,,10.1371/journal.pone.0318687,FALSE,,,,,,,,,,,,,,IReL PLOS Agreement
University College Cork,2025,,10.1364/ome.551622,FALSE,,,,,,,,,,,,,,IReL Optica Agreement
University of Galway,2025,,10.1364/oe.547351,FALSE,,,,,,,,,,,,,,IReL Optica Agreement
University College Cork,2025,,10.1364/oe.549575,FALSE,,,,,,,,,,,,,,IReL Optica Agreement
University College Dublin,2025,,10.1109/jstars.2025.3546060,FALSE,,,,,,,,,,,,,,IReL IEEE Agreement
University of Galway,2025,,10.1109/access.2025.3546085,FALSE,,,,,,,,,,,,,,IReL IEEE Agreement
University of Galway,2025,,10.1109/access.2025.3545387,FALSE,,,,,,,,,,,,,,IReL IEEE Agreement
Dublin City University,2025,,10.1109/access.2025.3544639,FALSE,,,,,,,,,,,,,,IReL IEEE Agreement
University of Galway,2025,,10.1109/tai.2025.3544177,TRUE,,,,,,,,,,,,,,IReL IEEE Agreement
University College Dublin,2025,,10.1109/tpwrs.2025.3543314,TRUE,,,,,,,,,,,,,,IReL IEEE Agreement
University College Cork,2025,,10.1109/access.2025.3543597,FALSE,,,,,,,,,,,,,,IReL IEEE Agreement
University College Dublin,2025,,10.1109/tmm.2025.3542991,TRUE,,,,,,,,,,,,,,IReL IEEE Agreement
University of Galway,2025,,10.1109/ojvt.2025.3542213,FALSE,,,,,,,,,,,,,,IReL IEEE Agreement
University of Limerick,2025,,10.1109/ojvt.2025.3541891,FALSE,,,,,,,,,,,,,,IReL IEEE Agreement
University of Limerick,2025,,10.1109/access.2025.3538748,FALSE,,,,,,,,,,,,,,IReL IEEE Agreement
University of Limerick,2025,,10.1109/emr.2025.3538268,TRUE,,,,,,,,,,,,,,IReL IEEE Agreement
Dublin City University,2025,,10.1109/tbme.2025.3537868,TRUE,,,,,,,,,,,,,,IReL IEEE Agreement
Maynooth University,2025,,10.1109/ACCESS.2025.3532360,FALSE,,,,,,,,,,,,,,IReL IEEE Agreement
